,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,,,,,,,,
1,,"4,5,6",950704341946,1838709692131,582202676727,851474072066,759468922745,397823167947,313492157955,
2,,"4,5,6",1019690023130,792175000924,640407861669,617681237016,157698508928,693753217551,386643450319,
3,,"4,5,7,45",7165143101330,5629164571326,3166915612787,2629683695760,2368140762947,,,
4,,"4,5,7,45",70628054197034,28214914004842,31327490114427,60484247553665,51484517396827,,,
5,,"4,5,7,45",,36741795054463,31529786313631,,,,,
6,,9,230827515895,156220099694,146211489328,126550201273,417621613435,291334387657,280768183793,
7,,"4,5,10,45",28812796035718,26915013332901,25426145302107,24371020410228,17653391656665,17860440277760,17257688909005,
8,,"12,13",1855045463942,1803098229931,1818763153295,1867570373166,1545972639479,1475453917778,1428680856080,
9,,13,2553537514521,2517000648465,2488719058847,2821137645519,2685291172790,2705723134679,2575357518764,
10,,13,1162552077169,1216374698575,1321038751260,1436630179315,104322239821,96657114424,101568699080,
11,,"13,46",78778708272,,,,,,,
12,,"4,5,11",297987437629,377183350600,1313852303600,100265886279,58065960446,44670946313,142378568832,
13,,20,,13679261666,25248758114,,,,,
14,,,141448560064,11782056486,128059565272,59061360829,65825866814,21609163776,14662676174,
15,,38,15337826588,14781620727,16738701923,15841846829,15320144088,7019763581,7287019180,
16,,"4,5,14",1761323112500,1452150523614,1490620926517,1274537769095,841068789856,972676269408,1040385510172,
17,,15,3048780748385,2927735962121,2921837266592,2854356642842,2365929975733,2444759860217,2535140232820,
18,,19,22128080482144,21462672709487,21650434306713,19871076320622,19007547668986,17862923233114,16370395741437,
19,,,141850087146267,132084450817953,125994472162809,119381135194504,99530183319560,92126214195406,82371484984230,
20,,,,,,,,,,
21,,"16,17",99268147652861,94572120665629,90222047361395,84938942635375,67765945518040,62055998366182,57007541631223,
22,,18,1206758557909,538885241875,659733892732,773968333314,1148276526366,1046959013808,257880341150,
23,,,5049254773,290995454659,21723608181,14821269726,4774913372,8308102021,59091594050,
24,,38,1066199991253,380408085205,826008743050,640040779279,598129031359,516569331218,148326111774,
25,,"4,5,11",607563008835,322194750826,26557244987,1126337480556,640725838184,332037424258,30604038400,
26,,20,173802168607,165552947207,178902304605,184271353704,32685690707,59548363107,31595368973,
27,,21,16472542187,15367182202,14194902599,13945648400,12862386688,13805381801,9402109458,
28,,"4,5,22",2532400592970,2002451002054,1631827914700,1561878030048,1003162795525,1124497133150,769928279047,
29,,23,154147320075,121297271981,154560297416,221882780038,218449871186,213478237353,174559253383,
30,,19,22826270838863,22245521147940,22020813348181,20745882888052,19462413348611,18102851822610,16896090180916,
31,,,127856811928333,120654793749578,115756369617846,110221971198492,90887425920038,83474053175508,75385018908374,
32,,,,,,,,,,
33,,,,,,,,,,
34,,24,4342650000000,4342650000000,4342650000000,4342650000000,4342650000000,4342650000000,4342650000000,
35,,24,-457886936004,-458006536981,-458006536981,-440193627494,-439086941120,148609787390,293911383866,
36,,25,2056297477526,1558000197526,497930280000,,,,,
37,,26,2820597421914,878705504134,1239339355825,1429039398163,2196119786636,2001793542843,486672125411,
38,,27,3924201158687,3985549304135,3729643338247,3197556818396,2542616435398,2158507970133,1862631692761,
39,,,1307416095811,1122758599561,886546107872,630111406947,458118608,599719532,600873818,
40,,,13993275217934,11429657068375,10238102544963,9159163996012,8642757399522,8652161019898,6986466075856,
41,,,141850087146267,132084450817953,125994472162809,119381135194504,99530183319560,92126214195406,82371484984230,
