,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,5322649532271,5012470672605,4222467067272,4523869264617,4777741157180,4272800142061,4469659183682,
1,유동자산,현금및현금성자산,1084516315974,1024121436014,804983081320,1012313392800,644785721050,549393182341,920481845882,
2,유동자산,당기손익-공정가치측정 금융자산,1060993533,,,,,,,
3,유동자산,기타포괄손익-공정가치측정 금융자산,1064182,,,,,,,
4,유동자산,기타금융자산,492890177292,414808360144,370508335591,248706298390,390384438875,250101726165,125157450239,
5,유동자산,매출채권및기타채권,1572845944066,1758577996403,1706780802682,1561381114010,1817473968091,1394450094958,1492618023825,
6,유동자산,기타유동자산,370437703835,315226423470,186578903026,158917244880,84577045114,194836820093,187755821301,
7,유동자산,재고자산,1479891972739,1467462398605,1143758174436,1420646719394,1825619332882,1872745936421,1737861873742,
8,유동자산,당기법인세자산,23271407595,14094159291,7724630179,19261162486,14900651168,11271678715,5784168693,
9,유동자산,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,297733953055,18179898678,2133140038,102643332657,,,,
10,비유동자산,비유동자산,10358479336070,10219004774952,9427020832468,9294043864686,9074878565656,8324223591354,8337402905936,
11,비유동자산,매도가능금융자산,,,240996854973,228523417806,150075320459,165540689457,160363333778,
12,비유동자산,당기손익-공정가치측정 금융자산,2129289279,81613807,,,,,,
13,비유동자산,기타포괄손익-공정가치측정 금융자산,46597216094,80230460838,,,,,,
14,비유동자산,기타금융자산,75725406631,87323080168,63654877410,115721738100,111463143304,96749227684,65858870140,
15,비유동자산,장기매출채권및기타채권,4627445087,2921411467,11540802420,5852035754,5947012482,2897128009,1664063882,
16,비유동자산,관계기업등투자자산,2720816814027,2622361268060,2682319452285,2284495196831,2043074302380,1288600215049,1277694220564,
17,비유동자산,투자부동산,158043036401,190335564744,349947326890,397568949417,196317196176,205267833069,285723875063,
18,비유동자산,유형자산,6594032988421,6684051915938,5588231454920,5760968279670,6050530729270,6038120533546,5994033083982,
19,비유동자산,무형자산,421170486775,479383485027,422049606582,426200340285,440814090811,468545321835,471015273640,
20,비유동자산,사용권자산,246989787735,,,,,,,
21,비유동자산,기타비유동자산,15965006023,18723912745,26364928595,14652706736,18972510353,21783546791,34591265201,
22,비유동자산,이연법인세자산,72381859597,53592062158,41915528393,60061200087,57684260421,36719095914,46458919686,
23,자산 총계,자산 총계,15681128868341,15231475447557,13649487899740,13817913129303,13852619722836,12597023733415,12807062089618,
24,유동부채,유동부채,5831012387511,5132515562868,4894190220711,4962982134243,5420647362047,4441213503434,4396996526178,
25,유동부채,매입채무 및 기타채무,1573035225442,1479737842444,1631912989217,1758119346199,1614994192837,1626190350528,1685257278654,
26,유동부채,차입금,3384513842912,2893481175738,2641415544664,2254968271540,2425288893609,2206382987521,2213450087911,
27,유동부채,기타금융부채,205562068169,162279076435,154756644168,152292183040,136341492695,101516820336,103084573027,
28,유동부채,충당부채,60855011983,51093882970,49718075735,71039304245,69932134709,64044362447,70036128515,
29,유동부채,기타유동부채,559726759182,439889081262,329059425416,612467765013,1146148705403,397308447395,286896970336,
30,유동부채,당기법인세부채,47319479823,106034504019,87327541511,114095264206,27941942794,45770535207,38271487735,
31,비유동부채,비유동부채,4044269270901,3871863522638,2567824516651,3386604286131,3500813972577,3376331945613,3953340745690,
32,비유동부채,장기매입채무 및 기타채무,4997586,329899474,23136851237,46144007092,208595675209,13941048834,10409298824,
33,비유동부채,장기차입금,2984059385479,2995061206364,1775961515451,2574625893111,2615772998845,2747069101290,3300102995792,
34,비유동부채,기타금융부채,218861372784,13906976339,45092188413,22695919236,21296887000,22971701326,22281770812,
35,비유동부채,순확정급여부채,411794507447,371701051264,304696117972,393484940783,320992400548,288944230218,280150235264,
36,비유동부채,장기종업원급여부채,25681557796,18269569977,15726451910,15880880424,14355194387,,410000000,
37,비유동부채,충당부채,90674832438,64501260084,31690006963,33523641871,30850183425,18040690285,16485222066,
38,비유동부채,기타비유동부채,7544550530,23551309575,1140218,7683639,17944309,2769627,207581639,
39,비유동부채,이연법인세부채,305648066841,384542249561,371520244487,300241319975,288932688854,285362404033,323293641293,
40,부채 총계,부채 총계,9875281658412,9004379085506,7462014737362,8349586420374,8921461334624,7817545449047,8350337271868,
41,지배기업 주주지분,지배기업 주주지분,5728168956539,6089974765883,6015148477824,5284936946637,4633376844439,4374050562504,4057274393516,
42,지배기업 주주지분,자본금,821170655000,821170655000,829665480000,829665480000,815316540000,815316540000,707036240000,
43,지배기업 주주지분,자본잉여금,804503695100,856962112699,828953856912,828447138477,829497470364,712889896819,485586579210,
44,지배기업 주주지분,자본조정,-2917998641,-3433353389,-3180842934,-3196563656,-2959148816,-3402661137,-3585880999,
45,지배기업 주주지분,기타포괄손익누계액,-70522771893,-81251788132,-5005499799,43624934648,104669832306,109800817118,139360960403,
46,지배기업 주주지분,이익잉여금,4175935376973,4496527139705,4364715483645,3586395957168,2886852150585,2739445969704,2728876494902,
47,비지배지분,비지배지분,77678253390,137121596168,172324684554,183389762292,297781543773,405427721864,399450424234,
48,자본 총계,자본 총계,5805847209929,6227096362051,6187473162378,5468326708929,4931158388212,4779478284368,4456724817750,
49,,자본과 부채 총계,15681128868341,15231475447557,13649487899740,13817913129303,13852619722836,12597023733415,12807062089618,
