,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,1206117680069,726704240219,916231863267,1151003611390,1209290994751,362468394856,404339711085,279345953796
1,영업활동현금흐름,영업활동에서 창출된 현금,1415699225492,811318064126,1068111015187,1189190757508,1293680588048,440410594734,463096438373,384744160484
2,영업활동현금흐름,법인세 납부,209581545423,84613823907,151879151920,-38187146118,-84389593297,-77942199878,-58756727288,-105398206688
3,투자활동현금흐름,투자활동현금흐름,-1110655156763,-434644603166,-403184977798,-460096345420,-952561699720,-285040033240,-259937493068,-698239014560
4,투자활동현금흐름,이자 수취,35861906234,34683068778,24579651575,23385620166,34150209453,13983916412,13516530324,14278226912
5,투자활동현금흐름,배당금 수취,89546657307,447207234133,208245064975,140798394647,68380471751,69169035428,90123603505,158760256659
6,투자활동현금흐름,매도가능금융자산의처분,,,18510811561,262092692,238225943,4657243922,127474326549,
7,투자활동현금흐름,기타포괄손익-공정가치측정 금융자산의 처분,70360000,10146897608,,,,,,
8,투자활동현금흐름,기타금융자산의 감소,541604943541,1496445022540,433109787470,553402962009,91950453370,489894738623,421026788202,
9,투자활동현금흐름,관계기업등투자자산의 처분,,,2272494915,45717452524,4770000000,180000000,,
10,투자활동현금흐름,종속회사의 처분,3203731619,17769342585,,-1814556457,35600000000,303035998486,8869207900,-16791196721
11,투자활동현금흐름,정부보조금의 수령,159635694,66000000,1600000,,100000000,47144400,199618186,
12,투자활동현금흐름,투자부동산의 처분,38786383530,4200000000,1925905641,4388569257,224458000,439805565,125744282294,
13,투자활동현금흐름,유형자산의 처분,27385447893,56019821618,24380712404,201344828822,97152288767,8571971412,65175021606,47028888993
14,투자활동현금흐름,무형자산의 처분,8544728999,20165845439,28086424542,3228583405,2363836852,1037821258,14093806282,3338901666
15,투자활동현금흐름,사용권자산의 처분,2558502469,,,,,,,
16,투자활동현금흐름,매각예정자산의 처분,18244879723,1482819883,80138574000,,,,,
17,투자활동현금흐름,매도가능금융자산의 취득,,,10282946000,,-214110027,-2283174534,-8429127666,
18,투자활동현금흐름,기타포괄손-공정가치측정 금융자산의 취득,,3000004000,,,,,,
19,투자활동현금흐름,기타금융자산의 증가,630935085288,1503199681298,531577263313,-441286102879,-249896288361,-631173422115,-428396118983,
20,투자활동현금흐름,관계기업등투자자산의 취득,26965943072,26366953765,177203417254,-252578062046,-257077519486,-68674357654,-12661182843,-44791030984
21,투자활동현금흐름,투자부동산의 취득,5398860,328629740,40541163,-3627086716,-17868885,-3781683,-262074072,-13308720
22,투자활동현금흐름,유형자산의 취득,1165343863539,720057804179,492370108930,-614754964764,-759237070804,-465697861075,-671911978818,-871906073539
23,투자활동현금흐름,무형자산의 취득,9177286751,19475689881,12069637291,-16471665694,-7469152296,-8544782007,-4500195534,-5731587307
24,투자활동현금흐름,사용권자산의 취득,535094206,,,,,,,
25,투자활동현금흐름,종속회사의 취득,22594290086,360746050837,892090930,-102092410386,-13579633997,319670322,,-76926121300
26,투자활동현금흐름,연결범위 변동으로 인한 현금유출,5142168555,,,,,,,
27,투자활동현금흐름,사업양수에 따른 현금유출,18207835573,,,,,,,
28,투자활동현금흐름,기타채권의 회수(투자활동),15733761781,110344157950,,,,,,
29,투자활동현금흐름,기타채무의 지급(투자활동),13449129623,,,,,,,
30,재무활동현금흐름,재무활동현금흐름,-42617412734,-69585025098,-685640548345,-318230949434,-154043432738,-451709091322,190137132340,178886667950
31,재무활동현금흐름,차입금의 차입,3264106017361,2098367020889,1795980797510,2063542394626,2208663050782,1397124251161,2660547074108,6004911530246
32,재무활동현금흐름,기타금융부채의 증가,2030000000,25000000,42000000,548025648,306820373,335900000,14149159297,5807150420
33,재무활동현금흐름,비지배지분의 증감,-85085916058,-3458105739,-10853327679,-29074925235,18982020513,16858886907,,
34,재무활동현금흐름,차입금의 상환,2883316793694,1923943863446,2249383916904,-2143944721244,-2164230154589,-1951963850991,-2211292090451,-5543983353567
35,재무활동현금흐름,기타금융부채의 감소,4431750000,206903693,185985078,-154846779,-8375891101,-2367942816,-23125527973,-7444632725
36,재무활동현금흐름,이자 지급,228797046672,182830040409,163701983494,-184388883510,-184873595666,-231550126855,-222073647249,-226398142974
37,재무활동현금흐름,배당금지급,32903013050,57538132700,57538132700,-24515683050,-24515683050,-21267274050,-38140962697,-64852883450
38,재무활동현금흐름,리스료 지급,37061211051,,,,,,,
39,재무활동현금흐름,자기주식의 취득,37157699570,,,,,,,
40,현금및현금성자산의 증가 (감소),현금및현금성자산의 증가 (감소),52845110572,222474611955,-172593662876,372676316536,102685862293,-374280729706,334539350357,-240006392814
41,기초 현금및현금성자산,기초 현금및현금성자산,1024121436014,804983081320,1012313392800,644785721050,549393182341,920481845882,594314912340,848723198608
42,환율변동효과,환율변동효과,7549769388,-3336257261,-34736648604,-5148644786,-7293323584,3192066165,-8372416815,-14401893454
43,기말 현금및현금성자산,기말 현금및현금성자산,1084516315974,1024121436014,804983081320,1012313392800,644785721050,549393182341,920481845882,594314912340
44,기말 재무상태표상 현금및현금성자산,기말 재무상태표상 현금및현금성자산,1084516315974,1024121436014,804983081320,,,,,
