,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,4563607003936,3876999346592,2835094873895,2780200475557,1997989386825,1680385798842,1561706424194,1386236506269
1,유동자산,현금및현금성자산,1000121610062,636721974889,461379841501,257418395798,142699403289,94267893056,275867487077,239035257051
2,유동자산,기타유동금융자산,122858098699,39620106546,13300000000,348045003538,354854571844,98603305689,304204313528,287900805039
3,유동자산,매출채권 및 기타유동채권,1293046469349,1245630373218,1113994833474,926168439110,492521133053,532568405873,525271125687,467926054926
4,유동자산,유동파생상품자산,1879221086,550965510,683867902,112687220,,,,
5,유동자산,재고자산,1329689801105,1319797341845,815447394836,768791435681,568784048645,526581487551,490823257915,441432324396
6,유동자산,기타유동자산,804706336568,634678584584,392912117310,442287695338,345826624663,428364706673,269744553515,237842869896
7,유동자산,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,11305467067,,37376818872,37376818872,93303605331,,,
8,비유동자산,비유동자산,4144803716335,3519686866356,2912478286699,2872237890649,2109941047098,1921342700303,1872517659403,1854701511090
9,비유동자산,기타비유동금융자산,60208602289,55107178152,334543741334,429468223719,772625825129,406586099255,304204313528,287900805039
10,비유동자산,장기매출채권 및 기타비유동채권,58542561663,39162808807,26510040593,26361253848,24030825922,74903743713,47335508954,45044363478
11,비유동자산,비유동파생상품자산,19210492467,14315341865,9144499042,7356588654,,,,
12,비유동자산,기타비유동자산,22678923448,28733705699,37066891695,42130816425,10139280145,13384963891,16218512099,9373146056
13,비유동자산,유형자산,1821964121936,1713685418792,1426613387099,1360067053232,844897772923,533841885812,645651541702,658493955439
14,비유동자산,투자부동산,,2473951518,,,,,,
15,비유동자산,무형자산,1881380376982,1472440232180,953933551508,926769923537,228559679734,245863448980,219141010942,241364191655
16,비유동자산,관계기업에 대한 투자자산,64442115957,57979940745,48214311220,35701840836,229687663245,646762558652,631974211616,573728760190
17,비유동자산,이연법인세자산,131938584059,135788288598,76451864208,44382190398,,,7992560562,38796289233
18,비유동자산,사용권자산,84437937534,,,,,,,
19,자산총계,자산총계,8708410720271,7396686212948,5747573160594,5652438366206,4107930433923,3601728499145,3434224083597,3240938017359
20,유동부채,유동부채,3329041908478,3144141257472,2140555352702,1968600408357,1351647230897,1596727627830,1169252888436,1019549590337
21,유동부채,매입채무 및 기타유동채무,762736113155,625352279593,646515667988,577167907605,282583816831,320873725581,256948555141,292380479844
22,유동부채,유동리스부채,29668833314,,,,,,,
23,유동부채,유동성장기차입금,504161325471,834539472576,446035026392,359614920211,363885885162,454281833894,311399356691,351738406614
24,유동부채,유동파생상품부채,1264158359,42799446,11527523,326388903,94500000,,,
25,유동부채,미지급법인세,25376926753,33382398604,97949685914,69270347084,44080350522,2227584797,1475382769,6422202468
26,유동부채,기타유동부채,2005834551426,1650824307253,950043444885,962220844554,657628163204,819344483558,599429593835,369008501411
27,비유동부채,비유동부채,2524013519546,1616794534013,1426064586923,1343073343117,511167682996,361948761793,560190592883,643713273483
28,비유동부채,장기매입채무 및 기타비유동채무,268345855818,159741739612,102319679611,99573427240,2539944169,7549603304,14853530196,19759764869
29,비유동부채,비유동리스부채,53067406624,,,,,,,
30,비유동부채,장기차입금,1588356855653,899558335510,898710645784,826234858862,157756418916,155911485934,357740032646,432366132432
31,비유동부채,비유동파생상품부채,923496003,818811625,,,,,,
32,비유동부채,종업원급여부채,514869816408,464347027515,332377726594,323714267755,236274703123,,,
33,비유동부채,이연법인세부채,86411666665,79809220279,92656534934,93550789260,114596616788,4240083704,,
34,비유동부채,기타비유동금융부채,12038422375,12519399472,,,,,,
35,부채총계,부채총계,5853055428024,4760935791485,3566619939625,3311673751474,1862814913893,1958676389623,1729443481319,1663262863820
36,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,2486059441863,2369631325689,2179387189522,2339027708781,2243360869688,1641213668544,1703152649113,1575581559239
37,지배기업의 소유주에게 귀속되는 자본,자본금,265650000000,265650000000,265650000000,265650000000,265650000000,265650000000,265650000000,265650000000
38,지배기업의 소유주에게 귀속되는 자본,자본잉여금,412051703190,399701022779,186818584055,188459109780,188459109780,188459109780,188459109780,188459109780
39,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,332426347613,331196444926,435800611000,534891245071,773515751294,179741273193,100819541048,77787683672
40,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),1475931391060,1373083857984,1291117994467,1350027353930,1015736008614,1007363285571,1148223998285,1043684765787
41,비지배지분,비지배지분,369295850384,266119095774,1566031447,1736905951,1754650342,1838440978,1627953165,2093594300
42,자본총계,자본총계,2855355292247,2635750421463,2180953220969,2340764614732,2245115520030,1643052109522,1704780602278,1577675153539
43,,자본과부채총계,8708410720271,7396686212948,5747573160594,5652438366206,4107930433923,3601728499145,3434224083597,3240938017359
