,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,13171993000000,13336768000000,13249840000000,14937924000000,14228424000000,13441148000000,11042820000000,9610665000000
1,유동자산,현금및현금성자산,2586007000000,2241188000000,2107242000000,2149984000000,1997405000000,2542381000000,1883560000000,1854859000000
2,유동자산,단기금융상품,1711216000000,1824955000000,1356651000000,1445235000000,1032308000000,284202000000,266240000000,106619000000
3,유동자산,매출채권,1984169000000,2176726000000,1966367000000,2555190000000,2494795000000,1792310000000,1313236000000,1410161000000
4,유동자산,기타채권,1755324000000,1322349000000,1499381000000,1795329000000,1466410000000,1352875000000,1254828000000,1131801000000
5,유동자산,미청구공사,2282472000000,2679723000000,2896446000000,3595809000000,4163270000000,4889864000000,4042256000000,2830547000000
6,유동자산,만기보유금융자산,,,16668000000,267135000000,64739000000,22550000000,22661000000,23503000000
7,유동자산,상각후원가 측정 금융자산,3280000000,14692000000,,,,,,
8,유동자산,파생상품자산,,9000000,,,,11000000,4000000,1982000000
9,유동자산,재고자산,1723425000000,1947052000000,2105517000000,1199362000000,1328564000000,1336864000000,1285689000000,1128456000000
10,유동자산,법인세자산,3318000000,4898000000,3749000000,4307000000,2196000000,4923000000,825000000,93000000
11,유동자산,기타유동자산,1122782000000,1125176000000,1297819000000,1925573000000,1674923000000,1215168000000,969317000000,1122644000000
12,비유동자산,비유동자산,5054979000000,4717841000000,5182062000000,4935519000000,5121679000000,4803452000000,3623681000000,3136164000000
13,비유동자산,장기금융상품,22304000000,7531000000,611111000000,249782000000,101396000000,14372000000,54123000000,89131000000
14,비유동자산,장기미수채권,358977000000,379385000000,364030000000,409017000000,396554000000,372070000000,349296000000,354519000000
15,비유동자산,장기성기타채권,1236123000000,975213000000,906373000000,895090000000,1003689000000,736272000000,567922000000,516393000000
16,비유동자산,매도가능금융자산,,,266255000000,267404000000,429791000000,466564000000,408322000000,558496000000
17,비유동자산,만기보유금융자산,,,25759000000,32402000000,64739000000,22550000000,22661000000,23503000000
18,비유동자산,기타포괄손익-공정가치 측정 금융자산,60299000000,83468000000,,,,,,
