,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,478916000000,249524000000,514404000000,1086520000000,596001000000,426038000000,117468000000,28135000000
1,영업활동현금흐름,영업으로부터 창출된 현금흐름,607456000000,678985000000,790887000000,1300938000000,762225000000,,,
2,영업활동현금흐름,이자수취,127411000000,104925000000,90198000000,80557000000,68662000000,67849000000,58787000000,62539000000
3,영업활동현금흐름,배당금수취,7731000000,2593000000,12757000000,1800000000,8720000000,2787000000,4379000000,1451000000
4,영업활동현금흐름,이자지급,76583000000,86690000000,96092000000,-96277000000,-101076000000,-102986000000,-65745000000,-57548000000
5,영업활동현금흐름,법인세납부,187099000000,450289000000,283346000000,-200498000000,-142530000000,-272357000000,-231600000000,-171926000000
6,투자활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,-151156000000,-92043000000,-16252000000,-775201000000,,,,
7,투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,2082493000000,2024505000000,2574610000000,1666458000000,570949000000,850530000000,625796000000,494387000000
8,투자활동으로 인한 현금흐름,단기금융상품의 감소,1770080000000,1406502000000,1888202000000,1180058000000,461405000000,160804000000,430510000000,397307000000
9,투자활동으로 인한 현금흐름,기타채권의 감소,210361000000,245227000000,131116000000,106730000000,25617000000,-70888000000,-119053000000,190322000000
10,투자활동으로 인한 현금흐름,장기금융상품의 감소,2272000000,219562000000,105276000000,135028000000,2584000000,87305000000,1250000000,307000000
11,투자활동으로 인한 현금흐름,장기성기타채권의 감소,27869000000,44938000000,21038000000,12835000000,23647000000,264000000,264000000,264000000
12,투자활동으로 인한 현금흐름,공정가치측정금융자산의 처분,40267000000,38267000000,,,,,,
13,투자활동으로 인한 현금흐름,매도가능금융자산의 처분,,,8749000000,145862000000,13554000000,21496000000,23303000000,130000000
14,투자활동으로 인한 현금흐름,상각후원가측정금융자산의 처분,14698000000,18474000000,,,,,,
15,투자활동으로 인한 현금흐름,만기보유금융자산의 처분,,,334280000000,64774000000,22550000000,23660000000,23677000000,19246000000
16,투자활동으로 인한 현금흐름,종속기업투자자산의 처분,,,47052000000,,,,,
17,투자활동으로 인한 현금흐름,관계기업투자자산의 처분,6399000000,142000000,3507000000,,3284000000,26522000000,,281000000
18,투자활동으로 인한 현금흐름,투자부동산의 처분,4480000000,34197000000,23035000000,9301000000,,,,
19,투자활동으로 인한 현금흐름,유형자산의 처분,4991000000,13307000000,11325000000,4170000000,14677000000,38623000000,79976000000,8370000000
20,투자활동으로 인한 현금흐름,무형자산의 처분,1076000000,3889000000,1030000000,3201000000,3631000000,1756000000,350000000,3859000000
21,투자활동으로 인한 현금흐름,투자활동으로 인한 현금유출액,-2233649000000,-2116548000000,-2590862000000,-2441659000000,-1744761000000,-525975000000,-847024000000,-702464000000
22,투자활동으로 인한 현금흐름,단기금융상품의 증가,-1654182000000,-745171000000,-1453069000000,-1628005000000,-1073990000000,-213766000000,-510152000000,-321964000000
23,투자활동으로 인한 현금흐름,기타채권의 증가,-51307000000,-189052000000,-82295000000,-37793000000,-14188000000,-13669000000,-12647000000,-8171000000
24,투자활동으로 인한 현금흐름,장기금융상품의 증가,-2073000000,-746365000000,-795337000000,-241419000000,-235260000000,-3140000000,-45500000000,-90000000000
25,투자활동으로 인한 현금흐름,장기성기타채권의 증가,-340939000000,-126909000000,-105351000000,-41780000000,-41731000000,-103693000000,-128446000000,-88690000000
26,투자활동으로 인한 현금흐름,공정가치측정금융자산의 취득,-27235000000,-69654000000,,,,,,
27,투자활동으로 인한 현금흐름,매도가능금융자산의 취득,,,-23919000000,-24450000000,-117568000000,-26362000000,-13106000000,-4055000000
28,투자활동으로 인한 현금흐름,상각후원가측정금융자산의 취득,-1694000000,-28019000000,,,,,,
29,투자활동으로 인한 현금흐름,만기보유금융자산의 취득,,,-77170000000,-253516000000,-53405000000,-6217000000,-16341000000,-15970000000
30,투자활동으로 인한 현금흐름,관계기업투자자산의 취득,-29561000000,-6228000000,-221000000,,-7007000000,-45070000000,-43009000000,-31439000000
31,투자활동으로 인한 현금흐름,투자부동산의 취득,-838000000,-10495000000,-42000000,-1607000000,,-1863000000,,
32,투자활동으로 인한 현금흐름,유형자산의 취득,-109938000000,-191903000000,-49766000000,-178651000000,-186517000000,-188053000000,-163977000000,-97084000000
33,투자활동으로 인한 현금흐름,사용권자산의 취득,-891000000,,,,,,,
34,투자활동으로 인한 현금흐름,무형자산의 취득,-14991000000,-2752000000,-3692000000,-8590000000,-9793000000,-8381000000,-5809000000,-7070000000
35,재무활동으로 인한 현금흐름,재무활동으로 인한 현금흐름,15264000000,-37290000000,-380936000000,-176854000000,,,,
36,재무활동으로 인한 현금흐름,재무활동으로 인한 현금유입액,1050064000000,692498000000,1088637000000,860010000000,856389000000,1562906000000,2618669000000,1212909000000
37,재무활동으로 인한 현금흐름,유상증자,,3610000000,,,2559000000,44000000,,
38,재무활동으로 인한 현금흐름,단기차입금의 차입,372210000000,250129000000,1088637000000,651383000000,856389000000,1562906000000,1304621000000,1212909000000
39,재무활동으로 인한 현금흐름,사채의 발행,300000000000,300000000000,,199124000000,597930000000,547961000000,398506000000,298833000000
40,재무활동으로 인한 현금흐름,장기차입금의 차입,377854000000,138700000000,,9503000000,,527776000000,915542000000,272344000000
41,재무활동으로 인한 현금흐름,정부보조금의 수취,,59000000,,,,,,
42,재무활동으로 인한 현금흐름,재무활동으로 인한 현금유출액,-1034800000000,-729788000000,-1469573000000,-1036864000000,-1426169000000,-2718908000000,-2484125000000,-1598580000000
43,재무활동으로 인한 현금흐름,단기차입금의 상환,-229422000000,-340313000000,-885531000000,-685298000000,-855300000000,-1458103000000,-1251175000000,-1229130000000
44,재무활동으로 인한 현금흐름,유동성장기부채의 상환,-339892000000,-223261000000,-475397000000,-238713000000,-357601000000,-760160000000,-635982000000,-264814000000
45,재무활동으로 인한 현금흐름,장기차입금의 상환,-298880000000,-451000000,,-4450000000,-104138000000,-266299000000,-534268000000,-44840000000
46,재무활동으로 인한 현금흐름,사채발행비용,-1282000000,-1270000000,,,-10000000,,,
47,재무활동으로 인한 현금흐름,리스부채의 상환,-48285000000,,,,,,,
48,재무활동으로 인한 현금흐름,배당금의 지급,-107758000000,-106910000000,-108605000000,-108403000000,,-103654000000,-60351000000,-59752000000
49,재무활동으로 인한 현금흐름,신주발행비의 발생,,-101000000,,,,,,
50,재무활동으로 인한 현금흐름,비지배지분의 취득,-9281000000,-57482000000,-40000000,,,,,
51,현금및현금성자산의 증가,현금및현금성자산의 증가,343024000000,120191000000,117216000000,134465000000,-547102000000,670372000000,30784000000,5564000000
52,기초현금및현금성자산,기초현금및현금성자산,2241188000000,2107242000000,2149984000000,1997405000000,2542381000000,,,
