,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,1119660940000,1132345926000,1157848281000,842128651000,600952116000,660277222000,579465508000,535727275000
1,유동자산,현금및현금성자산,69191041000,55388196000,49707707000,33826905000,23164333000,24314182000,26685023000,20377692000
2,유동자산,매출채권및기타채권,434979325000,446465222000,467392554000,341543622000,297109404000,296604703000,260292638000,233248737000
3,유동자산,단기금융자산,,,324557067000,261546614000,167854534000,249574000000,219729000000,218095000000
4,유동자산,유동금융자산,301091485000,295290576000,,,,,,
5,유동자산,재고자산,291035232000,315398804000,299528741000,188497430000,100655674000,81664478000,66112211000,57479456000
6,유동자산,기타유동자산,22981393000,19602727000,16388007000,16708426000,12160338000,8111827000,6554466000,6522809000
7,유동자산,파생상품자산,,,186952000,2786000,,,,
8,유동자산,당기법인세자산,382464000,200401000,87253000,2868000,7833000,8032000,92170000,3581000
9,비유동자산,비유동자산,1846914747000,1705028903000,1639036662000,1339598264000,1353153007000,1222692124000,1342628970000,1263240573000
10,비유동자산,장기매출채권및기타채권,766009000,,,,,,,
11,비유동자산,유형자산,545128760000,440234132000,394231418000,240704864000,176965270000,166490085000,150526115000,140210765000
12,비유동자산,투자부동산,37985897000,38189769000,47676383000,47133492000,45305352000,48036004000,51727629000,51915054000
13,비유동자산,무형자산,249664106000,281651669000,325199566000,165479489000,134968792000,132635221000,132306996000,120904817000
14,비유동자산,사용권자산,55113166000,,,,,,,
15,비유동자산,관계기업및공동기업투자,486460275000,475073483000,313815332000,374417416000,445761728000,322866662000,292372782000,259770887000
16,비유동자산,매도가능금융자산,,,458459975000,463423747000,513353711000,520455566000,689338493000,669599676000
17,비유동자산,장기금융자산,,,39667624000,3309567000,3107112000,2510720000,2022412000,1067198000
18,비유동자산,비유동금융자산,382409043000,397622758000,,,,,,
19,비유동자산,기타비유동자산,212684000,233000000,68775000,46591000,,27530909000,22439844000,19484506000
20,비유동자산,기타비유동금융자산,76124238000,59683745000,46932970000,35514871000,30877246000,27530909000,22439844000,19484506000
21,비유동자산,이연법인세자산,13050569000,12340347000,12984619000,9568227000,2813796000,2166957000,1894699000,287670000
22,자산총계,자산총계,2966575687000,2837374829000,2796884943000,2181726915000,1954105123000,1882969346000,1922094478000,1798967848000
23,유동부채,유동부채,527192460000,455404936000,484419459000,371918500000,267473453000,284109576000,245622226000,236236860000
24,유동부채,매입채무및기타채무,389627245000,341637892000,372625546000,275177792000,218757418000,232189161000,187364358000,179440141000
25,유동부채,단기차입금및유동성장기부채,39884778000,32827983000,34934322000,28067394000,6505840000,8519392000,22655140000,32657224000
26,유동부채,유동금융부채,15334000,26659000,,,,,,
27,유동부채,기타유동부채,57602823000,43671981000,40701465000,40050972000,26515712000,33354390000,24804993000,11621298000
28,유동부채,기타유동금융부채,9613743000,8141700000,9581418000,10573487000,,,,
29,유동부채,파생상품부채,,,26867000,601036000,,,,
30,유동부채,충당부채,2945431000,1486747000,1328455000,818003000,,,,
31,유동부채,당기법인세부채,12393449000,27611974000,25221386000,16629816000,15694483000,10046633000,10797735000,12518197000
32,유동부채,유동리스부채,15109657000,,,,,,,
33,비유동부채,비유동부채,323007046000,270877041000,269105597000,202740767000,218756860000,217128164000,254017153000,239307310000
34,비유동부채,확정급여부채,43610041000,25925012000,19893256000,17781783000,19653662000,20079492000,26801747000,27028569000
35,비유동부채,장기차입금,1365526000,1947284000,2397823000,4656533000,5004380000,7010220000,6515502000,2021900000
36,비유동부채,기타비유동부채,6964254000,6219440000,5325719000,3804978000,3023076000,19197149000,18023793000,18171995000
37,비유동부채,기타비유동금융부채,8087912000,10924383000,9742195000,8016822000,16534493000,,,
38,비유동부채,충당부채,28211330000,25537182000,22554657000,818003000,,,,
39,비유동부채,이연법인세부채,194758311000,200323740000,209191947000,168480651000,174541249000,170841303000,202676111000,192084846000
40,비유동부채,비유동리스부채,40009672000,,,,,,,
41,부채총계,부채총계,850199506000,726281977000,753525056000,574659267000,486230313000,501237740000,499639379000,475544170000
42,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,1717238272000,1708185720000,1673918922000,1509616671000,1462151579000,1376746284000,1417407854000,1318739352000
43,지배기업의 소유주에게 귀속되는 자본,자본금,48852241000,48852241000,48852241000,48852241000,48852241000,48852241000,48852241000,48852241000
44,지배기업의 소유주에게 귀속되는 자본,자본잉여금,448767851000,448064195000,444212949000,388195363000,388241412000,388241412000,388304876000,387875110000
45,지배기업의 소유주에게 귀속되는 자본,이익잉여금,1151854742000,1130587096000,1037572566000,927815236000,839435848000,756500036000,668670261000,582021472000
46,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,144186364000,157105114000,219704092000,221176757000,262045004000,259575521000,388792298000,377825522000
47,지배기업의 소유주에게 귀속되는 자본,자기주식,74250432000,74250432000,74250432000,-74250432000,-74250432000,-74250432000,-75039328000,-75662499000
48,지배기업의 소유주에게 귀속되는 자본,기타자본조정,-2172494000,-2172494000,-2172494000,-2172494000,-2172494000,-2172494000,-2172494000,-2172494000
49,비지배지분,비지배지분,399137909000,402907132000,369440965000,97450977000,5723231000,4985322000,5047245000,4684326000
50,자본총계,자본총계,2116376181000,2111092852000,2043359887000,1607067648000,1467874810000,1381731606000,1422455099000,1323423678000
51,,자본과부채총계,2966575687000,2837374829000,2796884943000,2181726915000,1954105123000,1882969346000,1922094478000,1798967848000
