,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,2709164826000,2573161883000,2619878589000,2909666401000,3405799673000,2728466145000,2576610285000,1976170376000
1,유동자산,현금및현금성자산,382485797000,367894652000,435786012000,580209127000,253279712000,115713593000,116634831000,113383567000
2,유동자산,매출채권,387674017000,352135740000,467645312000,405281300000,598200639000,376492675000,362978858000,512270211000
3,유동자산,기타채권,47260454000,53562816000,64969368000,126562220000,58254410000,37801640000,22090405000,21336937000
4,유동자산,미청구공사,1171028594000,1111293163000,1024899311000,1220581792000,1837279776000,1617220885000,1384588139000,775937968000
5,유동자산,기타금융자산,42962927000,44430829000,54817979000,55780023000,70808079000,76424610000,61931333000,63818172000
6,유동자산,재고자산,264445883000,208500666000,194948902000,221711088000,213945470000,215059276000,193458689000,157754976000
7,유동자산,기타유동자산,411787671000,422489807000,363699611000,297548688000,369356294000,285252082000,433669220000,308681182000
8,유동자산,당기법인세자산,1519483000,1281369000,1539253000,1992163000,4675293000,4501384000,1258810000,599910000
9,유동자산,매각예정비유동자산,,11572841000,11572841000,,,,,
10,비유동자산,비유동자산,1375116408000,1428988092000,1464033286000,1563493287000,1638147592000,1672362176000,1698286906000,1694189456000
11,비유동자산,장기매출채권,106980380000,122919044000,109452022000,121370000000,50967593000,37097948000,33607484000,29660988000
12,비유동자산,장기기타채권,21082034000,22666227000,14768970000,15788077000,33876266000,37972632000,35226214000,35873337000
13,비유동자산,장기기타금융자산,27297873000,28700319000,23699796000,23826308000,23457553000,29064650000,27625442000,66813616000
14,비유동자산,유형자산,1074863616000,1114397170000,1160439105000,1241462083000,1353847531000,1369369233000,1427659280000,1391868125000
15,비유동자산,투자부동산,11736610000,11736610000,11736610000,11736610000,12699083000,12699083000,15534809000,16116786000
16,비유동자산,사용권자산,22761994000,,,,,,,
17,비유동자산,무형자산,93048451000,117745170000,139746745000,144389417000,158892041000,182157873000,154201200000,149815467000
18,비유동자산,관계기업투자주식,8825028000,1076400000,1219800000,1548042000,925734000,852345000,1541473000,1052336000
19,비유동자산,기타비유동자산,943095000,1143376000,1346001000,1558190000,1761213000,2030018000,2235849000,2441681000
20,비유동자산,이연법인세자산,7577327000,8603776000,1624237000,1814560000,1720578000,1118394000,655155000,547120000
21,자산총계,자산총계,4084281234000,4002149975000,4083911875000,4473159688000,5043947265000,4400828321000,4274897191000,3670359832000
22,유동부채,유동부채,2291969582000,1729464162000,1341795364000,1641213305000,1987535484000,1310894708000,1583432292000,1450928768000
23,유동부채,매입채무,340038726000,339972599000,352744440000,353113186000,465563374000,540654770000,374991456000,420336640000
24,유동부채,미지급금,54055589000,60215681000,76997960000,82779008000,85884781000,81481086000,79082391000,46659715000
25,유동부채,계약부채,770491944000,543653497000,436061079000,318253216000,460879449000,290499244000,445145529000,497025454000
26,유동부채,단기차입금,364236780000,109610459000,98658678000,229850414000,573868451000,106096599000,173038718000,131983409000
27,유동부채,유동성장기부채,462322918000,355988716000,218914978000,469983189000,212564371000,187255537000,332189575000,256380560000
28,유동부채,유동리스부채,4914227000,,,,,,,
29,유동부채,미지급법인세,1450416000,981842000,503679000,1309230000,606226000,536163000,21962424000,11176965000
30,유동부채,공사손실충당부채,178923283000,192533290000,,,,,,
31,유동부채,기타유동부채,115535699000,126508078000,157914550000,185925062000,188168832000,104371309000,157022199000,87366025000
32,비유동부채,비유동부채,909431490000,1164691673000,1323817626000,1364779827000,1618746841000,1351262781000,901941823000,1036204929000
33,비유동부채,사채,568818287000,698757375000,883242057000,922638179000,1022076064000,598214850000,199297694000,408846441000
34,비유동부채,장기차입금,86051551000,227706673000,206175838000,190302472000,335146831000,483342488000,402353470000,351869147000
35,비유동부채,비유동리스부채,17881759000,,,,,,,
36,비유동부채,순확정급여부채,32106532000,34376006000,33804604000,38707980000,79254075000,78941496000,77674869000,70764305000
37,비유동부채,충당부채,137377791000,97228256000,87493229000,127977176000,56697930000,41599424000,32932100000,38263853000
38,비유동부채,기타비유동부채,33440894000,72663738000,68359006000,39037849000,79854281000,92380621000,117300886000,103984060000
39,비유동부채,이연법인세부채,33754676000,33959625000,44742892000,46116171000,45717660000,56783902000,72382804000,62477123000
40,부채총계,부채총계,3201401072000,2894155835000,2665612990000,3005993132000,3606282325000,2662157489000,2485374115000,2487133697000
41,지배기업소유주지분,지배기업소유주지분,824040456000,1043973838000,1343963469000,1391985408000,1358737356000,1660987989000,1713495163000,1113761921000
42,지배기업소유주지분,자본금,425000000000,425000000000,425000000000,425000000000,425000000000,425000000000,425000000000,319700000000
43,지배기업소유주지분,기타불입자본,559005098000,408389934000,408389934000,408389934000,408389934000,408389934000,408389934000,37197000000
44,지배기업소유주지분,기타자본구성요소,-3393307000,-4051640000,-2359338000,-581756000,-2583547000,-585185000,-2257678000,-1715705000
45,지배기업소유주지분,이익잉여금,-156571335000,214635544000,512932873000,559177230000,527930969000,828183240000,882362907000,758580626000
46,비지배지분,비지배지분,58839705000,64020302000,74335416000,75181148000,78927584000,77682843000,76027913000,69464214000
47,자본총계,자본총계,882880161000,1107994140000,1418298885000,1467166556000,1437664940000,1738670832000,1789523076000,1183226135000
48,,부채와자본총계,4084281233000,4002149975000,4083911875000,4473159688000,5043947265000,4400828321000,4274897191000,3670359832000
