,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동으로 인한 현금흐름,영업활동으로 인한 현금흐름,-200921636000,-14193054000,219226032000,611076670000,-564482323000,-188844160000,-408594374000,24706424000
1,영업활동으로 인한 현금흐름,당기순이익(손실),-355687197000,-308034515000,-46259404000,23143701000,-304494873000,-15108710000,126076014000,99383843000
2,영업활동으로 인한 현금흐름,조정,323781474000,326830972000,237599935000,221375406000,233240997000,201910674000,181105350000,178693415000
3,영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,-128532323000,7619358000,66064301000,425927375000,-429472119000,-298481552000,-644352735000,-182776549000
4,영업활동으로 인한 현금흐름,이자의 수취,4996361000,4573520000,5380633000,4731631000,3468073000,5547811000,7123219000,4378677000
5,영업활동으로 인한 현금흐름,이자의 지급,46545932000,42123507000,44744205000,-61920510000,-56722044000,-47862125000,-59831969000,-62255511000
6,영업활동으로 인한 현금흐름,법인세의 지급,317157000,3123802000,304434000,-2254514000,-11030262000,-35855534000,-19566589000,-13593999000
7,영업활동으로 인한 현금흐름,배당금의 수취,1383138000,64920000,1489206000,73581000,527905000,1005276000,852336000,876548000
8,투자활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,-13639938000,-38098513000,31238954000,55616889000,-55274601000,-57753463000,-24474041000,-124698080000
9,투자활동으로 인한 현금흐름,단기금융상품의 감소,25158153000,10309119000,11389489000,18220598000,25998724000,15749477000,49557070000,42445653000
10,투자활동으로 인한 현금흐름,단기대여금의 감소,936304000,1336230000,1255267000,1403377000,2772400000,6526597000,3124651000,1450000000
11,투자활동으로 인한 현금흐름,단기보증금의 감소,,,8990000,31315000,5997000,,,
12,투자활동으로 인한 현금흐름,장기대여금의 감소,39197000,49130000,14080000,,,,,
13,투자활동으로 인한 현금흐름,장기보증금의 감소,4161814000,934922000,1342102000,23543253000,3393106000,4404912000,1413907000,426938000
14,투자활동으로 인한 현금흐름,장기보증예치금의 감소,1655367000,1509611000,989678000,2023780000,1485378000,1306258000,1064677000,343003000
15,투자활동으로 인한 현금흐름,매도가능금융자산의 처분,,,528203000,2917484000,9337498000,165680000,50041303000,
16,투자활동으로 인한 현금흐름,당기손익-공정가치 금융자산의 처분,5606000,1055731000,,,,,,
17,투자활동으로 인한 현금흐름,자산관련 정부보조금의 증가,0,0,462485000,1677766000,3029900000,8624444000,5205189000,10446094000
18,투자활동으로 인한 현금흐름,매각예정자산의 처분,13934520000,0,71356876000,25196252000,,,25738938000,
19,투자활동으로 인한 현금흐름,유형자산의 처분,1113050000,1162350000,101816000,29504214000,2871385000,37652172000,724215000,2510086000
20,투자활동으로 인한 현금흐름,투자부동산의 처분,,,,927764000,,2735501000,488314000,
21,투자활동으로 인한 현금흐름,무형자산의 처분,921818000,21818000,,751321000,,1220000,,160909000
22,투자활동으로 인한 현금흐름,지분법적용 투자지분의 처분,1404418000,,,,,,,
23,투자활동으로 인한 현금흐름,기타포괄손익-공정가치 금융자산의 처분,111000,,,,,,,
24,투자활동으로 인한 현금흐름,단기금융상품의 취득,22762410000,56587000,7202756000,3400643000,21585671000,35447451000,47878284000,53719011000
25,투자활동으로 인한 현금흐름,단기대여금의 증가,,350000000,2300000000,,,,,
26,투자활동으로 인한 현금흐름,장기대여금의 증가,699000000,1018600000,1013039000,540000000,1013750000,1910001000,2654025000,1636500000
27,투자활동으로 인한 현금흐름,장기보증금의 증가,2411694000,563101000,1356081000,3934621000,3309827000,7917266000,1842219000,2435967000
28,투자활동으로 인한 현금흐름,장기보증예치금의 증가,1742073000,11300577000,432619000,3167998000,2163645000,1046231000,1081293000,211367000
29,투자활동으로 인한 현금흐름,종속기업의 처분,,,-17298000,,,,,
30,투자활동으로 인한 현금흐름,지분법적용 투자주식 취득,7315745000,-2089664000,0,,,,,
31,투자활동으로 인한 현금흐름,매도가능금융자산의 취득,102945000,,576611000,4028856000,4324246000,1121225000,2994105000,2068145000
32,투자활동으로 인한 현금흐름,당기손익-공정가치 금융자산의 취득,,1618510000,,,,,,
33,투자활동으로 인한 현금흐름,기타포괄손익-공정가치 측정,,1701700000,,,,,,
34,투자활동으로 인한 현금흐름,유형자산의 취득,18643876000,29990775000,27962544000,19853430000,54955596000,40605397000,83488785000,91222138000
35,투자활동으로 인한 현금흐름,무형자산의 취득,9292553000,9967238000,15349084000,10085383000,16835742000,47288024000,21959749000,30230722000
36,투자활동으로 인한 현금흐름,자산관련정부보조금의 감소,,,,5569304000,,,,455111000
37,투자활동으로 인한 현금흐름,종속회사의 취득으로 인한 현금흐름,,,,,,,,
38,재무활동현금흐름,재무활동현금흐름,230826537000,-19499137000,-391779831000,-343474247000,764150281000,245511322000,440503039000,24211881000
39,재무활동현금흐름,단기차입금의 증가,645168857000,309450600000,281141668000,566956130000,1205821919000,307183718000,2190811571000,2947628605000
40,재무활동현금흐름,장기차입금의 증가,112646366000,140000000000,62444524000,475707100000,100376527000,317025573000,476270037000,210956248000
41,재무활동현금흐름,사채의 발행,199206460000,99502680000,119499060000,99536000000,522924700000,398400200000,99502700000,99998479000
