,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,21504648000000,19720482000000,18217814000000,18263133000000,15924838000000,17721535000000,15572228000000,13943278000000
1,유동자산,현금및현금성자산,3341977000000,2335060000000,2407890000000,2049303000000,2497886000000,2911441000000,2475832000000,2796229000000
2,유동자산,당기손익인식금융자산,,,3690675000000,3175972000000,2343455000000,3000555000000,116710000000,64467000000
3,유동자산,단기금융상품,,,2945283000000,2716997000000,1952659000000,2676809000000,4181569000000,3346242000000
4,유동자산,기타금융자산,7769131000000,7772921000000,,,,,,
5,유동자산,매출채권및기타채권,7125380000000,6662423000000,6234130000000,7252741000000,6346334000000,6263344000000,5678001000000,5229862000000
6,유동자산,재고자산,3034170000000,2762915000000,2690294000000,2830135000000,2562318000000,2390858000000,2314116000000,1968434000000
7,유동자산,기타유동자산,233990000000,187163000000,249542000000,237985000000,222186000000,276102000000,294059000000,238003000000
8,비유동자산,비유동자산,25101416000000,23350650000000,23519005000000,23448475000000,21849995000000,21390381000000,18858081000000,16103718000000
9,비유동자산,유형자산,8605375000000,8029517000000,8206353000000,8516416000000,7946738000000,4434917000000,3887441000000,3713885000000
10,비유동자산,무형자산,913970000000,931426000000,957009000000,961024000000,930967000000,967296000000,979032000000,1046869000000
11,비유동자산,투자부동산,63533000000,107767000000,111647000000,80802000000,78276000000,329295000000,308672000000,128967000000
12,비유동자산,사용권자산,365659000000,,,,,,,
13,비유동자산,관계기업및공동기업투자주식,14087769000000,13893664000000,13944293000000,13695749000000,12704874000000,11681379000000,10550096000000,9123512000000
14,비유동자산,매도가능금융자산,,,52703000000,39467000000,36646000000,1329649000000,1235025000000,924602000000
15,비유동자산,비유동금융자산,466032000000,69549000000,,,,,,
16,비유동자산,이연법인세자산,289948000000,172960000000,71436000000,42947000000,50522000000,40436000000,45918000000,24800000000
17,비유동자산,기타비유동자산,309130000000,145767000000,175564000000,112070000000,101972000000,120505000000,121860000000,147669000000
18,자산총계,자산총계,46606064000000,43071132000000,41736819000000,41711608000000,37774833000000,39111916000000,34430309000000,30046996000000
19,유동부채,유동부채,8962268000000,8242176000000,7893236000000,8833409000000,8290621000000,8058161000000,7334057000000,7194665000000
20,유동부채,매입채무및기타채무,5685109000000,5193013000000,4907264000000,6027059000000,5379143000000,5262026000000,4738439000000,4440194000000
21,유동부채,유동성장기부채및단기차입금,1514373000000,1642107000000,1746227000000,1623869000000,1913703000000,1731160000000,1722338000000,1845241000000
22,유동부채,유동성리스부채,77458000000,,,,,,,
23,유동부채,미지급법인세,374044000000,315794000000,218355000000,361044000000,388766000000,388415000000,283873000000,400871000000
24,유동부채,유동성판매보증충당부채,650958000000,528507000000,338201000000,282397000000,190234000000,141052000000,114639000000,73310000000
25,유동부채,기타유동부채,660326000000,562755000000,683189000000,539040000000,418775000000,351908000000,298628000000,306733000000
26,비유동부채,비유동부채,5234174000000,4125528000000,4484625000000,4320210000000,3807972000000,7767652000000,6903066000000,5812617000000
27,비유동부채,장기차입금,1152506000000,1059033000000,1320438000000,1666861000000,1305498000000,1125290000000,1199969000000,725679000000
28,비유동부채,퇴직급여채무,52723000000,15798000000,7003000000,36044000000,33025000000,79785000000,55722000000,93282000000
29,비유동부채,비유동성리스부채,256883000000,,,,,,,
30,비유동부채,장기성판매보증충당부채,247481000000,111314000000,112239000000,98156000000,89107000000,87578000000,76971000000,66991000000
31,비유동부채,이연법인세부채,2992415000000,2863794000000,2977038000000,2451033000000,2292265000000,2134132000000,1915322000000,1559784000000
32,비유동부채,기타비유동부채,532166000000,75589000000,67907000000,68116000000,88077000000,97724000000,61452000000,18474000000
33,부채총계,부채총계,14196442000000,12367704000000,12377861000000,13153619000000,12098593000000,15825813000000,14237123000000,13007282000000
34,지배기업소유주지분,지배기업소유주지분,32330018000000,30630495000000,29295405000000,28494530000000,25621751000000,23162679000000,20099613000000,16904421000000
35,지배기업소유주지분,자본금,491096000000,491096000000,491096000000,491096000000,491096000000,491096000000,491096000000,491096000000
36,지배기업소유주지분,자본잉여금,1397897000000,1396026000000,1407191000000,1404965000000,1392663000000,1383568000000,1384014000000,1384014000000
37,지배기업소유주지분,자기주식,393029000000,338831000000,338831000000,-338831000000,-356375000000,-121688000000,-121688000000,-121688000000
38,지배기업소유주지분,기타자본,-822750000000,-1013270000000,-1044134000000,-583560000000,-717498000000,-617761000000,-570700000000,-476096000000
39,지배기업소유주지분,이익잉여금,31656804000000,30095474000000,28780083000000,27520860000000,24811865000000,22027464000000,18916891000000,15627095000000
40,비지배지분,비지배지분,79604000000,72933000000,63553000000,63459000000,54489000000,123424000000,93573000000,135293000000
41,자본총계,자본총계,32409622000000,30703428000000,29358958000000,28557989000000,25676240000000,23286103000000,20193186000000,17039714000000
42,,부채 및 자본총계,46606064000000,43071132000000,41736819000000,41711608000000,37774833000000,39111916000000,34430309000000,30046996000000
