,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순이익,당기순이익,2294311000000,1888206000000,1557723000000,3047282000000,3040049000000,3392512000000,3396421000000,3542013000000
1,기타포괄손익,기타포괄손익,195631000000,-211271000000,-439095000000,136357000000,-64080000000,-145793000000,-58130000000,-253493000000
2,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,-20073000000,-293509000000,21828000000,2308000000,15119000000,-122311000000,49251000000,-74942000000
3,기타포괄손익,확정급여제도의 재측정요소,-16164000000,-64541000000,42521000000,-129000000,7548000000,-44187000000,16811000000,-31038000000
4,기타포괄손익,지분법이익잉여금변동,21060000000,-203666000000,-1672000000,2437000000,7571000000,-78124000000,32440000000,-47744000000
5,기타포괄손익,기타포괄손익-공정가치 측정 금융자산 평가이익(손실),-10385000000,11703000000,,,,,,
6,기타포괄손익,지분법자본변동,-14584000000,-37005000000,,158492000000,-114593000000,-61543000000,-68342000000,-144788000000
7,기타포괄손익,기타 잉여금 변동,,,-19021000000,,,,,
8,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,215704000000,82238000000,-460923000000,134049000000,-79199000000,-23482000000,-107381000000,-178551000000
9,기타포괄손익,해외사업환산이익(손실),128703000000,-21324000000,-277747000000,-52505000000,74049000000,15531000000,-27822000000,-127480000000
10,기타포괄손익,위험회피목적파생상품평가이익(손실),-1061000000,-1862000000,19652000000,26102000000,-37003000000,-55216000000,-1174000000,74104000000
11,기타포괄손익,지분법자본변동,88062000000,105424000000,-202252000000,158492000000,-114593000000,-61543000000,-68342000000,-144788000000
12,기타포괄손익,매도가능금융자산평가이익(손실),,,-576000000,1960000000,-31598000000,75384000000,-9340000000,19527000000
13,총포괄이익,총포괄이익,2489942000000,1676935000000,1118628000000,3183639000000,2975969000000,3246719000000,3338291000000,3288520000000
14,연결총포괄손익의 귀속,지배기업소유주지분,2486518000000,1677721000000,1129114000000,3173920000000,2992976000000,3253986000000,3376763000000,3299033000000
15,연결총포괄손익의 귀속,비지배지분,3424000000,-786000000,-10486000000,9719000000,-17007000000,-7267000000,-38472000000,-10513000000
