,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,"19,23,24",,,,,,,3985834601948,4415350944011
1,,"19,20,23,24",,,,,,,3982494838631,4056670077206
2,,,,,,,,,3339763317,358680866805
3,,20,,,,,,,278501031286,264685880378
4,,,,,,,,,119197936749,115589657949
5,,,,,,,,,17068190265,17895766236
6,,,,,,,,,10207586304,11758653813
7,,,,,,,,,1731401090,1693373622
8,,,,,,,,,401615159,374076087
9,,,,,,,,,409012412,436472482
10,,,,,,,,,13779433256,5334772712
11,,,,,,,,,8732193303,8222954750
12,,,,,,,,,322654449,334525234
13,,,,,,,,,6923193861,6920850173
14,,,,,,,,,659604134,738748899
15,,,,,,,,,23709038508,22249407861
16,,,,,,,,,158672761,189946824
17,,,,,,,,,1065242911,1147350194
18,,,,,,,,,1873256591,2032333361
19,,,,,,,,,6681413677,5731675841
20,,,,,,,,,3321155802,5407086995
21,,,,,,,,,810239177,575616515
22,,,,,,,,,318255535,292568123
23,,,,,,,,,5875973233,6231727554
24,,,,,,,,,13738327963,12055129932
25,,,,,,,,,14026787733,14485835863
26,,,,,,,,,1990962804,1520040105
27,,,,,,,,,8322488584,9185647978
28,,7,,,,,,,2325012245,
29,,,,,,,,,6353830655,6452221992
30,,,,,,,,,10394594,72177042
31,,,,,,,,,30202082,52867811
32,,,,,,,,,7274865367,6368217619
33,,,,,,,,,435849568,519280293
34,,,,,,,,,746240514,816896518
35,,24,,,,,,,-275161267969,93994986427
36,,7,,,,,,,162906992122,215559374351
37,,,,,,,,,4527552593,10559387063
38,,,,,,,,,25344875000,35785375000
39,,,,,,,,,51583334863,26651331492
40,,,,,,,,,2947362996,4327359665
41,,25,,,,,,,7669971725,39830095342
42,,25,,,,,,,70833894945,98016625789
43,,,,,,,,,,389200000
44,,7,,,,,,,151321516861,55302871662
45,,,,,,,,,3606719839,2657071970
46,,,,,,,,,39888259130,45473893693
47,,,,,,,,,2752814168,6418388127
48,,9,,,,,,,83327535200,
49,,25,,,,,,,21547016935,753517872
50,,25,,,,,,,199171589,
51,,,,,,,,,37863934663,36952148589
52,,25,,,,,,,21894437499,581628265
53,,,,,,,,,987081909,
54,,,,,,,,,1845042401,524531608
55,,,,,,,,,,653723086
56,,,,,,,,,721390508,653274478
57,,,,,,,,,2391448672,104688988
58,,,,,,,,,,1523507
59,,,,,,,,,10024533674,34432778657
60,,,,,,,,,103296597272,171150788862
61,,25,,,,,,,85703633077,146511424262
62,,,,,,,,,3888126959,17197723162
63,,,,,,,,,2331099997,1726068731
64,,,,,,,,,37152990,648623202
65,,13,,,,,,,2406500000,450718620
66,,,,,,,,,368859061,
67,,10,,,,,,,6683634765,
68,,,,,,,,,1877590423,4616230885
69,,10,,,,,,,-338656698,423847484
70,,,,,,,,,-329347112015,120476696327
71,,17,,,,,,,-62232141886,33141888071
72,,,,,,,,,-267114970129,87334808256
73,,,,,,,,,-237778283469,97526168270
74,,,,,,,,,-29336686660,-10191360014
75,,21,,,,,,,,
76,,,,,,,,,-12137,4978
