,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,7314626000000,7880481000000,7487392000000,7589447382673,7884188370663,7595605786293,7091993969428,7021086366450
1,매출원가,매출원가,6917930000000,7578404000000,7193349000000,7012733093582,7043088645964,6765054754840,6271744378637,6197331808097
2,매출총이익,매출총이익,396696000000,302077000000,294043000000,576714289091,841099724699,830551031453,820249590791,823754558353
3,판매비,판매비,114695000000,110120000000,100916000000,128552669713,149862167666,134712543147,141451730602,143241190844
4,관리비,관리비,180067000000,186926000000,176409000000,185429408218,190303761766,170198481532,149558026505,140819813575
5,영업이익(손실),영업이익(손실),101934000000,5031000000,16718000000,262732211160,500933795267,525640006774,529239833684,539693553934
6,기타영업외수익,기타영업외수익,113342000000,119042000000,78332000000,122993366756,124880241048,104911316442,90478889783,79546123511
7,기타영업외비용,기타영업외비용,126579000000,131107000000,148579000000,133368872398,180521826160,80325888190,91982965815,55004933714
8,금융수익,금융수익,24914000000,20418000000,15907000000,18066108004,24059966209,24653238442,26316392030,14986755415
9,금융비용,금융비용,64664000000,67078000000,57833000000,52464948637,46364052281,38264432508,42164669205,51557030537
10,지분법손익,지분법손익,530000000,-16938000000,-5178000000,14807700436,20344216027,36707395359,44325322557,28610367344
11,사업결합손익,사업결합손익,0,0,3576000000,,,12451809388,,
12,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),49477000000,-70632000000,-97057000000,232765565321,443332340110,585773445707,556212803034,556274835953
13,법인세비용(수익),법인세비용(수익),5730000000,-15071000000,-34053000000,102038756970,116458522863,146584542957,131205600270,131710896199
14,당기순이익(손실),당기순이익(손실),55207000000,-55561000000,-63004000000,,,,,
15,기타포괄손익,기타포괄손익,15608000000,-31669000000,-26270000000,-6105670558,7784665418,7423868094,17000222216,-25023516624
16,기타포괄손익,당기손익으로 재분류될 수 있는 항목,24867000000,-7592000000,-35614000000,,,,,
17,기타포괄손익,해외사업환산손익,9807000000,3862000000,-27177000000,,,,,
18,기타포괄손익,매도가능금융자산평가이익(손실),0,0,2848000000,1565111110,-2678759033,18006221170,20732410468,4613056790
19,기타포괄손익,지분법자본변동,17739000000,-15110000000,-13984000000,-9119364071,813241358,4228937417,1437876532,-8145102049
20,기타포괄손익,당기손익으로 재분류되는 항목의 법인세,-2679000000,3656000000,2699000000,1822654823,434961850,-5361101534,-5345701650,848049312
21,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는항목,-9259000000,-24077000000,9344000000,3402205065,-40236226,,,
22,기타포괄손익,확정급여제도의 재측정요소,-7336000000,6756000000,12310000000,4481893117,-53005173,-16403552224,-452829723,-11102747173
23,기타포괄손익,기타포괄손익-공정가치 측정 금융자산평가이익(손실),-2532000000,-8526000000,0,,,,,
24,기타포괄손익,기타포괄손익-공정가치 측정 금융자산처분이익(손실),-406000000,-2788000000,0,,,,,
25,기타포괄손익,당기손익으로 재분류되지 않는 항목의 법인세,1015000000,-19519000000,-2966000000,-1079688052,12768947,3878579776,119031464,2397277003
26,총포괄손익,총포괄손익,70815000000,-87230000000,-89274000000,,334658482665,446612770844,442007424980,399540423130
27,당기순이익(손실)의 귀속 [abstract],지배기업소유주지분,55207000000,-55561000000,-63004000000,130726808351,326873817247,439188902750,425007202764,424563939754
28,당기순이익(손실)의 귀속 [abstract],비지배지분,0,0,0,,,4755995598,7555324367,6132220397
29,총 포괄손익의 귀속 [abstract],지배기업소유주지분,70815000000,-87230000000,-89274000000,130726808351,326873817247,439188902750,425007202764,424563939754
30,총 포괄손익의 귀속 [abstract],비지배지분,0,0,0,,,4755995598,7555324367,6132220397
31,주당이익(손실),기본 및 희석주당이익(손실),2078,-2092,-2372,4922,12306,16794,16224,16262
