,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,9578737698343,8769002687562,7863495599728,6794973724870,6666847614070,6120637512290,6363352269126,5800945121643
1,유동자산,현금및현금성자산,915767249640,762113418369,770652011333,737221941998,820293377680,695483722766,765366312850,924565392093
2,유동자산,단기금융상품,155374597576,157215008632,154621317388,168948368210,188951393609,180376679213,142414632534,175600593445
3,유동자산,매출채권및기타채권,2694841199120,2672237219109,2713559966704,2371015053950,2249012150413,2165675060100,2168656464870,2175237064091
4,유동자산,미수법인세,78716614906,5045761600,3515223434,5375277677,7826134909,,,
5,유동자산,재고자산,5415551805006,4919469612665,4098232860567,3407724268132,3287218827476,2953972759040,3199561765724,2453124187088
6,유동자산,파생금융자산,6612023493,577465960,436401295,2293590840,13102025933,179795443,1358229130,828374058
7,유동자산,기타금융자산,152859823736,133415515071,13116232686,12524302685,11155109690,10239054061,11105257115,6399566188
8,유동자산,기타유동자산,159014384866,118928686156,109361586321,89870921378,89288594360,110890237110,70264865704,62762549190
9,비유동자산,비유동자산,24787594810036,24535914735043,25510329264624,25745858391889,25269585923391,22813161889858,23156923100653,17665383656855
10,비유동자산,장기성매출채권및기타채권,97002176324,945673966,1638192105,1158057701,8770152807,678280455,853829854,
11,비유동자산,매도가능금융자산,,,1546191277535,1554528785625,1450944101872,1391086795524,1706492662467,1799684205459
12,비유동자산,기타포괄손익-공정가치금융자산,1541618040267,1188674309350,,,,,,
13,비유동자산,당기손익-공정가치금융자산,,824937458,,,,,,
14,비유동자산,관계기업투자주식,124217060832,125538192051,116843578270,116200718756,116252881797,115567455953,112607585930,113618917265
15,비유동자산,리스사용권자산,85792775006,,,,,,,
16,비유동자산,투자부동산,439580866714,409561133314,382054303270,377616895363,218603025027,219547800590,220678719719,220301635461
17,비유동자산,유형자산,20563303097958,20784606078643,21339292880563,21645220541999,21410717552774,19572284839279,19604846695666,15226880431644
18,비유동자산,무형자산,1578202140520,1653424161036,1748080079860,1793114184759,1852604842964,1341026934109,1350320926075,156871172452
19,비유동자산,파생금융자산,15299590307,5912576894,6597298777,5079504160,6701054854,179795443,1682970329,3255769548
20,비유동자산,기타금융자산,288138864977,307109372958,317521399692,206506412675,160784922645,163058581621,148768573685,133777945092
21,비유동자산,이연법인세자산,50940657615,28633258316,20012942030,15416055041,20050477048,8936135910,10220732267,13148804785
22,비유동자산,기타비유동자산,3499539516,30685041057,32097312522,31017235810,24156911603,795270974,775145860,272170639
23,자산총계,자산총계,34366332508379,33304917422605,33373824864352,32540832116759,31936433537461,28933799402148,29520275369779,23466328778498
24,유동부채,유동부채,6420343347706,6702510183900,6707217618490,6813114744937,6657440588526,5885585483280,6496105588338,6360500898983
25,유동부채,매입채무및기타채무,3266616484477,3345900688590,3268524695163,2853552359281,2458879019012,1878044862366,2251456695411,2157156495532
26,유동부채,단기차입금,727200973023,986187228856,886343897484,1105519933343,1893484852382,1866156485598,2711511891207,2287378969638
27,유동부채,유동성사채,989711626651,1129823635762,989720094957,1229574853669,1400372814106,939428697679,679773261422,791829902394
28,유동부채,유동성장기차입금,1138488804698,935845982508,1193433588955,1380403113648,653378892365,901396915873,608711762009,957277102608
29,유동부채,미지급법인세,2682751942,116335885065,190851627039,125783258670,116558353459,155714100593,118129366261,94001199679
30,유동부채,파생금융부채,2107192068,4720165948,7337409798,53778063,2462403736,3547937388,2294195585,1211237803
31,유동부채,기타금융부채,843259640,589445909,434800062,399928829,363400000,1969126768,2224749205,2358241112
32,유동부채,리스사용권부채(유동),16633840161,,,,,,,
33,유동부채,유동충당부채,150301351246,64516579579,2760000000,,,,,
34,유동부채,기타유동부채,125757063800,118590571683,167811505032,117827519434,131940853466,141296483783,124228416443,71645991329
35,비유동부채,비유동부채,10712249036028,9579273263513,9631084237854,9242928334501,9758994346807,9233426347053,9659486605235,7117640503151
36,비유동부채,장기성매입채무및기타채무,17424683486,,,,,,,
37,비유동부채,사채,4405750630098,4153838123349,4030008091735,4070640241437,4579221197078,4591033769870,4675355030611,3209759698911
38,비유동부채,장기차입금,4896620377814,4080149251969,4449665486251,4285664696687,4409825463846,3951602154045,4311920195317,3340331843860
39,비유동부채,파생금융부채,87415083467,83755076163,118060100463,58509696562,15171928432,10863741027,11309028542,16429211951
40,비유동부채,기타금융부채,1432790579,950604663,884735884,865506000,1079963151,1969126768,2224749205,2358241112
41,비유동부채,확정급여부채,48761179597,142291287870,99848090455,43646291389,95944442610,78086550340,45924124378,76511142702
42,비유동부채,이연법인세부채,763430360293,685469461602,834434612071,712672050908,601066165970,555479831666,589539756015,472250364615
43,비유동부채,리스사용권부채(비유동),42822177934,,,,,,,
44,비유동부채,비유동충당부채,380388421393,366110221054,35462300970,,,,,
45,비유동부채,기타비유동부채,68203331367,66709236843,62720820025,70929851518,56685185720,44391173337,23213721167,
46,부채총계,부채총계,17132592383734,16281783447413,16338301856344,16056043079438,16416434935333,15119011830333,16155592193573,13478141402134
47,지배기업소유주지분,지배기업소유주지분,16898376307152,16696013584818,16715540550277,16176243481194,15242022800475,13623903615917,13189695653322,9830926679171
48,지배기업소유주지분,자본금,667228925000,667228925000,667228925000,667228925000,667228925000,582748920000,582748920000,426572375000
49,지배기업소유주지분,자본잉여금,3914481193065,3914481193065,3914481193065,3914352871253,3921954413634,2869623263719,2869623263719,310812208409
50,지배기업소유주지분,이익잉여금,11488335873492,11560630208201,11277740474420,10654319048459,9794918989922,9191935247743,8520651019336,7871053448554
51,지배기업소유주지분,기타포괄손익누계액,957436648061,682779591018,985196290258,1069448968948,1040931727413,992190799354,1229267065166,1239676154873
52,지배기업소유주지분,자기주식,129106332466,129106332466,129106332466,-129106332466,-183011255494,-12594614899,-12594614899,-17187507665
53,비지배지분,비지배지분,335363817493,327120390374,319982457731,308545556127,277975801653,190883955898,174987522884,157260697193
54,자본총계,자본총계,17233740124645,17023133975192,17035523008008,16484789037321,15519998602128,13814787571815,13364683176206,9988187376364
55,,부채및자본총계,34366332508379,33304917422605,33373824864352,32540832116759,31936433537461,28933799402148,29520275369779,23466328778498
