,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,20512590431956,20780381550301,19165963848372,16691511903578,16132512865309,16762359710587,13532755009374,14893421506324
1,매출원가,매출원가,19115157896604,18708282382698,16733488117481,-14230770140074,-13701874413909,-14441611789482,-12184028954456,-13430067675599
2,매출총이익,매출총이익,1397432535352,2072099167603,2432475730891,2460741763504,2430638451400,2320747921105,1348726054918,1463353830725
3,판매비와관리비,판매비와관리비,1066135029070,1046009792959,1064925311172,-1015376423349,-966496708672,-829609437617,-586122999904,-574087062819
4,영업이익,영업이익,331297506282,1026089374644,1367550419719,1445365340155,1464141742728,1491138483488,762603055014,889266767906
5,금융손익,금융손익,-283262055948,-301719261970,-212715417725,-296660642264,-483000111481,-412440010856,-13437896595,41244460316
6,금융손익,금융수익,160186105874,147179555239,281845964309,173529171303,117331770752,215284187056,299380929923,447584634362
7,금융손익,금융비용,-443448161822,-448898817209,-494561382034,-470189813567,-600331882233,-627724197912,-312818826518,-406340174046
8,관계기업투자주식관련이익(손실),관계기업투자주식관련이익(손실),7567384770,17786817792,9531359514,10016558035,9494766187,11528755804,7117147661,13486307285
9,기타손익,기타손익,-3952155366,-172346629881,-83081725764,15241242076,-63908980783,8523858973,26086648445,-2722010047
10,기타손익,기타수익,213785598802,192576369021,191263541039,229426923130,158269731293,113083893829,131096254505,89339985216
11,기타손익,기타비용,-217737754168,-364922998902,-274345266803,-214185681054,-222178712076,-104560034856,-105009606060,-92061995263
12,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),51650679738,569810300585,1081284635744,1173962498002,926727416651,1098751087409,782368954525,941275525460
13,법인세비용,법인세비용,26037381591,161850865383,353744492691,-306834677914,-187560785017,-316455731694,-72970022035,-138150372307
14,당기순이익(손실),당기순이익(손실),25613298147,407959435202,727540143053,867127820088,739166631634,782295355715,709398932490,803125153153
15,기타포괄손익,기타포괄손익,284349938506,-320280374049,-78855460166,61130379315,4780706148,-274251709106,-10340878224,-43454427176
16,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,,,,,,,,
17,기타포괄손익,매도가능금융자산평가손익,,,53282744858,78112403529,43195756621,-234490797459,-18146908881,-19925972631
18,기타포괄손익,파생상품평가손익,-12264655364,-6544247225,30615918452,-42343702850,6678963874,-3005447617,7449890897,3651078191
19,기타포괄손익,해외사업환산손익,31476447546,-12413000754,-61911574085,-7250314867,-1293464839,340941858,395443484,-1805372140
20,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,,,,,,,
21,기타포괄손익,확정급여제도의 재측정요소,9700408368,-42056013742,5722940325,32880453191,-43861423284,-37144653242,-16285514,-25282985723
22,기타포괄손익,기타포괄손익-공정가치금융자산평가손익,255437737956,-259267112328,,,,,,
23,총포괄이익(손실),총포괄이익(손실),309963236653,87679061153,648684682887,928258199403,743947337782,508043646609,699058054266,759670725977
24,당기순이익(손실)의 귀속 [abstract],지배기업소유주지분,17104664648,398674377985,716090435214,850155156572,733620694702,764761099904,691911552600,796396759727
25,당기순이익(손실)의 귀속 [abstract],비지배지분,8508633499,9285057217,11449707839,16972663516,5545936932,17534255811,17487379890,6728393426
26,총포괄이익(손실)의 귀속,지배기업소유주지분,300815706084,79637025060,637621731021,911254646571,733620694702,764761099904,691911552600,796396759727
27,총포괄이익(손실)의 귀속,비지배지분,9147530569,8042036093,11062951866,17003552832,5545936932,17534255811,17487379890,6728393426
28,주당이익(손실),기본주당이익(손실),130,3037,5455,6492,5955,6600,8193,9449
