,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,9935217592000,8884243813000,7827202701000,,,,,
1,유동자산,현금및현금성자산,2028484960000,1099823984000,1126274203000,,,,,
2,유동자산,단기금융자산,690331693000,238610942000,40183166000,,,,,
3,유동자산,매출채권 및 기타채권,2775961832000,2798649715000,3155867452000,,,,,
4,유동자산,계약자산,288715764000,170578905000,0,,,,,
5,유동자산,미청구공사,0,0,5185399000,,,,,
6,유동자산,재고자산,3876745323000,4329882609000,3301983453000,,,,,
7,유동자산,파생상품자산,24999676000,17540222000,48393534000,,,,,
8,유동자산,확정계약자산,0,0,257751000,,,,,
9,유동자산,당기법인세자산,3157030000,6811098000,6105620000,,,,,
10,유동자산,기타유동자산,213192312000,222346338000,142952123000,,,,,
11,유동자산,매각예정자산,33629002000,0,0,,,,,
12,비유동자산,비유동자산,15780317597000,14463576194000,13061367457000,,,,,
13,비유동자산,관계기업및공동기업투자,4093599830000,4075972450000,3411466854000,,,,,
14,비유동자산,장기금융자산,11164998000,5908605000,8603159000,,,,,
15,비유동자산,장기매출채권및기타채권,303831834000,208089506000,119168128000,,,,,
16,비유동자산,투자부동산,9819838000,10634973000,10634973000,,,,,
17,비유동자산,유형자산,8408883562000,7885741406000,7233872407000,,,,,
18,비유동자산,사용권자산,569219470000,0,0,,,,,
19,비유동자산,무형자산,2151928719000,2091825706000,2159374556000,,,,,
20,비유동자산,파생상품자산,477267000,20200000,1607311000,,,,,
21,비유동자산,이연법인세자산,224194245000,155776533000,84537304000,,,,,
22,비유동자산,기타비유동자산,7197834000,29606815000,32102765000,,,,,
23,자산총계,자산총계,25715535189000,23347820007000,20888570158000,,,,,
24,유동부채,유동부채,8022270883000,8660182933000,6528696308000,,,,,
25,유동부채,단기금융부채,3415385034000,4554488217000,2939257297000,,,,,
26,유동부채,유동리스부채,121665490000,0,0,,,,,
27,유동부채,매입채무 및 기타채무,3529116882000,3592760195000,3118879465000,,,,,
28,유동부채,유동계약부채,450301655000,295689819000,0,,,,,
29,유동부채,선수금,0,0,186816019000,,,,,
30,유동부채,초과청구공사,0,0,4985801000,,,,,
31,유동부채,파생상품부채,18635214000,4544206000,52125144000,,,,,
32,유동부채,확정계약부채,0,0,71802000,,,,,
33,유동부채,미지급법인세,275846611000,94454334000,222553921000,,,,,
34,유동부채,유동충당부채,181157426000,107556182000,0,,,,,
35,유동부채,기타유동부채,24237940000,10689980000,4006859000,,,,,
36,유동부채,매각예정부채,5924631000,0,0,,,,,
37,비유동부채,비유동부채,5808569453000,4133477162000,4258009320000,,,,,
38,비유동부채,장기금융부채,4652880167000,3325044785000,3410563573000,,,,,
39,비유동부채,비유동리스부채,459685748000,0,0,,,,,
40,비유동부채,장기매입채무 및 기타채무,28885091000,37898003000,8678539000,,,,,
41,비유동부채,비유동계약부채,65680399000,0,0,,,,,
42,비유동부채,확정급여부채,47777038000,45103745000,33876060000,,,,,
43,비유동부채,비유동충당부채,42560436000,154646909000,207878655000,,,,,
44,비유동부채,파생상품부채,2025680000,327439000,0,,,,,
45,비유동부채,이연법인세부채,477672950000,537073529000,567629818000,,,,,
46,비유동부채,기타비유동부채,31401944000,33382752000,29382675000,,,,,
47,부채총계,부채총계,13830840336000,12793660095000,10786705628000,,,,,
48,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,7991963781000,7727491462000,7488351767000,,,,,
49,지배기업의 소유주에게 귀속되는 자본,자본금,81433085000,81433085000,81433085000,,,,,
50,지배기업의 소유주에게 귀속되는 자본,자본잉여금,5171945404000,4783119008000,6774612911000,,,,,
51,지배기업의 소유주에게 귀속되는 자본,자본조정,-546843345000,-543100695000,-500444378000,,,,,
52,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,102170382000,104030751000,185989229000,,,,,
53,지배기업의 소유주에게 귀속되는 자본,이익잉여금,3183258255000,3302009313000,946760920000,,,,,
54,비지배지분,비지배지분,3892731072000,2826668450000,2613512763000,,,,,
55,자본총계,자본총계,11884694853000,10554159912000,10101864530000,,,,,
56,,자본과부채총계,25715535189000,23347820007000,20888570158000,,,,,
