,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,26630333352000,27256649937000,,,,,,
1,매출원가,매출원가,24800633574000,25360420611000,,,,,,
2,매출총이익,매출총이익,1829699778000,1896229326000,,,,,,
3,판매비와관리비,판매비와관리비,1163105933000,1034801988000,,,,,,
4,영업이익,영업이익,666593845000,861427338000,,,,,,
5,금융수익,금융수익,484829421000,407082350000,,,,,,
6,금융비용,금융비용,756153973000,638796697000,,,,,,
7,기타영업외수익,기타영업외수익,65642195000,73753610000,,,,,,
8,기타영업외비용,기타영업외비용,297715766000,365387865000,,,,,,
9,지분법손익,지분법손익,39614956000,92985270000,,,,,,
10,법인세비용차감전순이익,법인세비용차감전순이익,202810678000,431064006000,,,,,,
11,법인세비용(수익),법인세비용(수익),87463298000,147078658000,,,,,,
12,당기순이익,당기순이익,115347380000,283985348000,,,,,,
13,기타포괄손익,기타포괄손익,-11799383000,514927000,,,,,,
14,기타포괄손익,후속적으로 당기손익으로 재분류되는 세후기타포괄손익,17636025000,41250997000,,,,,,
15,기타포괄손익,파생상품평가손익,-6870166000,11578962000,,,,,,
16,기타포괄손익,해외사업환산손익,20004165000,-1997877000,,,,,,
17,기타포괄손익,지분법자본변동,4502026000,31669912000,,,,,,
18,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 세후기타포괄손익,-29435408000,-40736070000,,,,,,
19,기타포괄손익,기타포괄손익-공정가치측정금융자산평가손익,-1682000,-59396000,,,,,,
20,기타포괄손익,보험수리적손익,-23959529000,-18796885000,,,,,,
21,기타포괄손익,유형자산재평가손익,0,1246107000,,,,,,
22,기타포괄손익,지분법이익잉여금,-5474197000,-23125896000,,,,,,
23,총포괄이익,총포괄이익,103547997000,284500275000,,,,,,
24,당기순이익의 귀속,지배기업의 소유주지분,173230665000,268618674000,,,,,,
25,당기순이익의 귀속,비지배지분,-57883285000,15366674000,,,,,,
26,총 포괄손익의 귀속 [abstract],지배기업의 소유주지분,152710608000,279666770000,,,,,,
27,총 포괄손익의 귀속 [abstract],비지배지분,-49162611000,4833505000,,,,,,
28,주당이익 [abstract],기본주당이익(손실),11848,18371,,,,,,
