,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,32443454530,1791562638,27660322483,,,,,
1,영업활동현금흐름,당기순이익(손실),85948820325,166577808950,122464406203,129458545050,111106789301,147846567191,,
2,영업활동현금흐름,현금유출(유입)이 없는 비용(수익)등의 가산(차감),147255405155,-7944609035,23723799956,-4453662710,1393292684,3593554166,,
3,영업활동현금흐름,퇴직급여,16889798527,6405410815,5012916444,4262767197,3701132834,3019230762,,
4,영업활동현금흐름,감가상각비,72531211782,28685412639,19150509798,13031515616,8946122724,8017092575,,
5,영업활동현금흐름,무형자산상각비,4693970569,237019891,205910426,191021785,114364387,90347004,,
6,영업활동현금흐름,유형자산처분손실,227061444,84052170,1297878902,154677645,296490,,,
7,영업활동현금흐름,렌탈자산폐기손실,5179619318,1655110834,,,,,,
8,영업활동현금흐름,재고자산평가손실,4110663474,344794037,,,,,,
9,영업활동현금흐름,매출채권및기타채권손상차손(환입),3818992087,978256293,227117748,4083033,-621434,-6574684,,
10,영업활동현금흐름,이자비용,11401398781,177872941,251754225,829952730,1603134408,803387865,,
11,영업활동현금흐름,법인세비용,42422081072,19008946021,39305861019,44609283868,35079749103,42355095362,,
12,영업활동현금흐름,유형자산처분이익,142317920,82010043,61593622,-3909090,-17727272,-726872667,,
13,영업활동현금흐름,무형자산처분이익,16312720,,,,,,,
14,영업활동현금흐름,관계기업및공동기업손익,41552265976,47195919961,31694462914,-48453931136,-25653771725,-28926683072,,
15,영업활동현금흐름,이자수익,12376554312,16458387030,18186976198,-18087094873,-19280683604,-20281655379,,
16,영업활동현금흐름,배당금수익,-780242125,-1213633597,-994431265,-1634701060,-3724426757,-749813600,,
17,영업활동현금흐름,당기손익인식금융자산평가이익,424260142,1039532226,,,,,,
18,영업활동현금흐름,당기손익-공정가치측정 금융자산평가손실,943833955,,430088142,,,,,
19,영업활동현금흐름,투자자산처분이익,2048070477,,3602767,,,,,
20,영업활동현금흐름,외화환산이익,3426102265,352310927,,,,,,
21,영업활동현금흐름,외화환산손실,1046900083,,,,,,,
22,영업활동현금흐름,영업권손상차손,44756000000,,,,,,,
23,영업활동현금흐름,매도가능금융자산손상차손,,,637647925,,,,,
24,영업활동현금흐름,관계기업및공동기업투자주식손상차손,,820309108,8145182093,,,,,
25,영업활동현금흐름,운전자본의 변동,-162086402987,-109878547494,-81870309610,-3269773370,8257094969,-10097280090,,
26,영업활동현금흐름,매출채권의 감소(증가),3603847596,-7625363603,-2968344928,-3290792849,-4750979926,-228003653,,
27,영업활동현금흐름,장기매출채권의 감소(증가),-10900564263,-1167304304,,,,,,
28,영업활동현금흐름,기타채권의 감소(증가),-437436101,-9842438190,137711325,1601577861,-1464985979,-4164523175,,
29,영업활동현금흐름,재고자산의 감소(증가),-28171116089,-35436557978,-26711806119,-13906163719,-7968037580,-6917789955,,
30,영업활동현금흐름,렌탈자산의 감소(증가),-10580364824,-13238429577,-9336598290,-5140754730,,,,
31,영업활동현금흐름,선급금의 감소(증가),2325944909,-3769817301,-8137349216,-4747184434,1140408277,-762289664,,
32,영업활동현금흐름,선급비용의 감소(증가),-2624063913,1439435969,717258551,-390210999,-275229585,-127916254,,
33,영업활동현금흐름,장기선급비용의 감소(증가),-89495458,-2141649939,-1733814844,-1231871928,-358882839,,,
34,영업활동현금흐름,매입채무의 증가(감소),-56230477463,-33227741113,-3278557032,-260087137,5708394825,2716262971,,
35,영업활동현금흐름,기타채무의 증가(감소),-45755637204,13112811403,-16200509925,31565220998,15069019355,3333354745,,
36,영업활동현금흐름,선수금의 증가(감소),3335161165,-5337845394,-3465563319,2346846478,8051150915,703694671,,
37,영업활동현금흐름,충당부채의 증가(감소),2251910736,952805092,-138364917,722055939,-327947748,240820048,,
38,영업활동현금흐름,계약부채의 증가(감소),1625975855,-5807313903,-1733180790,,,,,
39,영업활동현금흐름,퇴직금 등의 지급,-10639528501,-7611265715,-8769435881,-7148304250,-6807259988,-7053030802,,
40,영업활동현금흐름,이자의 지급,-9800559432,-177872941,-251754225,-847099580,-1603134408,-803387865,,
41,영업활동현금흐름,법인세의 납부,38674367963,46963089783,36657574066,-28955476970,-35674123048,-41497225520,,
42,투자활동현금흐름,투자활동현금흐름,-14707759368,58272379444,122681446848,-194496010194,-37328822984,-69248043630,,
43,투자활동현금흐름,이자의 수취,12467334399,16501336147,21366199289,19687219630,20429826081,18693182487,,
44,투자활동현금흐름,배당금의 수취,6790131125,6194858647,5150066565,5043714760,7133440457,4398990224,,
45,투자활동현금흐름,정부보조금의 수취,,350000000,,,,,,
46,투자활동현금흐름,장기투자자산의 처분,5108152000,,,,,,,
47,투자활동현금흐름,단기대여금의 감소,886433561,534454836,502085065,77106000,,,,
48,투자활동현금흐름,장기대여금의 감소,2098753661,441170354,303915082,989815449,960954457,591512141,,
49,투자활동현금흐름,(유동)기타금융자산의 감소,120208844208,324576806542,147618160613,,,,,
50,투자활동현금흐름,무형자산의 취득,1022000000,,,,,,,
51,투자활동현금흐름,회원권의 처분,920000000,,,160000000,,,,
52,투자활동현금흐름,조인트벤처에 대한 투자자산의 취득,2331300000,,,,,,,
53,투자활동현금흐름,장기대여금의 증가,2937000000,2454619990,1152000000,-550789000,-961401100,-934000000,,
54,투자활동현금흐름,(유동)기타금융자산의 증가,85285038928,4462000000,,,,,,
55,투자활동현금흐름,사업결합으로 인한 현금유출,43505209930,252787099576,,,-891632793,,,
56,투자활동현금흐름,기계장치의 처분,268600,,,,,,,
57,투자활동현금흐름,차량운반구의 처분,8090909,,8500000,31959090,17727272,5000000,,
58,투자활동현금흐름,공기구비품의 처분,48267659,2510522,500000,,2704910,27055550,,
59,투자활동현금흐름,매도가능금융자산의 처분,,,23462766,23250113,34944,,,
60,투자활동현금흐름,만기보유금융자산의 감소,,,52600000000,,,,,
61,투자활동현금흐름,관계기업투자의 처분,2962186474,,,,,,,
62,투자활동현금흐름,건물의 취득,208643014,,,,,-228588822,,
63,투자활동현금흐름,기계장치의 취득,10581165604,,,,,,,
64,투자활동현금흐름,차량운반구의 취득,,,59039791,-146934870,-63073310,,,
65,투자활동현금흐름,공기구비품의 취득,9539369079,8277982711,4462102137,-3431801130,-4343821440,-3898074958,,
66,투자활동현금흐름,건설중인자산의 취득,9133678121,5225014174,5531631144,-5577011560,-8247218969,-1309162628,,
67,투자활동현금흐름,기타유형자산의 취득,670484471,,,,,,,
68,투자활동현금흐름,산업재산권의 취득,87528741,,,,,,,
69,투자활동현금흐름,기타무형자산의 취득,904804076,204503163,134213000,,,,,
70,투자활동현금흐름,(비유동)기타금융자산의 증가,,,93552456460,,,,,
71,투자활동현금흐름,관계기업투자의 취득,,16917537990,,-81713704362,-9283290498,,,
72,재무활동현금흐름,재무활동현금흐름,-63675640910,-4869175000,-125565422370,,,,,
73,재무활동현금흐름,단기차입부채의 차입,94750533945,15000000000,,,,,,
74,재무활동현금흐름,배당금의 지급,22206725000,19869175000,17692125000,-17765625000,-15396875000,-13200000000,,
75,재무활동현금흐름,단기차입부채의 상환,89836675461,,96000000000,,,,,
76,재무활동현금흐름,유동성장기차입부채의 상환,104876051774,,,,,,,
77,재무활동현금흐름,회사채의 발행,90000000000,,,,,,,
78,재무활동현금흐름,회사채의 상환,20000000000,,,,,,,
79,재무활동현금흐름,리스부채의 상환,11506722620,,,,,,,
80,재무활동현금흐름,자기주식의 취득,,,11873297370,-5547892820,,-21148115870,,
81,현금및현금성자산의순증가(감소),현금및현금성자산의순증가(감소),-45939945748,55194767082,24776346961,-29876995594,30754221514,-4553931618,,
82,기초현금및현금성자산,기초현금및현금성자산,84786610589,29591843507,4815496546,34692492140,3938270626,8492202244,,
83,현금및현금성자산의 환율변동효과,현금및현금성자산의 환율변동효과,698605539,,,,,,,
84,기말현금및현금성자산,기말현금및현금성자산,39545270380,84786610589,29591843507,4815496546,34692492140,3938270626,,
