,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,2206965578819,1017719940186,1043130142648,969434288028,895978566028,867891756262,,
1,매출원가,매출원가,1245776984815,275130936756,129146385879,-92114038652,-75700456781,-48982499909,,
2,매출총이익,매출총이익,961188594004,742589003430,913983756769,877320249376,820278109247,818909256353,,
3,판매비와관리비,판매비와관리비,827706764391,629291620205,788655326623,-766032117193,-715712187763,-673770822660,,
4,금융자산손상차손,금융자산손상차손,3818992087,978256293,,,,,,
5,영업이익,영업이익,129662837526,112319126932,125328430146,111288132183,104565921484,145138433693,,
6,금융수익,금융수익,13581056579,18711552853,19237833756,19725366046,23005124249,21031468979,,
7,금융원가,금융원가,12345232736,177872941,1372313818,-829952730,-1603134408,-803387865,,
8,관계기업및공동기업손익,관계기업및공동기업손익,41552265976,46375610853,23549280821,48453931136,25653771725,28926683072,,
9,기타수익,기타수익,13596016277,13758370502,1901640657,916387798,605329447,778670026,,
10,기타비용,기타비용,57676042225,5400033228,6874604340,-5486035515,-6040474093,-4870205352,,
11,법인세비용차감전순이익,법인세비용차감전순이익,128370901397,185586754971,161770267222,174067828918,146186538404,190201662553,,
12,법인세비용,법인세비용,42422081072,19008946021,39305861019,-44609283868,-35079749103,-42355095362,,
13,당기순이익,당기순이익,85948820325,166577808950,122464406203,129458545050,111106789301,147846567191,,
14,당기순이익(손실)의 귀속 [abstract],지배기업 소유주지분,85948820325,166577808950,122464406203,129458545050,111106789301,147846567191,,
15,당기순이익(손실)의 귀속 [abstract],비지배지분,,,,,,,,
16,법인세비용차감후기타포괄손익,법인세비용차감후기타포괄손익,-14417215794,-7584660046,-3766878426,-7687141041,-4403560186,-3144883989,,
17,법인세비용차감후기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,-7891670913,-9213396493,5023413,-534544571,-1359325857,-3239986328,,
18,법인세비용차감후기타포괄손익,확정급여부채의 재측정요소,-1822746199,-4849602664,-504905302,-618777483,-1215085012,-2999823404,,
19,법인세비용차감후기타포괄손익,관계기업 확정급여부채의 재측정요소,-1244884785,-1655821726,509928715,84232912,-144240845,-240162924,,
20,법인세비용차감후기타포괄손익,기타포괄-공정가치 금융자산평가손익,-4824039929,-2707972103,,,,,,
21,법인세비용차감후기타포괄손익,후속적으로 당기손익으로 재분류되는 항목(세후기타포괄손익),-6525544881,1628736447,-3771901839,-7152596470,-3044234329,95102339,,
22,법인세비용차감후기타포괄손익,관계및공동기업자본변동,-7982395125,1628736447,-1750332971,-657461348,32226794,-230570920,,
23,법인세비용차감후기타포괄손익,매도가능금융자산평가손익,,,-2021568868,-6495135122,-3076461123,325673259,,
24,법인세비용차감후기타포괄손익,해외사업환산손익,1428828267,,,,,,,
25,법인세비용차감후기타포괄손익,현금흐름위험회피-평가손익,28021977,,,,,,,
26,총포괄이익,총포괄이익,71531604531,158993148904,118697527777,121771404009,106703229115,144701683202,,
27,총 포괄손익의 귀속 [abstract],지배기업 소유주지분,71531604531,158993148904,118697527777,121771404009,106703229115,144701683202,,
28,총 포괄손익의 귀속 [abstract],비지배지분,,,,,,,,
29,주당이익 [abstract],기본주당이익,7354,14252,10473,10932,9381,12331,,
