,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,I.유동자산,I.유동자산,1716089525316,1272150381332,1167700143429,,,,,
1,I.유동자산,현금및현금성자산,508299588289,281904024505,474418582798,346650586957,325824453124,186726587553,225861063568,273639848421
2,I.유동자산,기타금융자산,35234843618,30399880478,19208180491,16972026929,9384072645,11163076704,2409123332,666620000
3,I.유동자산,매출채권및기타채권,266230895078,202673064601,160321649586,184159385550,137569963182,105543209353,103652999305,94375972171
4,I.유동자산,단기대여금,5321820878,8994164060,518152670,511909302,523950440,527203540,476653560,490498360
5,I.유동자산,선급금,21486943450,14600647306,11935345911,23070892553,14001699244,14302767218,22802112050,8077224874
6,I.유동자산,선급비용,30103368168,29918466146,32210373273,36453643622,45064420723,11210939345,17155801964,14759775761
7,I.유동자산,재고자산,849383563070,703632493321,469060771403,471313786648,470619910056,493503332769,336789420402,355072911876
8,I.유동자산,당기법인세자산,28502765,27640915,27087297,549121,7602763,16391650,,
9,Ⅱ.비유동자산,Ⅱ.비유동자산,1811191098735,1031591747005,1051476687590,961822221911,1153154529051,1084458696072,1002923462903,800529438119
10,Ⅱ.비유동자산,관계기업및공동기업투자,47546347427,34456238080,32764828103,34841338791,42207908776,6019133315,4861193624,1299265233
11,Ⅱ.비유동자산,장기투자자산,774535147,774535147,774535147,774535147,560250147,19440445347,26282350947,45282159532
12,Ⅱ.비유동자산,기타금융자산,205409053571,195677520318,173653335903,100390477988,275551393502,255064111873,244274813857,244690338268
13,Ⅱ.비유동자산,장기대여금,3013667130,21923270981,79195643359,67497242770,64633063605,64191588743,60840440490,910177190
14,Ⅱ.비유동자산,유형자산,674533513187,696935272889,693083835691,706919811848,735612089180,703582764379,643394654355,482129124983
15,Ⅱ.비유동자산,무형자산,56062161194,47984778702,43785328130,48170637839,30022175858,32725466664,23265177940,26211683909
16,Ⅱ.비유동자산,사용권자산,784598498830,0,,,,,,
17,Ⅱ.비유동자산,장기선급비용,4584321786,10868464806,20592034144,,,,,6689004
18,Ⅱ.비유동자산,이연법인세자산,34669000463,22971666082,7627147113,3228177528,4567647983,3435185751,4831690,
19,자산총계,자산총계,3527280624051,2303742128337,2219176831019,2040955002593,2176705186828,1907452204204,1712070637084,1547612289582
20,I.유동부채,I.유동부채,1438081656778,1002732634441,879356712566,,,,,
21,I.유동부채,매입채무및기타채무,701512496317,537324050101,404375759826,364632466459,325787861151,327516089693,231399238825,192733269895
22,I.유동부채,기타금융부채,305648244376,157190123756,158259613613,146102881208,2708334220,3953297565,3581869560,2189685980
23,I.유동부채,단기차입금,19696529468,9819360000,21617010000,52647153105,9937080000,,,
24,I.유동부채,유동성사채,249894750326,149961748136,199977656342,99990462654,149888209783,,139874153186,80000000000
25,I.유동부채,선수금,58712316904,50712993206,50297694451,33948296660,36439361791,29376514221,33027041725,24195957052
26,I.유동부채,선수수익,55208900199,51758957209,22821825533,25410453921,40772244860,41449424052,17376265533,15424765204
27,I.유동부채,당기법인세부채,38700097368,42171695268,14045202538,11519261928,14110880434,27905826744,4038041962,23232363758
28,I.유동부채,충당부채,8708321820,3793706765,7961950263,5676089549,3201829452,4991336516,3249105861,10152043188
29,Ⅱ.비유동부채,Ⅱ.비유동부채,1169657855951,535946037629,671682263458,639487252373,849910094049,742287696602,600971282527,509961683396
30,Ⅱ.비유동부채,장기기타채무,15014401314,16799564909,10860294664,22496406706,13220757167,8581016667,7293510000,6702608028
31,Ⅱ.비유동부채,기타금융부채,645688825590,2572097800,3295738800,7153178200,122776776541,115558527677,130739058891,95686356675
32,Ⅱ.비유동부채,사채,498929198739,499102335618,648551363437,598880308894,698371415855,598610222854,448743107372,388808963708
33,Ⅱ.비유동부채,확정급여부채,4255894521,11488941053,8974866557,10957358573,15541144486,17725168490,9626813082,11174874970
34,Ⅱ.비유동부채,충당부채,5769535787,5983098249,,5676089549,3201829452,4991336516,3249105861,10152043188
35,부채총계,부채총계,2607739512729,1538678672070,1551038976024,1379414317857,1432755895740,1177480185393,1033516999179,858430950529
36,I.지배기업의 소유주에게 귀속되는 자본,I.지배기업의 소유주에게 귀속되는 자본,919164565275,764412235762,667485508091,661540684736,743949291088,729972018811,678553637905,689181339053
37,I.지배기업의 소유주에게 귀속되는 자본,자본금,200000000000,200000000000,200000000000,200000000000,200000000000,200000000000,200000000000,200000000000
38,I.지배기업의 소유주에게 귀속되는 자본,자본잉여금,196555683971,196555683971,196555683971,196555683971,196555683971,196555683971,196554800584,196553967982
39,I.지배기업의 소유주에게 귀속되는 자본,기타자본,-104474163364,-104474163364,-104474163364,-104474163364,-3936237864,-3936237864,-3940907944,-3945309524
40,I.지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,84587248,-3034260983,-6160336141,-1840804810,-4042261248,-6257977372,-1971556272,5753901892
41,I.지배기업의 소유주에게 귀속되는 자본,이익잉여금,626998457420,475364976138,381564323625,371299968939,355372106229,61412627032,12026215563,102031129302
42,II.비지배지분,II.비지배지분,376546047,651220505,652346904,,,,,
43,자본총계,자본총계,919541111322,765063456267,668137854995,661540684736,743949291088,729972018811,678553637905,689181339053
44,,부채및자본총계,3527280624051,2303742128337,2219176831019,2040955002593,2176705186828,1907452204204,1712070637084,1547612289582
