,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,I.당기순이익,I.당기순이익,169427576031,110308150447,25286262759,27830465718,18482064635,73482881944,10809989217,
1,II. 기타포괄손익,II. 기타포괄손익,-1664139826,-96768025,-6058828146,4109634580,9305988792,-16130151105,-9600441347,
2,II. 기타포괄손익,후속적으로 당기손익으로 재분류되지 않는항목,,,,,,,,
3,II. 기타포괄손익,순확정급여부채의 재측정 요소,-4810720990,-3234826862,-1734911484,1908178142,7090272668,-11843730005,-1874983183,
4,II. 기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,,,,,,,,
5,II. 기타포괄손익,지분법자본변동,-1404907758,-355702003,764159333,-139145378,-465326417,131622953,-817688325,
6,II. 기타포괄손익,해외사업환산손익,4551488922,3493760840,-5088075995,-2365183464,1411854618,768120392,-118626756,
7,III. 당기총포괄이익,III. 당기총포괄이익,167763436205,110211382422,19227434613,31940100298,27788053427,57352730839,1209547870,
8,당기총포괄이익의 귀속,지배기업소유주지분,168038110663,110212508821,19230604505,31940100298,27788053427,57352730839,1209547870,
9,당기총포괄이익의 귀속,비지배지분,-274674458,-1126399,-3169892,,,,,
