,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,I.  매출액,I.  매출액,5717306417234,4713673210396,3514696377592,3715311073945,3251679551390,2908977192335,2296998372595,2219638551389
1,II. 재료비,II. 재료비,-3300673964006,-2462151358082,-1866047233990,-2039533751108,-1762138293069,-1612907150242,-1327413824791,-1254561130989
2,III. 인건비,III. 인건비,-310312139371,-281397054349,-202828553620,-214122249685,-198394934489,-164500864498,-122856807849,-144139384960
3,IV. 기타영업비용,IV. 기타영업비용,-1810460339013,-1761019797197,-1372734431905,-1382689344804,-1213995955778,-992589161354,-760161183389,-691674975840
4,V. 영업이익,V. 영업이익,295859974844,209105000768,73086158077,78965728348,77150368054,138980016241,86566556566,129263059600
5,VI. 영업외손익,VI. 영업외손익,-70266949505,-62129861246,-28336507618,-26545739238,-33159200016,-25205460072,-70544135095,4223477337
6,VI. 영업외손익,금융수익,12223385117,10879330301,7632745496,21758922885,11813159589,16356371640,19518395250,15954449284
7,VI. 영업외손익,금융비용,-39584954540,-18587072196,-22469813680,-32488280920,-30330156811,-26140700139,-26807774409,-25404981378
8,VI. 영업외손익,투자손익,-4157897084,-1465846713,-8024088715,-6910144561,-5230491788,-878158461,902134343,15135515570
9,VI. 영업외손익,기타영업외수익,40803398416,37082662890,32842339040,32488951717,22724756681,14510674854,16336500762,18943434989
10,VI. 영업외손익,기타영업외비용,-79550881414,-90038935528,-38317689759,-41395188359,-32136467687,-29053647966,-80493391041,-20404941128
11,VII. 법인세비용차감전순이익,VII. 법인세비용차감전순이익,225593025339,146975139522,44749650459,52419989110,43991168038,113774556169,16022421471,133486536937
12,법인세비용,법인세비용,-56165449308,-36666989075,-19463387700,-24589523392,-25509103403,40291674225,5212432254,32495734920
13,VIII. 당기순이익,VIII. 당기순이익,169427576031,110308150447,25286262759,27830465718,18482064635,73482881944,10809989217,100990802017
14,당기순이익의 귀속,지배기업 소유주,169729983422,110321260525,25285047320,27830465718,18482064635,73482881944,10809989217,100990802017
15,당기순이익의 귀속,비지배지분,-302407391,-13110078,1215439,,,,,
16,IX. 주당이익,기본및희석보통주당이익,4483,2913,667,729,469,1866,274,2566
17,IX. 주당이익,기본및희석우선주당이익,4533,2963,717,779,519,1916,,
