,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,1579013789246,1492635018021,,,,,,
1,유동자산,현금및현금성자산,38215576367,40977456803,,,,,,
2,유동자산,매출채권 및 기타채권,811512440017,772662388494,,,,,,
3,유동자산,미청구공사,289142442713,248881229761,,,,,,
4,유동자산,기타금융자산,11055271075,7734433531,,,,,,
5,유동자산,기타유동자산,120357024624,88356863738,,,,,,
6,유동자산,재고자산,306018124340,332744153717,,,,,,
7,유동자산,당기법인세자산,2712910110,1278491977,,,,,,
8,비유동자산,비유동자산,2421816358560,1939876534956,,,,,,
9,비유동자산,장기매출채권 및 기타채권,513376336441,484725487796,,,,,,
10,비유동자산,유형자산,1077232905571,1077626554915,,,,,,
11,비유동자산,투자부동산,568108956256,143815017990,,,,,,
12,비유동자산,무형자산,160599500769,12726653965,,,,,,
13,비유동자산,기타비유동금융자산,46683590873,155195335765,,,,,,
14,비유동자산,기타비유동자산,4703838699,3379267520,,,,,,
15,비유동자산,이연법인세자산,51111229951,62408217005,,,,,,
16,자산총계,자산총계,4000830147806,3432511552977,,,,,,
17,유동부채,유동부채,2116804025677,1999317157710,,,,,,
18,유동부채,매입채무 및 기타채무,684688289242,814934650246,,,,,,
19,유동부채,초과청구공사,165191286633,254739570870,,,,,,
20,유동부채,차입금,965109191010,746738897302,,,,,,
21,유동부채,기타금융부채,15065657615,2570410202,,,,,,
22,유동부채,당기법인세부채,19004799915,20055456380,,,,,,
23,유동부채,유동충당부채,10847952069,9471785096,,,,,,
24,유동부채,기타유동부채,256896849193,150806387614,,,,,,
25,비유동부채,비유동부채,893528656700,528483316284,,,,,,
26,비유동부채,장기매입채무 및 기타채무,238987813383,125456904325,,,,,,
27,비유동부채,장기차입금,467144661806,314057207857,,,,,,
28,비유동부채,기타비유동금융부채,5671321174,1106386611,,,,,,
29,비유동부채,순확정급여부채,10204090863,4196883487,,,,,,
30,비유동부채,비유동충당부채,146307279346,73676550425,,,,,,
31,비유동부채,기타비유동부채,25213490128,9989383579,,,,,,
32,부채총계,부채총계,3010332682377,2527800473994,,,,,,
33,지배기업의 소유주지분,지배기업의 소유주지분,908242610158,904517045623,,,,,,
34,지배기업의 소유주지분,자본금,46622740000,46622740000,,,,,,
35,지배기업의 소유주지분,주식발행초과금,908686987240,908732724016,,,,,,
36,지배기업의 소유주지분,이익잉여금(결손금),-1611051883,-3638673378,,,,,,
37,지배기업의 소유주지분,기타자본구성요소,-45456065199,-47199745015,,,,,,
38,비지배지분,비지배지분,82254855271,194033360,,,,,,
39,자본총계,자본총계,990497465429,904711078983,,,,,,
40,,자본과부채총계,4000830147806,3432511552977,,,,,,
