,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,131110615848,121860449837,107280032420,86512073371,85852763906,82327247062,76910920007,90773750286
1,유동자산,현금및현금성자산,40122039634,32737066948,34764202398,20274922794,12354245570,6815463137,5461825759,11430186466
2,유동자산,단기금융자산,1440000000,435000000,1340000000,2150000000,1420000000,650000000,3000000000,2790000000
3,유동자산,매도가능금융자산,,,6546000000,12593064634,12108090467,6155333945,9036221389,9612058977
4,유동자산,당기손익-공정가치 금융자산,,559574840,,,,,,
5,유동자산,당기손익인식금융자산,,,556692480,473971810,456293750,566726540,485603950,324507990
6,유동자산,매출채권 및 기타유동채권,28187920827,36839644132,35643842664,38906179433,44194485553,41103777220,35477961499,38825554780
7,유동자산,재고자산,41908678867,38321274013,26106412634,21655462181,26100401283,30476589012,28873969108,33485309962
8,유동자산,기타유동자산,19451976520,12967889904,2322882244,3051537153,1315842320,2685768553,3199589801,3580440393
9,비유동자산,비유동자산,397797290179,319620509714,208834936985,187700247867,175535504754,149652906422,213227387821,230978810088
10,비유동자산,장기금융자산,87000000,633000000,269000000,109000000,964000000,554000000,124000000,1814000000
11,비유동자산,기타포괄손익-공정가치 금융자산,13760881307,16475533839,,,,,,
12,비유동자산,매도가능금융자산,,,15736317064,12593064634,12108090467,6155333945,9036221389,9612058977
13,비유동자산,공동기업 투자,4103546335,3866737790,3233044553,2606764628,2973469351,3540883872,3828493712,4314778983
14,비유동자산,관계기업 투자,13976179425,14449846124,16498748522,,,,,934503467
15,비유동자산,유형자산,348815027546,269157230678,162031296767,159528991344,152068718719,132162088387,180337926107,201750970029
16,비유동자산,사용권자산,4262509671,,,,,,,
17,비유동자산,무형자산,2091452581,5937140550,3456271478,3643850042,4825429331,5101254394,6134327451,6514411592
18,비유동자산,기타비유동금융자산,806728538,1590992817,1539394926,416526411,870656450,796426455,2959092792,3726877304
19,비유동자산,이연법인세자산,9893964776,7510027916,6070863675,8802050808,1192512779,772608326,10199333802,1665544946
20,자산총계,자산총계,528907906027,441480959551,316114969405,310931432690,261388268660,231980153484,290138307828,321752560374
21,유동부채,유동부채,92139190008,70604448705,47277182252,61739899947,73035137312,82265306237,65294372790,71144537821
22,유동부채,매입채무 및 기타유동채무,36719465243,26721738898,23736828544,21103270659,34804913792,33248498434,29946116159,28709747414
23,유동부채,단기차입금,28951807828,15000000000,15000000000,20000000000,31172419480,42327691149,31061409321,29080351740
24,유동부채,유동성장기차입금,23752040000,18160008632,5742840000,19690332250,6595811100,6207641250,3564206550,7499381250
25,유동부채,기타유동부채,889621342,3667311925,662569812,587986143,461992940,464444414,721918469,1281316034
26,유동부채,유동리스부채,240049309,,,,,,,
27,유동부채,충당부채,,778382500,,,,,,
28,유동부채,당기법인세부채,1586206286,6277006750,2134943896,358310895,,17030990,722291,4573741383
29,비유동부채,비유동부채,193824905739,125376059228,59926341276,70010892136,90358895331,88343321105,92853142086,90194493620
30,비유동부채,장기매입채무 및 기타비유동채무,3276149000,4397090000,,,,,,
31,비유동부채,장기차입금,181901909692,115945683418,53671390000,62737500000,83757368400,82479986000,88954282005,84839444579
32,비유동부채,비유동리스부채,468021505,,,,,,,
33,비유동부채,기타비유동부채,1226061445,911743731,1037681656,1007422655,1197634872,1311720725,52000000,2188750000
34,비유동부채,순확정급여부채,6952764097,4121542079,5217269620,6265969481,5403892059,4551614380,3846860081,3166299041
35,부채총계,부채총계,285964095747,195980507933,107203523528,151704788969,163394032643,170608627342,158147514876,161339031441
36,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,212494113212,207976318911,176459363457,147236153919,86111690210,49486289515,119717636816,147700899342
37,지배기업의 소유주에게 귀속되는 자본,자본금,46303409500,46303409500,46199876500,46199876500,46199876500,42411976500,42411976500,42411976500
38,지배기업의 소유주에게 귀속되는 자본,주식발행초과금,54360196987,54360196987,52766824117,52766824117,52766479551,34976673503,34976673503,34976673503
39,지배기업의 소유주에게 귀속되는 자본,기타자본,3867665624,5404771729,5495363994,5817492388,4871021571,2719358102,5223351772,3901895309
40,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),107962841101,101907940695,71997298846,42451960914,-17725687412,-30621718590,37105635041,66410354030
41,비지배지분,비지배지분,30449697068,37524132707,32452082420,11990489802,11882545807,11885236627,12273156136,12712629591
42,자본총계,자본총계,242943810280,245500451618,208911445877,159226643721,97994236017,61371526142,131990792952,160413528933
43,,자본과부채총계,528907906027,441480959551,316114969405,310931432690,,231980153484,290138307828,321752560374
