,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),248943837512,274933667322,248838269757,192073255877,161154167550,187022362816,203418690640,222678375965
1,매출원가,매출원가,197342277394,206099906166,186571988385,-132470933761,-124020229395,-165896463075,188601366647,193974281797
2,매출총이익,매출총이익,51601560118,68833761156,62266281372,59602322116,37133938155,21125899741,14817323993,28704094168
3,판매비와관리비,판매비와관리비,38165335554,29242303799,26783775449,-23168744694,-21925482037,-30340909406,30719027656,34580698404
4,영업이익(손실),영업이익(손실),13436224564,39591457357,35482505923,36433577422,15208456118,-9215009665,-15901703663,-5876604236
5,기타이익,기타이익,2356380641,1720240086,4669768649,28876178767,4150439299,5596226177,5875405472,5422272608
6,기타손실,기타손실,8598618613,2358879552,5056365890,,,,,
7,금융수익,금융수익,308455864,267071375,267537819,136510722,150443597,131053915,549609038,2299631801
8,금융원가,금융원가,4096439318,2040780196,2573946439,-3719799384,-4119018967,-4835151354,4853530189,6088335832
9,관계기업및공동기업투자이익,관계기업및공동기업투자이익,509070299,-1237947514,510848801,145618954,-248928023,,,
10,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),3915073437,35941161556,33300348863,59420632506,13136829314,-58705948074,-40120330350,20642347078
11,법인세비용,법인세비용,3709263375,7890165208,5077234020,,,9992059541,-9825655265,3781171771
12,당기순이익(손실),당기순이익(손실),205810062,28050996348,28223114843,66098972980,13541584677,-68698007615,-30294675085,16861175307
13,기타포괄손익,기타포괄손익,-2762451400,-1070840607,-1935065843,-1257908328,1323797643,-1956711788,1381272437,2131950435
14,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-4390211387,-413641409,10961118,-686761601,-1042438278,440499569,381872238,-487277328
15,기타포괄손익,순확정급여부채의 재측정요소,-1904333626,-831560175,10961118,,-1042438278,440499569,381872238,-487277328
16,기타포괄손익,기타포괄손익-공정가치 금융자산 평가손익,-2117428975,576589084,,,,,,
17,기타포괄손익,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),-368448786,-158670318,,,,,,
18,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),1627759987,-657199198,-1946026961,,,,,
19,기타포괄손익,매도가능금융자산평가손익(세후기타포괄손익),,,2112026330,621151250,1776926533,-2880887444,518046682,4468311209
20,기타포괄손익,매도가능금융자산평가손익의 세후재분류조정,,,581967231,,,,,
21,기타포괄손익,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),64777512,-18591329,-129020075,-103102052,87832126,49526656,96300434,-269828100
22,기타포괄손익,해외사업장환산외환차이(세후기타포괄손익),1562982475,-638607869,-3347065985,-1089195925,501477262,434149431,385053083,-1579255346
23,총포괄손익,총포괄손익,-2556641338,26980155741,26288049000,60181863138,15045003827,-70654719403,-28913402648,18993125742
24,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),8100276230,30831968905,29496917300,65449668120,13541584677,,,
25,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),-7894466168,-2780972557,-1273802457,649304860,38533486,,,
26,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",4517794301,29941655454,29135600299,60073919143,15047694647,-70313125078,-28473929193,19705842102
27,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",-7074435639,-2961499713,-2847551299,107943995,-2690820,-341594325,-439473455,-712716360
28,주당이익 [abstract],기본주당이익(손실),,,,,,,,
29,주당이익 [abstract],계속영업기본주당이익(손실),88,333,320,710,157,,,
30,주당이익 [abstract],희석주당이익(손실),,,,,,,,
31,주당이익 [abstract],계속영업희석주당이익(손실),88,333,319,710,157,,,
