,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),3450421529936,2954642540440,2530323756958,,,,,
1,매출원가,매출원가,1720714487680,1487105988703,1289793351153,,,,,
2,매출총이익,매출총이익,1729707042256,1467536551737,1240530405805,,,,,
3,판매비와관리비,판매비와관리비,1259030549610,1110434382244,1023064433851,,,,,
4,영업이익(손실),영업이익(손실),470676492646,357102169493,217465971954,,,,,
5,기타수익,기타수익,33715807124,34044072509,2311804654,,,,,
6,기타비용,기타비용,10799613846,18052812516,6798012240,,,,,
7,금융수익,금융수익,21860549804,19693165853,43418388591,,,,,
8,이자수익,이자수익,2451511226,1991239173,1675855617,,,,,
9,금융비용,금융비용,81271283587,77422814362,88803803572,,,,,
10,관계기업에 대한 지분법이익,관계기업에 대한 지분법이익,34621568628,19778378833,12497548372,,,,,
11,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),471255031995,337133398983,181767753376,,,,,
12,법인세비용(수익),법인세비용(수익),133111233147,127083431941,73658194485,,,,,
13,당기순이익(손실),당기순이익(손실),338143798848,210049967042,108109558891,,,,,
14,기타포괄손익,기타포괄손익,,,,,,,,
15,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),,,,,,,,
16,기타포괄손익,순확정급여부채의 재측정요소(세후기타포괄손익),-16631658037,5146982045,-46331147495,,,,,
17,기타포괄손익,기타포괄손익공정가치 금융상품 평가손익,1310172880,-1010922206,,,,,,
18,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,,,,,,,
19,기타포괄손익,관계기업에 대한 지분법자본변동,-1350388721,-2024742620,1376708796,,,,,
20,기타포괄손익,해외사업장환산외환차이(세후기타포괄손익),39792517579,60639963294,-123965474269,,,,,
21,기타포괄손익,매도가능금융자산평가손익(세후기타포괄손익),,,423763369,,,,,
22,기타포괄손익,파생금융자산평가손익(세후기타포괄손익),-5391625863,7342769675,-14643322423,,,,,
23,당기 세후 기타포괄손익,당기 세후 기타포괄손익,17729017838,70094050188,-183139472022,,,,,
24,당기총포괄손익,당기총포괄손익,355872816686,280144017230,-75029913131,,,,,
25,당기순이익(손실)의 귀속 [abstract],지배주주지분,266778723988,143546058058,62387687494,,,,,
26,당기순이익(손실)의 귀속 [abstract],비지배주주지분,71365074860,66503908984,45721871397,,,,,
27,당기 총포괄손익의 귀속,지배주주지분,287118314398,192443538630,-68086024099,,,,,
28,당기 총포괄손익의 귀속,비지배지분,68754502288,87700478600,-6943889032,,,,,
29,주당이익 [abstract],기본주당이익(손실),4382,2349,1030,,,,,
30,주당이익 [abstract],희석주당이익(손실),4382,2349,1030,,,,,
