,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,426835641720,529637192748,505731797747,319280225217,368934116079,318618687685,402379038748,379462566726
1,유동자산,현금및현금성자산,21709614670,37338626282,14708603816,14524339802,8733921523,22303755106,24795385788,31283149571
2,유동자산,기타유동금융자산,291877255211,356036896700,350000000000,163071269440,225337852119,156623323024,221729364465,176204545000
3,유동자산,매출채권 및 기타유동채권,72625305871,95930794182,101180707458,106717853461,92849701340,102842360048,117892229854,134076255519
4,유동자산,재고자산,28418511068,30835763810,30893025694,27193999951,31974126995,28467528973,32396785763,33054607981
5,유동자산,당기법인세자산,201311296,0,110433126,6398200,8285200,,3604440,62797492
6,유동자산,기타유동자산,12003643604,9495111774,8839027653,7766364363,10030228902,8381720534,5561668438,4781211163
7,비유동자산,비유동자산,487032149180,335097298607,375847507239,429594361556,341659125416,424253888507,374115151912,391555768923
8,비유동자산,기타비유동금융자산,171825510065,70346891844,78039097033,98321581492,2955398493,61458210000,1458210000,1458210000
9,비유동자산,지분법적용 투자지분,56471574283,27061766416,31179440759,32932113582,20698972563,18679114856,17547542042,18231421007
10,비유동자산,유형자산,215693576411,217482532702,243813809578,262049545286,279429312479,301384446245,320982837804,338895176784
11,비유동자산,영업권 이외의 무형자산,8618052944,8376743334,7804266521,12767903655,17377975838,18345324222,17944212078,21284444435
12,비유동자산,사용권자산,5219673792,0,0,,,,,
13,비유동자산,투자부동산,22212181027,4532091006,4539810820,4547530634,4541053094,4548230334,4550630368,4557638003
14,비유동자산,장기매출채권 및 기타비유동채권,697665000,3062915846,2891486569,7445078213,8759606440,16115174014,7189154639,6093007863
15,비유동자산,이연법인세자산,5222783913,3683362554,2340089184,5666017821,3508982231,2806618005,3408094150,
16,비유동자산,퇴직급여운용자산/퇴직연금운용자산,1070384545,451067883,0,,,,,
17,비유동자산,기타비유동자산,747200,99927022,5239506775,5864590873,4387824278,916770831,1034470831,1035870831
18,자산총계,자산총계,913867790900,864734491355,881579304986,748874586773,710593241495,742872576192,776494190660,771018335649
19,유동부채,유동부채,168027944628,100705701137,172921685854,139144585422,116499241617,217966977912,163172819074,140695456836
20,유동부채,단기차입금,36117103602,9558627394,6507197077,22252234925,26178502350,60512108192,34687648104,21549505741
21,유동부채,유동성장기금융부채,35585503272,0,29977456731,,,49942927485,,
22,유동부채,매입채무 및 기타유동채무,73222787665,70465788038,108431871063,95257021044,59137480972,75504969249,68074649138,93017813904
23,유동부채,기타유동금융부채,1792908179,244944330,327644579,8002398,193621810,342181513,152854698,
24,유동부채,당기법인세부채,20023214638,19411296186,27479347894,14018865087,5195343845,6954590720,15266696723,5787370368
25,유동부채,기타유동부채,1286427272,1025045189,198168510,454615815,63908024,94816137,42252452,7433487
26,비유동부채,비유동부채,74188612727,97966390945,109842639166,116421723747,121220229379,51812032968,149768628161,169832630604
27,비유동부채,장기금융부채,49925544082,84521823229,105565519826,102186563724,99641777798,16627267879,63653614644,61100145376
28,비유동부채,장기매입채무 및 기타비유동채무,20105592426,9655445574,1215630088,1290835263,1358991374,1410181203,229468183,368196365
29,비유동부채,기타비유동금융부채,0,848614938,240626712,,,,17257183,
30,비유동부채,이연법인세부채,764047855,773285637,234419956,792697604,709892178,470435464,523686207,1299287975
31,비유동부채,퇴직급여부채,0,23584381,2586442584,3351627156,3210721880,1959917661,1018319905,790000894
32,비유동부채,기타비유동부채,3393428364,2143637186,0,,,,,
33,부채총계,부채총계,242216557355,198672092082,282764325020,255566309169,237719470996,269779010880,312941447235,310528087440
34,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,652833587507,647366971553,580905072493,493080442219,472983127579,471121480327,459101917783,452176088061
35,지배기업의 소유주에게 귀속되는 자본,자본금,40878588000,40878588000,40878588000,40878588000,40878588000,40878588000,40878588000,40878588000
36,지배기업의 소유주에게 귀속되는 자본,자본잉여금,190416641466,190416641466,185265759814,181838602189,181838602189,181838602189,181838602189,181838602189
37,지배기업의 소유주에게 귀속되는 자본,기타자본조정,-54407319503,-34563951553,-50203852066,-43530576750,-40822623090,-27730026196,-29062922856,-9702953609
38,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,-1942034949,-4943368136,-3745523979,-409289075,-203195712,-992762566,-986594150,-1296863672
39,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),477887712493,455579061776,408710100724,314303117855,291291756192,277127078900,266434244600,240458715153
40,비지배지분,비지배지분,18817646038,18695427720,17909907473,227835385,-109357080,1972084985,4450825642,8314160148
41,자본총계,자본총계,671651233545,666062399273,598814979966,493308277604,472873770499,473093565312,463552743425,460490248209
42,,자본과부채총계,913867790900,864734491355,881579304986,748874586773,710593241495,742872576192,776494190660,771018335649
