,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,107282552223,116631222671,156380803858,115486242792,66495553746,97829934996,86893076083,41544491693
1,영업활동현금흐름,당기순이익(손실),70312286238,105081366416,110056577047,39903580904,34222746290,38041970802,50290636049,52194434658
2,영업활동현금흐름,당기순이익조정을 위한 가감,66443023031,65148664597,68802152275,72348917650,49218260258,56650692859,54195567586,40609149483
3,영업활동현금흐름,법인세비용,30909181674,35643798204,37128521283,19244617243,7913789415,11589212695,20057533389,11717479311
4,영업활동현금흐름,수선비,0,0,435820347,,,,,
5,영업활동현금흐름,지분법손실,10797782336,6919474402,3170469292,2797484648,2257335578,2124683982,1889794439,2094078549
6,영업활동현금흐름,이자비용,3347367941,3662357502,8195332909,7380532679,7730858144,9117922760,9940564791,6799475444
7,영업활동현금흐름,외화환산손실,1348479696,725509693,1241166642,1750330552,334638421,232006716,327858282,812603593
8,영업활동현금흐름,외환차손,0,0,321200000,,,,,
9,영업활동현금흐름,감가상각비,26947250723,29040945635,29064700028,33069961613,34980398336,34841588289,37977110361,26754942009
10,영업활동현금흐름,사용권자산감가상각비,1376162790,0,0,,,,,
11,영업활동현금흐름,투자부동산감가상각비,8118843,7719814,7719814,7222460,7177240,7050034,7007635,7007635
12,영업활동현금흐름,유형자산처분손실,110292570,30848591,28831826,2203211432,72884207,17991151,276859966,160923494
13,영업활동현금흐름,무형자산처분손실,1696113,7272728,2200000,,,30510164,,
14,영업활동현금흐름,무형자산손상차손,0,0,4340000000,3555293946,,,,270000000
15,영업활동현금흐름,퇴직급여,1847490288,2084526946,2210139477,2144111712,1780538205,1608973828,1522337325,1227077906
16,영업활동현금흐름,무형자산상각비,78213814,95052764,1070808228,1118700737,1570182943,1754831856,1724675938,1054200977
17,영업활동현금흐름,파생금융자산평가손실,846153625,753868446,17122716,,40767112,172069632,17257183,
18,영업활동현금흐름,종속기업/관계기업/공동기업투자손상차손,1913609266,0,0,,,,,
19,영업활동현금흐름,재고자산처분손실,9478767,225387762,1760950,83757187,23798293,146847895,21178102,
20,영업활동현금흐름,재고자산평가손실,199468862,0,0,4927870,207889768,22133850,,788192886
21,영업활동현금흐름,재고자산평가손실환입,0,0,48443969,,,,,
22,영업활동현금흐름,배출원가,38633400,0,-169318900,142884900,25173000,,,
23,영업활동현금흐름,기타의 대손상각비,720493965,0,674332860,2784230603,25476373,116487897,85314724,
24,영업활동현금흐름,유형자산처분이익,67871006,2258379107,173777683,-10254236,,,,-39320998
25,영업활동현금흐름,무형자산처분이익,0,95000000,0,,,,,
26,영업활동현금흐름,무형자산손상차손환입,108468484,0,0,,,,,
27,영업활동현금흐름,종속기업/관계기업/공동기업투자처분이익,0,0,9260695482,,,,,
28,영업활동현금흐름,이자수익,10390628829,9173312533,6431671165,-4540114993,-5062561534,-5978284582,-6417730451,-10651858515
29,영업활동현금흐름,배당금수익,279051120,143143249,20673693,204683002,146053302,,,
30,영업활동현금흐름,외화환산이익,558784967,467345883,399465199,-2158791075,-937133178,-791091453,-264699029,-567402117
31,영업활동현금흐름,외환차익,0,0,168314147,,,,,
32,영업활동현금흐름,파생금융자산평가이익,2591506676,1259307990,0,,,,,
33,영업활동현금흐름,잡이익,935138,726910,0,-679060,,,,
34,영업활동현금흐름,당기손익인식금융자산평가이익,59605422,68582842,0,,,,,
35,영업활동현금흐름,기타의 대손충당금환입,0,582299376,2435613859,,,,,
36,영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,-4488671479,-15385484504,-1292067164,13285928996,-6190645460,20113318529,-4033828370,-38057254163
37,영업활동현금흐름,매출채권의 감소(증가),11074493776,15733221001,4433687843,-15967915953,17393438458,14823597304,12215485975,-40854640108
38,영업활동현금흐름,미수금의 감소(증가),-2964627959,266981932,-2573306999,702281433,2714256886,-1752252603,225694851,-435055847
39,영업활동현금흐름,미수수익의 감소(증가),29585910,19944777,76351547,-15122055,5595835,-2990576,-34772379,
40,영업활동현금흐름,선급금의 감소(증가),-1618978410,17400174,90319398,272357399,-775671008,148332674,104069537,-111578377
41,영업활동현금흐름,선급비용의 감소(증가),-937178312,-737071040,-640826102,-6091228774,-806875832,-2959184770,-883126812,645630407
42,영업활동현금흐름,재고자산의 감소(증가),388944392,-168125878,-6870892793,3567432561,-5478940001,3789171090,1484446384,-3675954332
43,영업활동현금흐름,매입채무의 증가(감소),-3273305310,-24494454306,5186366216,21730895821,-15416436638,3977055102,-10086784631,10734383080
44,영업활동현금흐름,미지급금의 증가(감소),-2867650538,-2448903702,1466739483,10461994378,678104412,2785176134,-3264844659,-4582256858
45,영업활동현금흐름,선수금의 증가(감소),-4960356,670138629,-83828667,247822891,10178434,-10200000,30062103,-2264381441
46,영업활동현금흐름,선수수익의 증가(감소),223608523,164076941,0,,-4520547,62763685,4756862,
47,영업활동현금흐름,예수금의 증가(감소),-395645350,-299438080,715725018,1676760030,38106716,267424291,-1875434846,1539995269
48,영업활동현금흐름,미지급비용의 증가(감소),-444141020,1074232119,28876774,-507447448,749241067,70092494,-933866986,3270535098
49,영업활동현금흐름,파생상품자산의 감소(증가),36896700,0,42410948,20030584,7377565,,,
50,영업활동현금흐름,파생상품부채의 증가(감소),0,-17122716,0,-40767112,-189326815,,,
51,영업활동현금흐름,퇴직급여채무의 증가(감소),-3157868456,-2082450178,-1480597431,-725982592,-477977734,-474792694,-184103786,-410759605
52,영업활동현금흐름,사외적립자산의공정가치의 감소(증가),-577845069,-3083914177,-1683092399,-2045252667,-1095154776,-758373602,-689508536,-1529991218
53,영업활동현금흐름,이자수취(영업),9645378420,8670208324,3190585463,4986658394,3635374122,7408971407,8832337167,8385380086
54,영업활동현금흐름,이자지급(영업),2014687283,2343900456,2967461801,,,,,
55,영업활동현금흐름,배당금수취(영업),279051120,142600596,20673693,,,,,
56,영업활동현금흐름,법인세납부(환급),32893827824,44682232302,21429655655,,,,,
57,투자활동현금흐름,투자활동현금흐름,-91042896384,-19062638692,-171484914886,-57966848238,-26159145491,-21418091127,-61876357532,-23821296084
58,투자활동현금흐름,단기금융상품의 처분,280000000000,325000000000,152000000000,197135595244,126958881140,198600000000,205864450524,166992282833
59,투자활동현금흐름,단기대여금및수취채권의 처분,5925930000,2000000000,0,,,,,
60,투자활동현금흐름,장기대여금및수취채권의 처분,0,0,8512800000,,,,,
61,투자활동현금흐름,관계기업에 대한 투자자산의 처분,0,0,9100000000,,,,,
62,투자활동현금흐름,매도가능금융자산의 처분,0,0,450000000,49032575713,94657456267,41819170185,85247000852,4218624945
63,투자활동현금흐름,유동성장기금융상품의 처분,75000000000,0,0,,,,,
64,투자활동현금흐름,유동성장기대여금의 처분,0,4821300000,0,,,,,
65,투자활동현금흐름,기타포괄손익-공정가치측정 지분상품의 처분,0,1222903245,0,,,,,
66,투자활동현금흐름,만기보유금융자산의 처분,0,0,1001230000,,,,,
67,투자활동현금흐름,유형자산의 처분,112437474,16558410632,247900485,32545983,,,,
68,투자활동현금흐름,무형자산의 처분,0,307727272,100000000,,,334195836,24000000,
69,투자활동현금흐름,임차보증금의 감소,108999237,579000000,966341785,1509589586,162536700,212420000,58259549,
70,투자활동현금흐름,리스료의 회수,341411754,0,0,,,,,
71,투자활동현금흐름,단기금융상품의 취득,220500000000,256000000000,215000000000,,,,,
72,투자활동현금흐름,장기금융상품의 취득,165000000000,50000000000,107000000000,,,,,
73,투자활동현금흐름,단기대여금및수취채권의 취득,6369730000,16608293263,0,,,,,
74,투자활동현금흐름,매도가능금융자산의 취득,0,0,8889833,-21951706673,-96907868435,-71350655747,-73872753174,-8066635260
75,투자활동현금흐름,기타포괄손익-공정가치측정 지분상품의 취득,0,19999250257,0,,,,,
76,투자활동현금흐름,관계기업에 대한 투자자산의 취득,24791601873,1939334838,1124205601,,,,,
77,투자활동현금흐름,유형자산의 취득,35618943036,24185149483,19502390267,-17572169191,-14979470032,,,
78,투자활동현금흐름,무형자산의 취득,212669880,69852000,580908100,-30251930,-214340431,-23300000,-170307000,-19400000
79,투자활동현금흐름,투자부동산의 취득,28730060,0,0,,,,,
80,투자활동현금흐름,임차보증금의 증가,10000000,750100000,646538172,,,,,
81,투자활동현금흐름,종속기업과 기타 사업의 지배력 상실에 따른 현금흐름,0,0,-255183,-2916716644,-3361089,,,
82,재무활동현금흐름,재무활동현금흐름,-31914944328,-74765199263,15533884619,-51049065866,-53226538045,-78903474551,-31504482334,-26598859753
83,재무활동현금흐름,단기차입금의 증가,189696225648,404704578237,74991000000,87138128800,218932384000,451369932000,157258590074,446487877404
84,재무활동현금흐름,교환사채의 증가,0,0,58983952521,,,,,
85,재무활동현금흐름,보증금의 증가,10152000000,10332000000,0,-474958684,-639718340,-614318300,-236767500,-343363060
86,재무활동현금흐름,단기차입금의 상환,163000000000,401600000000,86400158149,-91639704754,-253353719089,-480828217955,-163084188924,-536231246712
87,재무활동현금흐름,장기차입금의 상환,0,0,7153846153,,-24730384612,-20166666666,,-68000000000
88,재무활동현금흐름,유동성사채의 상환,0,30000000000,0,,,,,
89,재무활동현금흐름,자기주식의 취득,19843367950,729000000,5593508900,-1136950300,-12960952800,,-20371510000,-10234719000
90,재무활동현금흐름,상환전환우선주 전환비용,0,0,5918700,,,,,
