,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),659772632121,762875403818,715764958205,598231741629,600426024393,716638987954,795714488493,713347819958
1,매출원가,매출원가,516768585972,586525867855,508012315058,-467856365368,-510665000273,-621494643273,-697621713470,-609211570615
2,매출총이익,매출총이익,143004046149,176349535963,207752643147,130375376261,89761024120,95144344681,98092775023,104136249343
3,판매비와관리비,판매비와관리비,36647474242,37140753096,55120782796,-53484558738,-46164916166,-42373588507,-38431958519,-38203282822
4,영업이익(손실),영업이익(손실),106356571907,139208782867,152631860351,76890817523,43596107954,52770756174,59660816504,65932966521
5,상각후원가로 측정하는 금융자산의 제거로부터 발생한 이익,상각후원가로 측정하는 금융자산의 제거로부터 발생한 이익,0,582299376,2435613859,,,,,
6,상각후원가로 측정하는 금융자산의 제거로부터 발생한 손실,상각후원가로 측정하는 금융자산의 제거로부터 발생한 손실,720493965,0,674332860,,,,,
7,기타이익,기타이익,7003465926,9603429125,16121519515,,,,,
8,기타손실,기타손실,9734024228,7460886924,18655134304,,,,,
9,금융수익,금융수익,13451678262,10923960971,6800386425,8119662476,11706054558,8084828528,16709895383,10890511318
10,금융원가,금융원가,4337947654,5212946393,8304345364,-13369382111,-13050181594,-11635701785,-12441045278,-6799475444
11,지분법 적용 관계기업의 당기순손익에 대한 지분,지분법 적용 관계기업의 당기순손익에 대한 지분,-10797782336,-6919474402,-3170469292,-2797484648,,,,
12,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),101221467912,140725164620,147185098330,59148198147,42136535705,49631183497,70348169438,63911913969
13,법인세비용,법인세비용,30909181674,35643798204,37128521283,-19244617243,-7913789415,-11589212695,-20057533389,-11717479311
14,당기순이익(손실),당기순이익(손실),70312286238,105081366416,110056577047,39903580904,34222746290,38041970802,50290636049,52194434658
15,기타포괄손익,기타포괄손익,2235248384,-1151951774,-4568114239,-784373212,311185467,-298387825,546294453,-2296989180
16,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),2240335311,-2240922642,-668327026,-569475777,-781129987,-474791304,300972583,-609711128
17,기타포괄손익,확정급여제도의 재측정손익(세후기타포괄손익),-943954222,-51476783,-668327026,,,,,
18,기타포괄손익,기타포괄손익-공정가치측정 지분상품평가손익,3174683688,-2060995562,0,,,,,
19,기타포괄손익,기타포괄손익-공정가치측정 지분상품처분손익,0,-56597812,0,,,,,
20,기타포괄손익,지분법이익잉여금변동,9605845,-71852485,0,,,,,
21,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),-5086927,1088970868,-3899787213,,,,,
22,기타포괄손익,매도가능금융자산평가손익(세후기타포괄손익),0,0,88045721,-52810853,1083069679,-1193398996,447756323,-447756323
23,기타포괄손익,지분법자본변동,-22130010,781633706,-3021058567,968388228,850314937,1369802475,-202434453,-1239521729
24,기타포괄손익,당기손익에 포함된 지분법자본변동의 재분류조정,0,0,-448404818,,,,,
25,기타포괄손익,해외사업장환산외환차이(세후기타포괄손익),17043083,307337162,-518369549,-1130474810,-841069162,,,
26,총포괄손익,총포괄손익,72547534622,103929414642,105488462808,39119207692,34533931757,37743582977,50836930502,49897445478
27,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),70358331494,104498423040,114391072981,43115990847,36632027408,40577556467,53939302660,53466750158
28,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),-46045256,582943376,-4334495934,-3212409943,-2409281118,-2535585665,-3648666611,-1272315500
29,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",72425316304,103143894395,110358453965,42140423300,36613726496,40222323634,54598990869,51535548297
30,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",122218318,785520247,-4869991157,-3021215608,-2079794739,-2478740657,-3762060367,-1638102819
31,주당이익 [abstract],기본주당이익(손실),1812,2693,2985,1118,933,1030,1352,1319
