,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,33901.0,36285.0,34946.0,37048.0,36239.0,,,
1,영업이익,-358.0,280.0,-653.0,-642.0,-2819.0,,,
2,영업이익(발표기준),-358.0,280.0,-653.0,-642.0,-2819.0,,,
3,세전계속사업이익,-619.0,581.0,-658.0,-618.0,-3413.0,,,
4,당기순이익,-619.0,581.0,-658.0,-618.0,-3414.0,,,
5,당기순이익(지배),-619.0,581.0,-658.0,-618.0,-3414.0,,,
6,당기순이익(비지배),,,,,,,,
7,자산총계,20392.0,21634.0,22480.0,22056.0,20192.0,,,
8,부채총계,13221.0,13507.0,14729.0,15124.0,16161.0,,,
9,자본총계,7171.0,8127.0,7752.0,6933.0,4031.0,,,
10,자본총계(지배),7171.0,8127.0,7752.0,6933.0,4031.0,,,
11,자본총계(비지배),,,,,,,,
12,자본금,6861.0,6861.0,6897.0,6897.0,7492.0,,,
13,영업활동현금흐름,2015.0,2444.0,2044.0,1771.0,-255.0,,,
14,투자활동현금흐름,-2280.0,-2107.0,-2775.0,-2577.0,-2077.0,,,
15,재무활동현금흐름,675.0,70.0,502.0,213.0,2028.0,,,
16,CAPEX,1511.0,1275.0,1575.0,1369.0,1368.0,,,
17,FCF,505.0,1169.0,469.0,402.0,-1623.0,,,
18,이자발생부채,1907.0,1945.0,2338.0,2532.0,4245.0,,,
19,영업이익률,-1.06,0.77,-1.87,-1.73,-7.78,,,
20,순이익률,-1.83,1.6,-1.88,-1.67,-9.42,,,
21,ROE(%),-8.29,7.6,-8.29,-8.42,-62.27,,,
22,ROA(%),-3.09,2.77,-2.98,-2.78,-16.16,,,
23,부채비율,184.38,166.2,190.01,218.14,400.89,,,
24,자본유보율,4.15,18.5,12.08,0.2,-46.47,,,
25,EPS(원),-451.0,423.0,-478.0,-448.0,-2290.0,,,
26,PER(배),,18.63,,,,,,
27,BPS(원),5226.0,5923.0,5619.0,5026.0,2690.0,,,
28,PBR(배),1.48,1.33,0.91,0.79,0.77,,,
29,현금DPS(원),0.0,0.0,0.0,,,,,
30,현금배당수익률,0.0,0.0,0.0,,,,,
31,현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
32,발행주식수(보통주),137220096.0,137220096.0,137949396.0,137949396.0,149840002.0,,,
