,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,6168.0,7120.0,12287.0,12992.0,12598.0,12324.0,12640.0,12855.0
1,영업이익,661.0,720.0,550.0,912.0,1066.0,1049.0,1140.0,1193.0
2,영업이익(발표기준),661.0,720.0,550.0,912.0,1066.0,,,
3,세전계속사업이익,696.0,774.0,671.0,952.0,1135.0,1118.0,1211.0,1270.0
4,당기순이익,729.0,565.0,539.0,724.0,853.0,841.0,915.0,960.0
5,당기순이익(지배),744.0,565.0,539.0,724.0,853.0,838.0,915.0,960.0
6,당기순이익(비지배),-15.0,,,,,,,
7,자산총계,9575.0,10380.0,12523.0,12727.0,13236.0,13886.0,14736.0,15563.0
8,부채총계,1261.0,1577.0,3268.0,2820.0,2781.0,2721.0,2776.0,2770.0
9,자본총계,8314.0,8803.0,9255.0,9907.0,10456.0,11165.0,11960.0,12793.0
10,자본총계(지배),8314.0,8803.0,9255.0,9907.0,10456.0,11165.0,11960.0,12793.0
11,자본총계(비지배),,,,,,,,
12,자본금,123.0,123.0,123.0,123.0,123.0,121.0,121.0,121.0
13,영업활동현금흐름,458.0,180.0,728.0,2149.0,1364.0,1847.0,1542.0,1322.0
14,투자활동현금흐름,-389.0,-443.0,-1687.0,-891.0,-589.0,-569.0,-621.0,-592.0
15,재무활동현금흐름,-3.0,219.0,971.0,-937.0,-865.0,-191.0,-124.0,-107.0
16,CAPEX,295.0,475.0,229.0,86.0,272.0,287.0,297.0,366.0
17,FCF,163.0,-295.0,499.0,2063.0,1093.0,908.0,954.0,1013.0
18,이자발생부채,114.0,384.0,1500.0,648.0,241.0,,,
19,영업이익률,10.72,10.12,4.48,7.02,8.46,8.51,9.02,9.28
20,순이익률,11.82,7.93,4.38,5.57,6.77,6.82,7.24,7.47
21,ROE(%),9.31,6.6,5.96,7.56,8.37,7.75,7.92,7.75
22,ROA(%),7.27,5.66,4.7,5.74,6.57,6.2,6.4,6.34
23,부채비율,15.17,17.91,35.31,28.46,26.6,24.37,23.21,21.65
24,자본유보율,6778.92,7184.05,7567.81,8082.91,8696.65,,,
25,EPS(원),3020.0,2293.0,2187.0,2940.0,3462.0,3401.0,3717.0,3896.0
26,PER(배),13.44,15.2,14.38,12.33,9.11,8.89,8.14,7.76
27,BPS(원),37842.0,40071.0,42125.0,45095.0,47591.0,50820.0,54440.0,58230.0
28,PBR(배),1.07,0.87,0.75,0.8,0.66,0.6,0.56,0.52
29,현금DPS(원),300.0,300.0,350.0,400.0,450.0,460.0,490.0,500.0
30,현금배당수익률,0.74,0.86,1.11,1.1,1.43,1.52,1.62,1.65
31,현금배당성향(%),8.86,11.67,14.28,12.14,11.6,13.53,13.18,12.83
32,발행주식수(보통주),24630000.0,24630000.0,24630000.0,24630000.0,24630000.0,,,
