,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,47150.0,550.0,46900.0,47150.0,46550.0,319144.0
2,2020.04.28,46600.0,150.0,46850.0,47000.0,46400.0,233817.0
3,2020.04.27,46750.0,200.0,47200.0,47250.0,46650.0,262739.0
4,2020.04.24,46950.0,650.0,47000.0,47450.0,46550.0,306877.0
5,2020.04.23,47600.0,400.0,47200.0,47600.0,46750.0,390343.0
9,2020.04.22,47200.0,700.0,45650.0,47200.0,45650.0,332788.0
10,2020.04.21,46500.0,400.0,46850.0,47400.0,45600.0,488931.0
11,2020.04.20,46900.0,200.0,46800.0,48000.0,46300.0,556649.0
12,2020.04.17,46700.0,500.0,48550.0,48750.0,46600.0,829942.0
13,2020.04.16,46200.0,1000.0,46450.0,46900.0,45800.0,574409.0
1,2020.04.14,47200.0,550.0,47200.0,47650.0,46350.0,612501.0
2,2020.04.13,47750.0,800.0,48900.0,49800.0,47700.0,517666.0
3,2020.04.10,48550.0,450.0,50000.0,50000.0,47700.0,712604.0
4,2020.04.09,49000.0,2450.0,47850.0,50500.0,47250.0,1819258.0
5,2020.04.08,46550.0,1650.0,51000.0,52900.0,46550.0,2612972.0
9,2020.04.07,224500.0,0.0,0.0,0.0,0.0,0.0
10,2020.04.06,224500.0,0.0,0.0,0.0,0.0,0.0
11,2020.04.03,224500.0,0.0,0.0,0.0,0.0,0.0
12,2020.04.02,224500.0,0.0,224500.0,229000.0,217000.0,71427.0
13,2020.04.01,224500.0,4500.0,234000.0,245500.0,223500.0,195574.0
1,2020.03.31,229000.0,6000.0,227000.0,229500.0,221500.0,145657.0
2,2020.03.30,223000.0,0.0,220500.0,228000.0,215000.0,122325.0
3,2020.03.27,223000.0,20000.0,208500.0,256000.0,206000.0,555567.0
4,2020.03.26,203000.0,1000.0,202000.0,208000.0,200000.0,70831.0
5,2020.03.25,202000.0,1500.0,202500.0,205000.0,199500.0,78216.0
9,2020.03.24,200500.0,5500.0,197000.0,201500.0,195500.0,53960.0
10,2020.03.23,195000.0,5000.0,192000.0,196500.0,187500.0,56517.0
11,2020.03.20,200000.0,5500.0,199500.0,201000.0,194000.0,76558.0
12,2020.03.19,194500.0,13000.0,209000.0,211500.0,194500.0,88336.0
13,2020.03.18,207500.0,4500.0,210500.0,213500.0,205000.0,67133.0
1,2020.03.17,212000.0,4000.0,205000.0,212000.0,201500.0,69480.0
2,2020.03.16,208000.0,0.0,212000.0,216000.0,206500.0,48713.0
3,2020.03.13,208000.0,6000.0,197500.0,215500.0,196000.0,103445.0
4,2020.03.12,214000.0,13000.0,226500.0,229000.0,211000.0,92620.0
5,2020.03.11,227000.0,6000.0,232500.0,233500.0,224500.0,65185.0
9,2020.03.10,233000.0,1500.0,230000.0,233500.0,225000.0,69370.0
10,2020.03.09,231500.0,2000.0,233000.0,233500.0,229000.0,56208.0
11,2020.03.06,233500.0,500.0,232500.0,236000.0,231000.0,57856.0
12,2020.03.05,233000.0,5500.0,228500.0,233500.0,227000.0,67533.0
13,2020.03.04,227500.0,1000.0,228000.0,233000.0,226000.0,69194.0
1,2020.03.03,226500.0,4000.0,222500.0,228000.0,222000.0,72635.0
