,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,521000.0,9000.0,515000.0,530000.0,510000.0,2275.0
2,2020.04.28,512000.0,0.0,505000.0,517000.0,505000.0,953.0
3,2020.04.27,512000.0,12000.0,497000.0,515000.0,495000.0,2581.0
4,2020.04.24,500000.0,6000.0,507000.0,510000.0,500000.0,1452.0
5,2020.04.23,506000.0,3000.0,504000.0,507000.0,493000.0,1673.0
9,2020.04.22,503000.0,6000.0,509000.0,511000.0,489000.0,3512.0
10,2020.04.21,509000.0,1000.0,511000.0,513000.0,500000.0,1973.0
11,2020.04.20,508000.0,0.0,505000.0,515000.0,502000.0,1640.0
12,2020.04.17,508000.0,4000.0,499000.0,511000.0,499000.0,2181.0
13,2020.04.16,504000.0,0.0,494000.0,504000.0,488000.0,1811.0
1,2020.04.14,504000.0,11000.0,493000.0,511000.0,484500.0,1579.0
2,2020.04.13,493000.0,8000.0,501000.0,501000.0,488500.0,1399.0
3,2020.04.10,501000.0,4000.0,506000.0,508000.0,498000.0,2933.0
4,2020.04.09,505000.0,1000.0,511000.0,519000.0,500000.0,2137.0
5,2020.04.08,506000.0,9000.0,505000.0,528000.0,497500.0,1880.0
9,2020.04.07,515000.0,29500.0,486500.0,515000.0,486000.0,2607.0
10,2020.04.06,485500.0,13000.0,482000.0,488000.0,476500.0,1724.0
11,2020.04.03,472500.0,9000.0,460500.0,475500.0,457000.0,2194.0
12,2020.04.02,463500.0,3500.0,450500.0,472000.0,446000.0,1883.0
13,2020.04.01,460000.0,17000.0,462000.0,477500.0,458500.0,2585.0
1,2020.03.31,477000.0,7000.0,470000.0,481000.0,458500.0,2291.0
2,2020.03.30,470000.0,7500.0,458000.0,483000.0,444500.0,2134.0
3,2020.03.27,462500.0,15500.0,463000.0,473000.0,451000.0,2815.0
4,2020.03.26,447000.0,500.0,446500.0,451500.0,430000.0,3506.0
5,2020.03.25,446500.0,30000.0,425000.0,446500.0,417000.0,3509.0
9,2020.03.24,416500.0,32500.0,384500.0,416500.0,384500.0,3555.0
10,2020.03.23,384000.0,53500.0,400000.0,405000.0,382000.0,3109.0
11,2020.03.20,437500.0,32500.0,410000.0,472000.0,390500.0,5724.0
12,2020.03.19,405000.0,44500.0,453500.0,457500.0,401000.0,3173.0
13,2020.03.18,449500.0,33500.0,470000.0,479500.0,449500.0,2031.0
1,2020.03.17,483000.0,26000.0,496500.0,496500.0,475500.0,2209.0
2,2020.03.16,509000.0,11000.0,480500.0,516000.0,470000.0,2395.0
3,2020.03.13,498000.0,4000.0,455000.0,498000.0,425000.0,3518.0
4,2020.03.12,502000.0,19000.0,521000.0,526000.0,486500.0,3565.0
5,2020.03.11,521000.0,26000.0,543000.0,548000.0,518000.0,2745.0
9,2020.03.10,547000.0,5000.0,556000.0,558000.0,545000.0,1511.0
10,2020.03.09,552000.0,12000.0,556000.0,556000.0,545000.0,1911.0
11,2020.03.06,564000.0,16000.0,573000.0,581000.0,563000.0,1282.0
12,2020.03.05,580000.0,11000.0,569000.0,587000.0,560000.0,1813.0
13,2020.03.04,569000.0,0.0,568000.0,579000.0,566000.0,1437.0
1,2020.03.03,569000.0,6000.0,578000.0,578000.0,564000.0,2585.0
2,2020.03.02,575000.0,19000.0,602000.0,602000.0,572000.0,2387.0
3,2020.02.28,594000.0,10000.0,605000.0,605000.0,584000.0,3427.0
4,2020.02.27,604000.0,0.0,600000.0,608000.0,600000.0,1138.0
5,2020.02.26,604000.0,6000.0,615000.0,615000.0,604000.0,1189.0
9,2020.02.25,610000.0,1000.0,612000.0,629000.0,606000.0,1515.0
10,2020.02.24,611000.0,31000.0,649000.0,650000.0,611000.0,1664.0
11,2020.02.21,642000.0,9000.0,645000.0,655000.0,639000.0,1592.0
12,2020.02.20,651000.0,1000.0,642000.0,664000.0,642000.0,1795.0
13,2020.02.19,652000.0,4000.0,664000.0,664000.0,646000.0,1618.0
1,2020.02.18,656000.0,11000.0,636000.0,661000.0,636000.0,1598.0
2,2020.02.17,645000.0,11000.0,634000.0,647000.0,626000.0,1335.0
3,2020.02.14,634000.0,4000.0,628000.0,640000.0,625000.0,1258.0
4,2020.02.13,630000.0,6000.0,621000.0,642000.0,620000.0,2280.0
5,2020.02.12,624000.0,6000.0,615000.0,625000.0,615000.0,1173.0
9,2020.02.11,618000.0,2000.0,627000.0,630000.0,617000.0,1128.0
10,2020.02.10,620000.0,2000.0,617000.0,624000.0,612000.0,947.0
11,2020.02.07,622000.0,3000.0,624000.0,630000.0,620000.0,1044.0
12,2020.02.06,625000.0,17000.0,613000.0,637000.0,610000.0,1440.0
13,2020.02.05,608000.0,5000.0,614000.0,618000.0,607000.0,1584.0
1,2020.02.04,613000.0,1000.0,612000.0,620000.0,604000.0,1376.0
2,2020.02.03,612000.0,14000.0,624000.0,624000.0,611000.0,1353.0
3,2020.01.31,626000.0,3000.0,631000.0,637000.0,616000.0,1245.0
4,2020.01.30,623000.0,3000.0,626000.0,631000.0,616000.0,1191.0
5,2020.01.29,626000.0,7000.0,628000.0,632000.0,625000.0,794.0
9,2020.01.28,633000.0,18000.0,649000.0,651000.0,623000.0,1833.0
10,2020.01.23,651000.0,18000.0,658000.0,664000.0,650000.0,1646.0
11,2020.01.22,669000.0,6000.0,660000.0,676000.0,657000.0,775.0
12,2020.01.21,663000.0,5000.0,668000.0,673000.0,658000.0,848.0
13,2020.01.20,668000.0,3000.0,671000.0,683000.0,666000.0,595.0
1,2020.01.17,671000.0,9000.0,677000.0,685000.0,671000.0,974.0
2,2020.01.16,680000.0,14000.0,669000.0,680000.0,661000.0,1222.0
3,2020.01.15,666000.0,9000.0,653000.0,668000.0,653000.0,741.0
4,2020.01.14,657000.0,1000.0,658000.0,664000.0,647000.0,1917.0
5,2020.01.13,658000.0,2000.0,647000.0,663000.0,646000.0,1471.0
9,2020.01.10,656000.0,3000.0,650000.0,663000.0,645000.0,1402.0
10,2020.01.09,659000.0,15000.0,636000.0,659000.0,636000.0,1520.0
11,2020.01.08,644000.0,14000.0,644000.0,651000.0,636000.0,1336.0
12,2020.01.07,658000.0,6000.0,652000.0,666000.0,647000.0,1338.0
13,2020.01.06,652000.0,6000.0,647000.0,659000.0,643000.0,1018.0
1,2020.01.03,658000.0,12000.0,647000.0,664000.0,641000.0,1431.0
2,2020.01.02,646000.0,1000.0,645000.0,653000.0,632000.0,1065.0
3,2019.12.30,645000.0,17000.0,625000.0,647000.0,620000.0,1922.0
4,2019.12.27,628000.0,3000.0,622000.0,634000.0,617000.0,1135.0
5,2019.12.26,631000.0,8000.0,638000.0,640000.0,627000.0,1087.0
9,2019.12.24,639000.0,13000.0,625000.0,640000.0,622000.0,1280.0
10,2019.12.23,626000.0,2000.0,630000.0,630000.0,621000.0,1173.0
11,2019.12.20,628000.0,2000.0,640000.0,640000.0,625000.0,645.0
12,2019.12.19,630000.0,6000.0,637000.0,641000.0,627000.0,1124.0
13,2019.12.18,636000.0,6000.0,647000.0,647000.0,634000.0,589.0
1,2019.12.17,642000.0,10000.0,628000.0,642000.0,625000.0,1223.0
2,2019.12.16,632000.0,3000.0,631000.0,632000.0,623000.0,957.0
3,2019.12.13,629000.0,30000.0,669000.0,675000.0,627000.0,3290.0
