,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,190500.0,500.0,192000.0,195000.0,190500.0,98102.0
2,2020.04.28,191000.0,500.0,190500.0,195000.0,189500.0,82929.0
3,2020.04.27,191500.0,7000.0,184500.0,194500.0,183000.0,194174.0
4,2020.04.24,184500.0,5500.0,186000.0,190000.0,184500.0,105139.0
5,2020.04.23,190000.0,5000.0,183500.0,191500.0,183500.0,103621.0
9,2020.04.22,185000.0,1500.0,186000.0,188000.0,181500.0,117665.0
10,2020.04.21,186500.0,2500.0,189000.0,191500.0,182000.0,138565.0
11,2020.04.20,189000.0,2500.0,189500.0,192000.0,189000.0,113496.0
12,2020.04.17,191500.0,0.0,191000.0,196000.0,191000.0,134314.0
13,2020.04.16,191500.0,1500.0,190000.0,192500.0,188500.0,135375.0
1,2020.04.14,193000.0,6000.0,188000.0,193000.0,186000.0,104558.0
2,2020.04.13,187000.0,4000.0,178500.0,191000.0,178500.0,138039.0
3,2020.04.10,183000.0,7500.0,174500.0,184000.0,172000.0,199766.0
4,2020.04.09,175500.0,1500.0,175000.0,179000.0,174500.0,161809.0
5,2020.04.08,174000.0,1000.0,171500.0,180000.0,170500.0,169370.0
9,2020.04.07,173000.0,1000.0,173500.0,178000.0,172000.0,180438.0
10,2020.04.06,174000.0,4000.0,171500.0,179000.0,170500.0,118249.0
11,2020.04.03,170000.0,3000.0,167000.0,172000.0,165000.0,168436.0
12,2020.04.02,173000.0,23000.0,157000.0,174000.0,153000.0,365885.0
13,2020.04.01,150000.0,4000.0,156500.0,162500.0,148500.0,192567.0
1,2020.03.31,154000.0,7500.0,148000.0,156500.0,148000.0,203980.0
2,2020.03.30,146500.0,5000.0,147000.0,150000.0,143000.0,192605.0
3,2020.03.27,151500.0,6000.0,151000.0,156000.0,147000.0,189973.0
4,2020.03.26,145500.0,7500.0,150500.0,152500.0,144500.0,192964.0
5,2020.03.25,153000.0,8000.0,149000.0,155000.0,143000.0,271935.0
9,2020.03.24,145000.0,7500.0,134500.0,146000.0,132000.0,168219.0
10,2020.03.23,137500.0,8000.0,120000.0,140500.0,117500.0,243535.0
11,2020.03.20,129500.0,3500.0,129000.0,132000.0,119500.0,239608.0
12,2020.03.19,126000.0,12000.0,139000.0,139500.0,118000.0,325928.0
13,2020.03.18,138000.0,11500.0,147000.0,148500.0,137000.0,261880.0
1,2020.03.17,149500.0,9000.0,150500.0,154500.0,148000.0,229767.0
2,2020.03.16,158500.0,9000.0,163000.0,167000.0,157500.0,178133.0
3,2020.03.13,167500.0,7500.0,159000.0,175000.0,158500.0,224625.0
4,2020.03.12,175000.0,4000.0,179500.0,181500.0,171000.0,237392.0
5,2020.03.11,179000.0,3000.0,178500.0,185000.0,178000.0,137445.0
9,2020.03.10,182000.0,4000.0,187500.0,189000.0,182000.0,153309.0
10,2020.03.09,186000.0,5500.0,187500.0,190500.0,183500.0,127806.0
11,2020.03.06,191500.0,5500.0,193000.0,194000.0,189000.0,111718.0
12,2020.03.05,197000.0,5000.0,192000.0,198500.0,191000.0,113703.0
13,2020.03.04,192000.0,4500.0,196500.0,197000.0,191000.0,154977.0
1,2020.03.03,196500.0,1000.0,198000.0,199000.0,194000.0,133050.0
2,2020.03.02,197500.0,500.0,200500.0,201500.0,196000.0,130885.0
3,2020.02.28,198000.0,4000.0,202000.0,205000.0,197000.0,220401.0
4,2020.02.27,202000.0,2000.0,200000.0,204500.0,199500.0,140617.0
5,2020.02.26,200000.0,3500.0,200000.0,203000.0,199500.0,137971.0
9,2020.02.25,203500.0,1000.0,204500.0,204500.0,200500.0,143368.0
10,2020.02.24,202500.0,3500.0,206000.0,207500.0,202500.0,216885.0
11,2020.02.21,206000.0,1000.0,205000.0,208000.0,204500.0,118751.0
12,2020.02.20,205000.0,1000.0,206500.0,208000.0,204000.0,233276.0
13,2020.02.19,204000.0,2000.0,207500.0,208500.0,203000.0,120651.0
1,2020.02.18,206000.0,5500.0,209000.0,209500.0,206000.0,115559.0
2,2020.02.17,211500.0,0.0,211500.0,213000.0,210000.0,98359.0
3,2020.02.14,211500.0,500.0,211500.0,213500.0,210000.0,65672.0
4,2020.02.13,211000.0,2000.0,212000.0,212500.0,210500.0,191819.0
5,2020.02.12,213000.0,500.0,211500.0,214000.0,210500.0,122303.0
9,2020.02.11,213500.0,1000.0,210500.0,216000.0,210500.0,87983.0
