,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,20700.0,1300.0,19250.0,20700.0,19200.0,575803.0
2,2020.04.28,19400.0,450.0,19050.0,19550.0,18750.0,536932.0
3,2020.04.27,18950.0,500.0,18350.0,19050.0,18350.0,394953.0
4,2020.04.24,18450.0,0.0,18350.0,19050.0,18200.0,504667.0
5,2020.04.23,18450.0,650.0,17850.0,18500.0,17650.0,627108.0
9,2020.04.22,17800.0,100.0,17550.0,17800.0,17100.0,412910.0
10,2020.04.21,17900.0,50.0,17850.0,21000.0,17500.0,1903526.0
11,2020.04.20,17950.0,400.0,18200.0,18600.0,17950.0,301445.0
12,2020.04.17,18350.0,350.0,18000.0,18600.0,18000.0,235854.0
13,2020.04.16,18000.0,200.0,18000.0,18250.0,17450.0,254556.0
1,2020.04.14,18200.0,350.0,17900.0,18450.0,17900.0,286840.0
2,2020.04.13,17850.0,450.0,18200.0,18350.0,17750.0,349377.0
3,2020.04.10,18300.0,200.0,18100.0,18300.0,17750.0,236750.0
4,2020.04.09,18100.0,550.0,17850.0,18100.0,17550.0,372887.0
5,2020.04.08,17550.0,250.0,17100.0,18200.0,16900.0,327586.0
9,2020.04.07,17300.0,250.0,17250.0,17850.0,17000.0,496428.0
10,2020.04.06,17050.0,1250.0,15750.0,17100.0,15750.0,436951.0
11,2020.04.03,15800.0,50.0,15550.0,15950.0,15450.0,330376.0
12,2020.04.02,15750.0,550.0,15100.0,15900.0,14650.0,352700.0
13,2020.04.01,15200.0,100.0,15100.0,15800.0,14950.0,531731.0
1,2020.03.31,15300.0,500.0,15200.0,15500.0,14800.0,581074.0
2,2020.03.30,14800.0,50.0,14350.0,15150.0,14050.0,377356.0
3,2020.03.27,14750.0,650.0,14850.0,15500.0,14100.0,791704.0
4,2020.03.26,14100.0,50.0,14300.0,14950.0,13750.0,753997.0
5,2020.03.25,14150.0,1350.0,13700.0,14400.0,13300.0,774346.0
9,2020.03.24,12800.0,750.0,12300.0,12900.0,12150.0,663746.0
10,2020.03.23,12050.0,1700.0,12600.0,12650.0,11850.0,726395.0
11,2020.03.20,13750.0,1250.0,12400.0,13750.0,12050.0,918027.0
12,2020.03.19,12500.0,2250.0,14850.0,15150.0,12150.0,736924.0
13,2020.03.18,14750.0,1550.0,16400.0,16500.0,14750.0,427518.0
1,2020.03.17,16300.0,550.0,15500.0,16850.0,15400.0,378236.0
2,2020.03.16,16850.0,150.0,17000.0,17700.0,16600.0,372326.0
3,2020.03.13,17000.0,1050.0,16050.0,17400.0,15300.0,599635.0
4,2020.03.12,18050.0,1250.0,19250.0,19350.0,17750.0,591724.0
5,2020.03.11,19300.0,450.0,19700.0,20050.0,19200.0,314138.0
9,2020.03.10,19750.0,50.0,19550.0,19950.0,19400.0,242926.0
10,2020.03.09,19700.0,750.0,20050.0,20050.0,19650.0,333952.0
11,2020.03.06,20450.0,700.0,20750.0,20950.0,20400.0,192155.0
12,2020.03.05,21150.0,650.0,20650.0,21250.0,20450.0,221428.0
13,2020.03.04,20500.0,100.0,20300.0,20750.0,20300.0,203203.0
1,2020.03.03,20400.0,450.0,20700.0,20700.0,20050.0,227483.0
