,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,81000.0,500.0,81500.0,83300.0,81000.0,77594.0
2,2020.04.28,81500.0,800.0,82300.0,84700.0,80500.0,128428.0
3,2020.04.27,82300.0,10600.0,72400.0,84000.0,72100.0,420439.0
4,2020.04.24,71700.0,200.0,71800.0,73000.0,70400.0,105049.0
5,2020.04.23,71900.0,600.0,71300.0,72500.0,70100.0,78746.0
9,2020.04.22,71300.0,600.0,70000.0,71800.0,68800.0,94048.0
10,2020.04.21,70700.0,1300.0,72200.0,72700.0,69700.0,100559.0
11,2020.04.20,72000.0,200.0,72400.0,73500.0,71900.0,90553.0
12,2020.04.17,72200.0,1400.0,71500.0,73500.0,71500.0,85903.0
13,2020.04.16,70800.0,1200.0,70300.0,72000.0,69600.0,100560.0
1,2020.04.14,72000.0,200.0,71900.0,72700.0,71400.0,61281.0
2,2020.04.13,71800.0,1300.0,73100.0,73400.0,71800.0,61879.0
3,2020.04.10,73100.0,200.0,73400.0,73400.0,71800.0,79189.0
4,2020.04.09,73300.0,1300.0,74000.0,74400.0,71600.0,133965.0
5,2020.04.08,72000.0,1300.0,71300.0,73500.0,69500.0,106189.0
9,2020.04.07,70700.0,1800.0,72000.0,74400.0,69000.0,181537.0
10,2020.04.06,68900.0,5500.0,63500.0,69500.0,63500.0,163240.0
11,2020.04.03,63400.0,300.0,63300.0,64200.0,62300.0,67476.0
12,2020.04.02,63100.0,900.0,62200.0,63300.0,61000.0,73217.0
13,2020.04.01,62200.0,2300.0,63100.0,65800.0,62200.0,101337.0
1,2020.03.31,64500.0,400.0,64700.0,65700.0,64000.0,103391.0
2,2020.03.30,64100.0,600.0,63700.0,64100.0,61700.0,112647.0
3,2020.03.27,64700.0,600.0,68500.0,69000.0,62800.0,118998.0
4,2020.03.26,65300.0,400.0,65100.0,67200.0,63500.0,147316.0
5,2020.03.25,64900.0,5000.0,62500.0,65000.0,61600.0,146179.0
9,2020.03.24,59900.0,6800.0,54100.0,59900.0,53200.0,129160.0
10,2020.03.23,53100.0,4700.0,54000.0,55500.0,52300.0,96525.0
11,2020.03.20,57800.0,2500.0,55400.0,57800.0,53100.0,162081.0
12,2020.03.19,55300.0,5700.0,61600.0,62800.0,55000.0,152970.0
13,2020.03.18,61000.0,3700.0,64800.0,65600.0,61000.0,85941.0
1,2020.03.17,64700.0,300.0,60800.0,66000.0,60800.0,143066.0
2,2020.03.16,65000.0,1300.0,64100.0,66000.0,62500.0,119680.0
3,2020.03.13,63700.0,5100.0,63500.0,65200.0,60000.0,242952.0
4,2020.03.12,68800.0,3900.0,73000.0,73000.0,68500.0,263629.0
5,2020.03.11,72700.0,3700.0,76800.0,77000.0,72300.0,185801.0
9,2020.03.10,76400.0,2100.0,77000.0,78400.0,75800.0,139372.0
10,2020.03.09,78500.0,2800.0,80400.0,80400.0,78300.0,106992.0
