,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,29250.0,100.0,29200.0,29500.0,29100.0,120224.0
2,2020.04.28,29150.0,650.0,29850.0,29850.0,28950.0,170546.0
3,2020.04.27,29800.0,400.0,29650.0,29950.0,29300.0,142460.0
4,2020.04.24,29400.0,1000.0,30000.0,30550.0,29200.0,313537.0
5,2020.04.23,30400.0,750.0,31050.0,31100.0,29900.0,416245.0
9,2020.04.22,31150.0,1500.0,29500.0,32400.0,29200.0,1375727.0
10,2020.04.21,29650.0,1100.0,31000.0,31050.0,28200.0,501214.0
11,2020.04.20,30750.0,1300.0,29500.0,30950.0,29100.0,680816.0
12,2020.04.17,29450.0,250.0,30450.0,30700.0,29250.0,326450.0
13,2020.04.16,29200.0,350.0,28900.0,29450.0,28500.0,190571.0
1,2020.04.14,28850.0,350.0,28600.0,30200.0,28050.0,393819.0
2,2020.04.13,28500.0,600.0,29000.0,29350.0,28500.0,165107.0
3,2020.04.10,29100.0,300.0,29700.0,30200.0,27700.0,350811.0
4,2020.04.09,29400.0,100.0,29700.0,31300.0,29150.0,723005.0
5,2020.04.08,29300.0,1600.0,30900.0,30900.0,29150.0,579999.0
9,2020.04.07,30900.0,100.0,31500.0,33200.0,29650.0,1521673.0
10,2020.04.06,31000.0,1800.0,29400.0,31800.0,29400.0,1307871.0
11,2020.04.03,29200.0,100.0,29350.0,30250.0,28650.0,403361.0
12,2020.04.02,29300.0,300.0,28850.0,29550.0,27300.0,384288.0
13,2020.04.01,29000.0,2400.0,31650.0,31800.0,28500.0,716401.0
1,2020.03.31,31400.0,2650.0,29350.0,33300.0,28850.0,2303853.0
2,2020.03.30,28750.0,750.0,27800.0,29500.0,27050.0,643895.0
3,2020.03.27,28000.0,1000.0,31600.0,32300.0,25300.0,2225727.0
4,2020.03.26,29000.0,2950.0,26500.0,30700.0,25150.0,2911676.0
5,2020.03.25,26050.0,550.0,27800.0,30550.0,25850.0,2589782.0
9,2020.03.24,25500.0,5850.0,20400.0,25500.0,20150.0,1248080.0
10,2020.03.23,19650.0,1050.0,19000.0,20550.0,18950.0,265385.0
11,2020.03.20,20700.0,1300.0,20800.0,21850.0,20150.0,817643.0
12,2020.03.19,19400.0,2800.0,23100.0,23300.0,18400.0,446987.0
13,2020.03.18,22200.0,1350.0,23800.0,25000.0,22200.0,337948.0
1,2020.03.17,23550.0,550.0,20850.0,23550.0,20850.0,265907.0
2,2020.03.16,23000.0,0.0,23400.0,24250.0,22800.0,342077.0
3,2020.03.13,23000.0,2750.0,24050.0,24500.0,21650.0,569701.0
4,2020.03.12,25750.0,1850.0,27350.0,28350.0,25200.0,496454.0
5,2020.03.11,27600.0,1000.0,29050.0,29900.0,27350.0,640743.0
9,2020.03.10,28600.0,150.0,28200.0,33700.0,28200.0,2770128.0
10,2020.03.09,28750.0,550.0,28500.0,29450.0,27650.0,898017.0
11,2020.03.06,28200.0,2900.0,29600.0,30200.0,27650.0,1036703.0
12,2020.03.05,31100.0,6100.0,25400.0,31900.0,25000.0,4702231.0
13,2020.03.04,25000.0,50.0,24700.0,25200.0,24700.0,51879.0
1,2020.03.03,24950.0,250.0,24850.0,25500.0,24850.0,72346.0
2,2020.03.02,24700.0,400.0,24200.0,24850.0,23950.0,71614.0
3,2020.02.28,24300.0,1350.0,25000.0,25500.0,24100.0,163248.0
4,2020.02.27,25650.0,150.0,25350.0,26150.0,25350.0,86397.0
5,2020.02.26,25500.0,650.0,25650.0,26000.0,25200.0,107112.0
9,2020.02.25,26150.0,50.0,26000.0,26350.0,25600.0,105239.0
10,2020.02.24,26100.0,1550.0,27800.0,28200.0,26000.0,179768.0
11,2020.02.21,27650.0,700.0,28750.0,28750.0,27650.0,124024.0
12,2020.02.20,28350.0,350.0,29150.0,29350.0,28300.0,214376.0
13,2020.02.19,28700.0,900.0,28000.0,28850.0,27950.0,190319.0
1,2020.02.18,27800.0,300.0,28150.0,28150.0,27750.0,69377.0
2,2020.02.17,28100.0,500.0,27600.0,29500.0,27600.0,305734.0
3,2020.02.14,27600.0,200.0,27800.0,27900.0,27450.0,81818.0
4,2020.02.13,27800.0,500.0,28300.0,28400.0,27750.0,147796.0
5,2020.02.12,28300.0,50.0,28200.0,28450.0,28000.0,63578.0
9,2020.02.11,28350.0,150.0,28400.0,28550.0,28050.0,71658.0
10,2020.02.10,28200.0,350.0,28350.0,28550.0,28000.0,79130.0
11,2020.02.07,28550.0,100.0,28600.0,29100.0,28300.0,89322.0
12,2020.02.06,28650.0,500.0,28450.0,29200.0,28400.0,169523.0
13,2020.02.05,28150.0,200.0,28050.0,28400.0,27800.0,134053.0
1,2020.02.04,27950.0,450.0,28200.0,28500.0,27700.0,158993.0
2,2020.02.03,28400.0,900.0,30700.0,31800.0,28050.0,569958.0
3,2020.01.31,29300.0,650.0,29000.0,30650.0,28200.0,601742.0
4,2020.01.30,28650.0,1050.0,29900.0,30300.0,28350.0,223624.0
5,2020.01.29,29700.0,2450.0,31950.0,31950.0,29250.0,349307.0
9,2020.01.28,32150.0,3950.0,29050.0,33300.0,29050.0,990175.0
10,2020.01.23,28200.0,300.0,28500.0,29000.0,28100.0,52559.0
11,2020.01.22,28500.0,750.0,27900.0,29000.0,27900.0,112692.0
12,2020.01.21,27750.0,250.0,28000.0,28350.0,27750.0,50046.0
13,2020.01.20,28000.0,50.0,28050.0,28350.0,27950.0,39853.0
1,2020.01.17,28050.0,350.0,28400.0,28500.0,28050.0,40999.0
2,2020.01.16,28400.0,200.0,28550.0,28650.0,28200.0,37882.0
3,2020.01.15,28600.0,0.0,28750.0,28900.0,28450.0,22843.0
4,2020.01.14,28600.0,400.0,28900.0,29150.0,28550.0,48029.0
5,2020.01.13,29000.0,150.0,28600.0,29300.0,28600.0,44712.0
9,2020.01.10,28850.0,450.0,28350.0,29050.0,28050.0,59563.0
10,2020.01.09,28400.0,450.0,28350.0,28600.0,28100.0,57437.0
11,2020.01.08,27950.0,1000.0,28500.0,28500.0,27700.0,95298.0
12,2020.01.07,28950.0,150.0,29200.0,29350.0,28850.0,33525.0
13,2020.01.06,28800.0,900.0,29600.0,29700.0,28800.0,58476.0
1,2020.01.03,29700.0,200.0,30100.0,30100.0,29450.0,41640.0
2,2020.01.02,29900.0,300.0,29950.0,30200.0,29300.0,97182.0
3,2019.12.30,29600.0,600.0,29200.0,29800.0,29000.0,57252.0
4,2019.12.27,29000.0,400.0,28300.0,29050.0,28300.0,37505.0
5,2019.12.26,29400.0,550.0,28750.0,29400.0,28750.0,69531.0
9,2019.12.24,28850.0,200.0,29150.0,29200.0,28750.0,39802.0
10,2019.12.23,29050.0,800.0,28250.0,29150.0,28250.0,56978.0
11,2019.12.20,28250.0,450.0,28950.0,28950.0,28200.0,55835.0
12,2019.12.19,28700.0,50.0,28650.0,28900.0,28500.0,31155.0
13,2019.12.18,28650.0,250.0,28750.0,29100.0,28650.0,35242.0
1,2019.12.17,28900.0,50.0,28950.0,29100.0,28600.0,41313.0
2,2019.12.16,28950.0,250.0,28700.0,29250.0,28650.0,41498.0
3,2019.12.13,28700.0,300.0,29350.0,29550.0,28500.0,103934.0
4,2019.12.12,29000.0,400.0,28900.0,29050.0,28500.0,71522.0
5,2019.12.11,28600.0,150.0,28700.0,28950.0,28400.0,35785.0
9,2019.12.10,28750.0,200.0,28600.0,28950.0,28150.0,32512.0
10,2019.12.09,28550.0,750.0,29150.0,29450.0,28400.0,75679.0
11,2019.12.06,29300.0,450.0,28700.0,29500.0,28700.0,31849.0
12,2019.12.05,28850.0,650.0,29500.0,29850.0,28700.0,61673.0
13,2019.12.04,29500.0,900.0,30100.0,32200.0,29250.0,365914.0
1,2019.12.03,30400.0,400.0,30450.0,30800.0,30050.0,34055.0
2,2019.12.02,30800.0,100.0,30500.0,31800.0,30300.0,60542.0
3,2019.11.29,30700.0,600.0,31600.0,31600.0,30400.0,51244.0
4,2019.11.28,31300.0,400.0,30750.0,32500.0,30750.0,96663.0
5,2019.11.27,30900.0,250.0,31550.0,31600.0,30700.0,60835.0
9,2019.11.26,31150.0,1150.0,30100.0,31150.0,29900.0,90071.0
10,2019.11.25,30000.0,800.0,29050.0,30100.0,28850.0,41309.0
11,2019.11.22,29200.0,250.0,28750.0,29500.0,28650.0,41124.0
12,2019.11.21,28950.0,550.0,29500.0,29550.0,28750.0,52242.0
13,2019.11.20,29500.0,300.0,29700.0,29850.0,29250.0,42730.0
1,2019.11.19,29800.0,500.0,30050.0,30200.0,29500.0,46555.0
2,2019.11.18,30300.0,150.0,30000.0,30350.0,29750.0,33463.0
