,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,13200.0,200.0,13000.0,13200.0,12850.0,235214.0
2,2020.04.28,13000.0,250.0,12850.0,13100.0,12700.0,393134.0
3,2020.04.27,12750.0,250.0,12700.0,12900.0,12550.0,174449.0
4,2020.04.24,12500.0,350.0,12850.0,12850.0,12400.0,228105.0
5,2020.04.23,12850.0,600.0,12300.0,13000.0,12250.0,388519.0
9,2020.04.22,12250.0,0.0,12000.0,12250.0,11900.0,282528.0
10,2020.04.21,12250.0,350.0,12550.0,12650.0,12050.0,361046.0
11,2020.04.20,12600.0,200.0,12800.0,12950.0,12600.0,381872.0
12,2020.04.17,12800.0,100.0,12800.0,13100.0,12750.0,311814.0
13,2020.04.16,12700.0,350.0,12900.0,12900.0,12550.0,313457.0
1,2020.04.14,13050.0,250.0,12900.0,13200.0,12700.0,268272.0
2,2020.04.13,12800.0,500.0,13150.0,13200.0,12750.0,382991.0
3,2020.04.10,13300.0,250.0,13300.0,13400.0,12900.0,503224.0
4,2020.04.09,13550.0,350.0,13500.0,13600.0,13100.0,529301.0
5,2020.04.08,13200.0,100.0,13050.0,13600.0,12500.0,947760.0
9,2020.04.07,13300.0,1500.0,13700.0,15050.0,12800.0,5487836.0
10,2020.04.06,11800.0,2700.0,11800.0,11800.0,11800.0,282497.0
11,2020.04.03,9100.0,40.0,9140.0,9250.0,8910.0,215892.0
12,2020.04.02,9140.0,250.0,8800.0,9190.0,8750.0,202816.0
13,2020.04.01,8890.0,280.0,8870.0,9250.0,8780.0,275150.0
1,2020.03.31,9170.0,580.0,8840.0,9170.0,8720.0,364444.0
2,2020.03.30,8590.0,140.0,8210.0,8740.0,8050.0,236270.0
3,2020.03.27,8450.0,250.0,8600.0,8780.0,8140.0,324687.0
4,2020.03.26,8200.0,100.0,8120.0,8650.0,7900.0,473694.0
5,2020.03.25,8100.0,890.0,7520.0,8100.0,7330.0,452648.0
9,2020.03.24,7210.0,500.0,6950.0,7250.0,6820.0,358467.0
10,2020.03.23,6710.0,1190.0,7120.0,7270.0,6700.0,470084.0
11,2020.03.20,7900.0,1250.0,6720.0,7900.0,6590.0,483650.0
12,2020.03.19,6650.0,1210.0,7900.0,8050.0,6650.0,565421.0
13,2020.03.18,7860.0,690.0,8510.0,8600.0,7860.0,322739.0
1,2020.03.17,8550.0,80.0,8010.0,8580.0,8010.0,281717.0
2,2020.03.16,8630.0,130.0,9000.0,9020.0,8540.0,421218.0
3,2020.03.13,8760.0,590.0,8440.0,8980.0,8330.0,532719.0
4,2020.03.12,9350.0,700.0,9950.0,10050.0,9300.0,502655.0
5,2020.03.11,10050.0,150.0,10250.0,10400.0,9990.0,347446.0
9,2020.03.10,10200.0,300.0,10350.0,10450.0,10050.0,465296.0
10,2020.03.09,10500.0,700.0,10900.0,10950.0,10300.0,408845.0
11,2020.03.06,11200.0,450.0,11500.0,11500.0,11100.0,192546.0
12,2020.03.05,11650.0,300.0,11500.0,11700.0,11250.0,223205.0
13,2020.03.04,11350.0,100.0,11250.0,11450.0,11200.0,150622.0
1,2020.03.03,11250.0,150.0,11350.0,11550.0,11100.0,148792.0
2,2020.03.02,11100.0,150.0,11150.0,11350.0,10900.0,285490.0
3,2020.02.28,11250.0,450.0,11500.0,11700.0,11200.0,254454.0
4,2020.02.27,11700.0,50.0,11750.0,11900.0,11550.0,148522.0
5,2020.02.26,11750.0,150.0,11650.0,11900.0,11600.0,183877.0
9,2020.02.25,11900.0,0.0,11900.0,12150.0,11800.0,295103.0
10,2020.02.24,11900.0,500.0,12100.0,12150.0,11850.0,154591.0
11,2020.02.21,12400.0,50.0,12250.0,12550.0,12100.0,216718.0
12,2020.02.20,12350.0,350.0,12650.0,12850.0,12350.0,176070.0
13,2020.02.19,12700.0,200.0,12900.0,13100.0,12600.0,164238.0
1,2020.02.18,12900.0,400.0,13150.0,13250.0,12900.0,174806.0
2,2020.02.17,13300.0,100.0,13250.0,13400.0,13050.0,142169.0
3,2020.02.14,13200.0,0.0,13100.0,13400.0,12950.0,200201.0
