,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,4245.0,190.0,4120.0,4285.0,4085.0,525007.0
2,2020.04.28,4055.0,0.0,4055.0,4110.0,4005.0,267778.0
3,2020.04.27,4055.0,80.0,3975.0,4080.0,3930.0,237006.0
4,2020.04.24,3975.0,50.0,3960.0,4030.0,3925.0,239387.0
5,2020.04.23,4025.0,60.0,3965.0,4045.0,3930.0,246368.0
9,2020.04.22,3965.0,75.0,3920.0,3980.0,3880.0,306882.0
10,2020.04.21,4040.0,110.0,4075.0,4105.0,3900.0,448183.0
11,2020.04.20,4150.0,70.0,4055.0,4255.0,4055.0,338009.0
12,2020.04.17,4080.0,100.0,4050.0,4140.0,4010.0,294455.0
13,2020.04.16,3980.0,15.0,3890.0,4000.0,3820.0,347830.0
1,2020.04.14,3965.0,65.0,3905.0,4010.0,3905.0,264113.0
2,2020.04.13,3900.0,145.0,4140.0,4140.0,3900.0,408224.0
3,2020.04.10,4045.0,175.0,3875.0,4135.0,3875.0,735460.0
4,2020.04.09,3870.0,80.0,3830.0,3980.0,3810.0,491187.0
5,2020.04.08,3790.0,55.0,3840.0,3855.0,3750.0,314345.0
9,2020.04.07,3845.0,125.0,3820.0,3875.0,3740.0,473706.0
10,2020.04.06,3720.0,185.0,3575.0,3750.0,3560.0,526818.0
11,2020.04.03,3535.0,55.0,3555.0,3585.0,3495.0,400466.0
12,2020.04.02,3590.0,5.0,3525.0,3605.0,3480.0,383564.0
13,2020.04.01,3585.0,85.0,3600.0,3665.0,3500.0,433693.0
1,2020.03.31,3670.0,30.0,3665.0,3795.0,3600.0,392980.0
2,2020.03.30,3640.0,15.0,3600.0,3700.0,3440.0,486925.0
3,2020.03.27,3625.0,95.0,3800.0,3800.0,3530.0,458380.0
4,2020.03.26,3530.0,45.0,3500.0,3580.0,3435.0,590255.0
5,2020.03.25,3485.0,225.0,3300.0,3485.0,3300.0,643323.0
9,2020.03.24,3260.0,230.0,3120.0,3280.0,3050.0,475718.0
10,2020.03.23,3030.0,470.0,3400.0,3400.0,2970.0,790815.0
11,2020.03.20,3500.0,720.0,2785.0,3500.0,2785.0,744596.0
12,2020.03.19,2780.0,470.0,3250.0,3370.0,2780.0,1444120.0
13,2020.03.18,3250.0,215.0,3480.0,3520.0,3225.0,1041366.0
1,2020.03.17,3465.0,155.0,3610.0,3610.0,3395.0,1151515.0
2,2020.03.16,3620.0,125.0,3760.0,3870.0,3615.0,644853.0
3,2020.03.13,3745.0,140.0,3850.0,3850.0,3490.0,1227672.0
4,2020.03.12,3885.0,170.0,4060.0,4135.0,3800.0,966189.0
5,2020.03.11,4055.0,55.0,4055.0,4115.0,3940.0,706165.0
9,2020.03.10,4000.0,95.0,4070.0,4115.0,3960.0,790743.0
10,2020.03.09,4095.0,365.0,4420.0,4420.0,4010.0,822190.0
11,2020.03.06,4460.0,225.0,4635.0,4635.0,4400.0,691106.0
12,2020.03.05,4685.0,60.0,4655.0,4725.0,4605.0,206195.0
13,2020.03.04,4625.0,70.0,4560.0,4665.0,4545.0,196626.0
1,2020.03.03,4555.0,70.0,4655.0,4730.0,4490.0,526144.0
2,2020.03.02,4625.0,55.0,4740.0,4745.0,4590.0,339963.0
3,2020.02.28,4680.0,75.0,4750.0,4750.0,4645.0,376527.0
4,2020.02.27,4755.0,25.0,4770.0,4840.0,4685.0,304390.0
5,2020.02.26,4780.0,15.0,4680.0,4815.0,4670.0,292463.0
9,2020.02.25,4765.0,105.0,4725.0,4830.0,4660.0,314410.0
10,2020.02.24,4660.0,195.0,4800.0,4850.0,4640.0,462426.0
11,2020.02.21,4855.0,110.0,4945.0,4965.0,4855.0,292435.0
12,2020.02.20,4965.0,295.0,5230.0,5260.0,4920.0,577848.0
13,2020.02.19,5260.0,70.0,5330.0,5380.0,5200.0,187116.0
1,2020.02.18,5330.0,50.0,5310.0,5420.0,5280.0,152290.0
2,2020.02.17,5380.0,10.0,5400.0,5400.0,5290.0,169775.0
3,2020.02.14,5370.0,50.0,5370.0,5460.0,5250.0,250083.0
4,2020.02.13,5420.0,80.0,5490.0,5540.0,5400.0,229783.0
5,2020.02.12,5500.0,40.0,5480.0,5570.0,5470.0,249443.0
9,2020.02.11,5540.0,130.0,5360.0,5550.0,5360.0,268133.0
10,2020.02.10,5410.0,10.0,5400.0,5450.0,5320.0,190436.0
11,2020.02.07,5400.0,70.0,5290.0,5470.0,5200.0,435927.0
12,2020.02.06,5330.0,350.0,4990.0,5370.0,4990.0,459856.0
13,2020.02.05,4980.0,75.0,4895.0,5010.0,4865.0,272797.0
1,2020.02.04,4905.0,50.0,4820.0,5000.0,4820.0,258404.0
2,2020.02.03,4855.0,65.0,4850.0,4915.0,4765.0,300167.0
3,2020.01.31,4920.0,15.0,4950.0,5020.0,4865.0,253146.0
4,2020.01.30,4935.0,85.0,4980.0,5080.0,4930.0,283372.0
5,2020.01.29,5020.0,0.0,5040.0,5080.0,4980.0,349865.0
9,2020.01.28,5020.0,440.0,5360.0,5410.0,5000.0,719470.0
10,2020.01.23,5460.0,10.0,5430.0,5500.0,5430.0,160052.0
11,2020.01.22,5450.0,10.0,5480.0,5490.0,5410.0,156958.0
12,2020.01.21,5460.0,30.0,5510.0,5540.0,5440.0,156070.0
13,2020.01.20,5490.0,0.0,5500.0,5560.0,5470.0,175466.0
1,2020.01.17,5490.0,30.0,5530.0,5600.0,5480.0,238377.0
2,2020.01.16,5520.0,30.0,5560.0,5570.0,5490.0,189386.0
3,2020.01.15,5550.0,40.0,5530.0,5620.0,5500.0,164964.0
4,2020.01.14,5510.0,10.0,5540.0,5580.0,5480.0,299891.0
5,2020.01.13,5520.0,20.0,5510.0,5560.0,5460.0,191088.0
