,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,9290.0,290.0,9010.0,9590.0,9010.0,179501.0
2,2020.04.28,9000.0,20.0,9010.0,9090.0,8810.0,89343.0
3,2020.04.27,8980.0,380.0,8600.0,9080.0,8530.0,103857.0
4,2020.04.24,8600.0,180.0,8770.0,8770.0,8510.0,51741.0
5,2020.04.23,8780.0,300.0,8500.0,8790.0,8420.0,102758.0
9,2020.04.22,8480.0,330.0,8700.0,8730.0,8300.0,160799.0
10,2020.04.21,8810.0,370.0,9160.0,9160.0,8750.0,166367.0
11,2020.04.20,9180.0,150.0,9020.0,9280.0,8940.0,80858.0
12,2020.04.17,9030.0,100.0,8940.0,9180.0,8940.0,112438.0
13,2020.04.16,8930.0,140.0,8980.0,9000.0,8600.0,103172.0
1,2020.04.14,9070.0,10.0,9090.0,9300.0,9010.0,115391.0
2,2020.04.13,9080.0,20.0,9290.0,9490.0,8830.0,144539.0
3,2020.04.10,9100.0,510.0,8690.0,9300.0,8610.0,224606.0
4,2020.04.09,8590.0,320.0,8400.0,8590.0,8290.0,130340.0
5,2020.04.08,8270.0,20.0,8230.0,8420.0,8080.0,119604.0
9,2020.04.07,8290.0,160.0,8340.0,8430.0,8040.0,190001.0
10,2020.04.06,8130.0,200.0,8300.0,8300.0,7910.0,104473.0
11,2020.04.03,7930.0,80.0,7830.0,7940.0,7650.0,120859.0
12,2020.04.02,7850.0,300.0,7450.0,7860.0,7310.0,116918.0
13,2020.04.01,7550.0,50.0,7490.0,7780.0,7380.0,166697.0
1,2020.03.31,7500.0,110.0,7430.0,7650.0,7270.0,206329.0
2,2020.03.30,7390.0,200.0,6930.0,7390.0,6750.0,109086.0
3,2020.03.27,7190.0,130.0,7290.0,7650.0,6950.0,201427.0
4,2020.03.26,7060.0,440.0,6900.0,7400.0,6710.0,233117.0
5,2020.03.25,6620.0,890.0,5930.0,6700.0,5810.0,264404.0
9,2020.03.24,5730.0,370.0,5530.0,5790.0,5410.0,132684.0
10,2020.03.23,5360.0,480.0,5500.0,5600.0,5250.0,192605.0
11,2020.03.20,5840.0,190.0,5700.0,6080.0,5500.0,279281.0
12,2020.03.19,5650.0,1540.0,7180.0,7350.0,5350.0,352792.0
13,2020.03.18,7190.0,640.0,7770.0,8000.0,7190.0,100017.0
1,2020.03.17,7830.0,260.0,7360.0,8000.0,7350.0,137038.0
2,2020.03.16,8090.0,400.0,8420.0,8600.0,8020.0,169395.0
3,2020.03.13,8490.0,580.0,8210.0,8600.0,8010.0,184720.0
4,2020.03.12,9070.0,750.0,9820.0,9820.0,8940.0,178497.0
5,2020.03.11,9820.0,230.0,10000.0,10150.0,9750.0,62825.0
9,2020.03.10,10050.0,0.0,9900.0,10100.0,9890.0,60315.0
10,2020.03.09,10050.0,550.0,10400.0,10400.0,9930.0,119155.0
11,2020.03.06,10600.0,400.0,10850.0,10950.0,10350.0,102800.0
12,2020.03.05,11000.0,100.0,11000.0,11150.0,10900.0,67045.0
13,2020.03.04,10900.0,100.0,11000.0,11100.0,10850.0,43978.0
1,2020.03.03,11000.0,100.0,11050.0,11200.0,10750.0,41013.0
2,2020.03.02,10900.0,0.0,10800.0,11000.0,10750.0,42453.0
3,2020.02.28,10900.0,500.0,11250.0,11250.0,10800.0,72798.0
4,2020.02.27,11400.0,250.0,11250.0,11400.0,11100.0,39771.0
5,2020.02.26,11150.0,100.0,11000.0,11250.0,10950.0,67043.0
9,2020.02.25,11250.0,150.0,11600.0,11700.0,11050.0,79107.0
10,2020.02.24,11100.0,700.0,11550.0,11750.0,10700.0,190600.0
11,2020.02.21,11800.0,200.0,12000.0,12000.0,11700.0,56722.0
12,2020.02.20,12000.0,300.0,12250.0,12400.0,11950.0,77962.0
13,2020.02.19,12300.0,250.0,12550.0,12600.0,12250.0,33267.0
1,2020.02.18,12550.0,50.0,12500.0,12550.0,12400.0,27901.0
2,2020.02.17,12600.0,100.0,12700.0,12800.0,12500.0,44283.0
3,2020.02.14,12700.0,250.0,12900.0,12950.0,12700.0,30878.0
4,2020.02.13,12950.0,100.0,13050.0,13100.0,12900.0,34266.0
5,2020.02.12,13050.0,50.0,12900.0,13100.0,12900.0,30032.0
9,2020.02.11,13000.0,300.0,12700.0,13100.0,12700.0,31553.0
10,2020.02.10,12700.0,150.0,12750.0,12800.0,12550.0,21093.0
11,2020.02.07,12850.0,100.0,12950.0,13000.0,12700.0,29774.0
12,2020.02.06,12950.0,550.0,12450.0,12950.0,12450.0,57968.0
