,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,14100.0,200.0,13900.0,14150.0,13900.0,128210.0
2,2020.04.28,13900.0,50.0,13950.0,14000.0,13750.0,112009.0
3,2020.04.27,13850.0,450.0,13450.0,13950.0,13450.0,128145.0
4,2020.04.24,13400.0,300.0,13550.0,13650.0,13350.0,143794.0
5,2020.04.23,13700.0,400.0,13350.0,13750.0,13150.0,170306.0
9,2020.04.22,13300.0,200.0,13400.0,13400.0,13050.0,194113.0
10,2020.04.21,13500.0,300.0,13650.0,13800.0,13150.0,194174.0
11,2020.04.20,13800.0,550.0,14150.0,14300.0,13650.0,192695.0
12,2020.04.17,14350.0,0.0,14350.0,14600.0,14300.0,121586.0
13,2020.04.16,14350.0,100.0,14150.0,14400.0,13950.0,148077.0
1,2020.04.14,14250.0,700.0,13700.0,14350.0,13550.0,281197.0
2,2020.04.13,13550.0,100.0,13650.0,13900.0,13500.0,185500.0
3,2020.04.10,13650.0,300.0,14100.0,14100.0,13400.0,152042.0
4,2020.04.09,13950.0,500.0,13900.0,14350.0,13750.0,198823.0
5,2020.04.08,13450.0,350.0,13150.0,14100.0,12900.0,269817.0
9,2020.04.07,13100.0,0.0,13200.0,13500.0,12950.0,317333.0
10,2020.04.06,13100.0,700.0,12450.0,13300.0,12450.0,357327.0
11,2020.04.03,12400.0,450.0,12050.0,12400.0,11800.0,217987.0
12,2020.04.02,11950.0,300.0,11750.0,12100.0,11500.0,129718.0
13,2020.04.01,11650.0,400.0,12050.0,12550.0,11650.0,223598.0
1,2020.03.31,12050.0,200.0,11950.0,12300.0,11900.0,184389.0
2,2020.03.30,11850.0,200.0,11250.0,12000.0,11250.0,93974.0
3,2020.03.27,12050.0,100.0,12350.0,12400.0,11600.0,171275.0
4,2020.03.26,11950.0,600.0,12200.0,12550.0,11750.0,1202116.0
5,2020.03.25,12550.0,1350.0,11300.0,12550.0,11250.0,186671.0
9,2020.03.24,11200.0,500.0,10650.0,11200.0,10500.0,176565.0
10,2020.03.23,10700.0,1000.0,11000.0,11000.0,10400.0,153727.0
11,2020.03.20,11700.0,750.0,11150.0,11700.0,10600.0,173952.0
12,2020.03.19,10950.0,1450.0,12350.0,12750.0,10900.0,140649.0
13,2020.03.18,12400.0,550.0,12700.0,13250.0,12400.0,100757.0
1,2020.03.17,12950.0,250.0,12100.0,13300.0,12100.0,61429.0
2,2020.03.16,13200.0,100.0,12700.0,13300.0,12700.0,95055.0
3,2020.03.13,13100.0,400.0,12350.0,13150.0,11400.0,122338.0
4,2020.03.12,13500.0,700.0,14000.0,14150.0,13150.0,107132.0
5,2020.03.11,14200.0,200.0,14200.0,14400.0,14100.0,65617.0
9,2020.03.10,14400.0,50.0,14450.0,14450.0,14100.0,57668.0
10,2020.03.09,14350.0,100.0,14250.0,14350.0,14000.0,64443.0
11,2020.03.06,14450.0,150.0,14350.0,14650.0,14200.0,52834.0
12,2020.03.05,14600.0,200.0,14400.0,14750.0,14300.0,58266.0
13,2020.03.04,14400.0,50.0,14400.0,14600.0,14350.0,47297.0
1,2020.03.03,14350.0,50.0,14400.0,14600.0,14250.0,47380.0
2,2020.03.02,14300.0,50.0,14250.0,14600.0,14150.0,44434.0
3,2020.02.28,14250.0,450.0,14600.0,14800.0,14100.0,79564.0
4,2020.02.27,14700.0,50.0,14600.0,14900.0,14550.0,65446.0
