,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,382500.0,2500.0,385000.0,390500.0,380500.0,4441.0
2,2020.04.28,385000.0,10500.0,381000.0,392000.0,376500.0,5007.0
3,2020.04.27,374500.0,13500.0,358500.0,375500.0,357000.0,2745.0
4,2020.04.24,361000.0,2000.0,364500.0,367500.0,356000.0,2863.0
5,2020.04.23,363000.0,13000.0,350000.0,363000.0,350000.0,3052.0
9,2020.04.22,350000.0,4500.0,354500.0,354500.0,341500.0,2076.0
10,2020.04.21,354500.0,2000.0,355500.0,355500.0,342000.0,3517.0
11,2020.04.20,352500.0,5500.0,360000.0,363000.0,351500.0,3140.0
12,2020.04.17,358000.0,2000.0,356000.0,362500.0,356000.0,2494.0
13,2020.04.16,356000.0,8000.0,363500.0,363500.0,350500.0,2947.0
1,2020.04.14,364000.0,12500.0,350000.0,369000.0,347500.0,3910.0
2,2020.04.13,351500.0,20500.0,366000.0,369500.0,350000.0,4949.0
3,2020.04.10,372000.0,4000.0,376000.0,378500.0,363500.0,3516.0
4,2020.04.09,376000.0,4500.0,379000.0,384000.0,372000.0,4211.0
5,2020.04.08,380500.0,7000.0,388000.0,388000.0,368500.0,6812.0
9,2020.04.07,387500.0,35000.0,368000.0,388000.0,365000.0,12063.0
10,2020.04.06,352500.0,38500.0,320000.0,362000.0,314500.0,11253.0
11,2020.04.03,314000.0,11000.0,303000.0,315500.0,295000.0,4971.0
12,2020.04.02,303000.0,7500.0,297000.0,306500.0,285000.0,3876.0
13,2020.04.01,295500.0,4500.0,294000.0,321000.0,293500.0,8070.0
1,2020.03.31,300000.0,7000.0,307000.0,307500.0,300000.0,3496.0
2,2020.03.30,307000.0,17000.0,298500.0,307000.0,275500.0,3636.0
3,2020.03.27,290000.0,500.0,306000.0,309000.0,282000.0,3944.0
4,2020.03.26,289500.0,25000.0,264500.0,298500.0,261500.0,6428.0
5,2020.03.25,264500.0,34500.0,241000.0,299000.0,235000.0,6788.0
9,2020.03.24,230000.0,18500.0,212000.0,230000.0,212000.0,3337.0
10,2020.03.23,211500.0,8000.0,209000.0,217500.0,204000.0,3687.0
11,2020.03.20,219500.0,7500.0,210000.0,220000.0,210000.0,4406.0
12,2020.03.19,212000.0,26500.0,236000.0,242500.0,212000.0,5246.0
13,2020.03.18,238500.0,19500.0,256000.0,260000.0,237500.0,4484.0
1,2020.03.17,258000.0,12500.0,265000.0,269500.0,257500.0,3315.0
2,2020.03.16,270500.0,5000.0,275500.0,278500.0,263500.0,2568.0
3,2020.03.13,275500.0,21000.0,280000.0,283000.0,260500.0,5558.0
4,2020.03.12,296500.0,7500.0,304000.0,309000.0,288000.0,3955.0
5,2020.03.11,304000.0,6000.0,305500.0,312000.0,301000.0,1942.0
9,2020.03.10,310000.0,6500.0,315500.0,316500.0,305000.0,2387.0
10,2020.03.09,316500.0,11500.0,321000.0,321000.0,310000.0,2920.0
11,2020.03.06,328000.0,11500.0,337000.0,342500.0,327000.0,2565.0
12,2020.03.05,339500.0,5500.0,334000.0,341000.0,330000.0,2391.0
13,2020.03.04,334000.0,500.0,333500.0,338500.0,332000.0,1777.0
1,2020.03.03,333500.0,2000.0,335000.0,339500.0,332500.0,1533.0
2,2020.03.02,335500.0,4000.0,338000.0,341000.0,331500.0,2251.0
3,2020.02.28,331500.0,2000.0,336500.0,336500.0,322500.0,3622.0
4,2020.02.27,333500.0,1500.0,331000.0,335000.0,327500.0,1594.0
5,2020.02.26,335000.0,2000.0,339000.0,339000.0,331000.0,1854.0
9,2020.02.25,337000.0,6000.0,334000.0,337000.0,331000.0,1671.0
10,2020.02.24,331000.0,14000.0,342500.0,355500.0,331000.0,2727.0
11,2020.02.21,345000.0,7000.0,349500.0,349500.0,341000.0,2456.0
12,2020.02.20,352000.0,10500.0,357000.0,365500.0,350000.0,2748.0
13,2020.02.19,362500.0,0.0,370000.0,370000.0,358500.0,1606.0
1,2020.02.18,362500.0,11500.0,370500.0,373000.0,361500.0,1581.0
