,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,5730.0,30.0,5730.0,5790.0,5700.0,376403.0
2,2020.04.28,5700.0,40.0,5680.0,5770.0,5610.0,342050.0
3,2020.04.27,5660.0,90.0,5590.0,5710.0,5540.0,316244.0
4,2020.04.24,5570.0,130.0,5650.0,5650.0,5520.0,345402.0
5,2020.04.23,5700.0,40.0,5660.0,5720.0,5540.0,314326.0
9,2020.04.22,5660.0,70.0,5600.0,5660.0,5460.0,350075.0
10,2020.04.21,5730.0,220.0,5890.0,5890.0,5610.0,707192.0
11,2020.04.20,5950.0,110.0,5940.0,6100.0,5940.0,445787.0
12,2020.04.17,6060.0,80.0,6000.0,6110.0,5990.0,453445.0
13,2020.04.16,5980.0,50.0,5910.0,6060.0,5800.0,471943.0
1,2020.04.14,5930.0,260.0,5740.0,5980.0,5700.0,511903.0
2,2020.04.13,5670.0,120.0,5840.0,5860.0,5630.0,569029.0
3,2020.04.10,5790.0,480.0,5340.0,6290.0,5340.0,1948841.0
4,2020.04.09,5310.0,200.0,5260.0,5330.0,5100.0,555666.0
5,2020.04.08,5110.0,20.0,5140.0,5230.0,4985.0,397983.0
9,2020.04.07,5130.0,100.0,5130.0,5270.0,4990.0,594974.0
10,2020.04.06,5030.0,185.0,4845.0,5100.0,4830.0,435778.0
11,2020.04.03,4845.0,95.0,4755.0,4890.0,4730.0,324871.0
12,2020.04.02,4750.0,75.0,4675.0,4840.0,4560.0,418417.0
13,2020.04.01,4675.0,0.0,4650.0,4950.0,4450.0,566817.0
1,2020.03.31,4675.0,115.0,4600.0,4750.0,4600.0,481405.0
2,2020.03.30,4560.0,60.0,4460.0,4700.0,4265.0,359301.0
3,2020.03.27,4500.0,100.0,4565.0,4610.0,4400.0,633174.0
4,2020.03.26,4400.0,75.0,4480.0,4645.0,4300.0,549546.0
5,2020.03.25,4475.0,385.0,4250.0,4475.0,4210.0,704052.0
9,2020.03.24,4090.0,190.0,3985.0,4130.0,3865.0,386756.0
10,2020.03.23,3900.0,725.0,4200.0,4200.0,3865.0,483446.0
11,2020.03.20,4625.0,735.0,3890.0,4625.0,3815.0,455276.0
12,2020.03.19,3890.0,780.0,4750.0,4790.0,3855.0,753704.0
13,2020.03.18,4670.0,215.0,4885.0,4915.0,4650.0,271918.0
1,2020.03.17,4885.0,55.0,4500.0,5140.0,4500.0,361561.0
2,2020.03.16,4940.0,60.0,5100.0,5140.0,4765.0,333114.0
3,2020.03.13,5000.0,400.0,5150.0,5150.0,4755.0,538225.0
4,2020.03.12,5400.0,380.0,5850.0,5850.0,5310.0,503604.0
5,2020.03.11,5780.0,140.0,5840.0,5930.0,5730.0,235663.0
9,2020.03.10,5920.0,70.0,5690.0,5930.0,5690.0,325649.0
10,2020.03.09,5850.0,360.0,6160.0,6230.0,5740.0,412825.0
11,2020.03.06,6210.0,110.0,6290.0,6290.0,6170.0,320111.0
12,2020.03.05,6320.0,50.0,6280.0,6350.0,6230.0,344959.0
13,2020.03.04,6270.0,30.0,6310.0,6330.0,6200.0,596492.0
1,2020.03.03,6300.0,30.0,6390.0,6430.0,6260.0,285268.0
2,2020.03.02,6330.0,90.0,6450.0,6460.0,6190.0,303354.0
3,2020.02.28,6420.0,230.0,6620.0,6620.0,6410.0,303274.0
4,2020.02.27,6650.0,10.0,6680.0,6700.0,6550.0,249088.0
5,2020.02.26,6660.0,180.0,6800.0,6800.0,6550.0,474157.0
9,2020.02.25,6840.0,160.0,7040.0,7050.0,6810.0,462008.0
10,2020.02.24,7000.0,290.0,7240.0,7330.0,6980.0,211834.0
11,2020.02.21,7290.0,170.0,7440.0,7480.0,7220.0,185254.0
12,2020.02.20,7460.0,160.0,7620.0,7660.0,7440.0,179835.0
13,2020.02.19,7620.0,120.0,7810.0,7810.0,7550.0,246208.0
1,2020.02.18,7740.0,50.0,7740.0,7800.0,7700.0,134143.0
2,2020.02.17,7790.0,20.0,7720.0,7810.0,7710.0,78388.0
3,2020.02.14,7770.0,20.0,7750.0,7800.0,7720.0,118832.0
4,2020.02.13,7790.0,110.0,7910.0,7920.0,7770.0,256489.0
5,2020.02.12,7900.0,80.0,7980.0,8040.0,7830.0,221043.0
9,2020.02.11,7980.0,150.0,7830.0,7990.0,7830.0,81298.0
10,2020.02.10,7830.0,10.0,7750.0,7860.0,7720.0,60883.0
11,2020.02.07,7840.0,160.0,7930.0,8010.0,7800.0,122385.0
12,2020.02.06,8000.0,200.0,7800.0,8040.0,7800.0,146400.0
