,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,262500.0,1500.0,261500.0,264500.0,259500.0,2222.0
2,2020.04.28,261000.0,1000.0,260000.0,261000.0,256500.0,1352.0
3,2020.04.27,260000.0,3000.0,256000.0,261000.0,256000.0,2113.0
4,2020.04.24,257000.0,0.0,256500.0,258000.0,253500.0,1942.0
5,2020.04.23,257000.0,5500.0,252000.0,257000.0,250000.0,2382.0
9,2020.04.22,251500.0,500.0,249000.0,251500.0,245000.0,2080.0
10,2020.04.21,251000.0,4500.0,253500.0,256000.0,247000.0,3243.0
11,2020.04.20,255500.0,2000.0,257000.0,259000.0,255000.0,2401.0
12,2020.04.17,257500.0,1500.0,253000.0,260000.0,253000.0,2933.0
13,2020.04.16,256000.0,3500.0,258500.0,258500.0,251500.0,2330.0
1,2020.04.14,259500.0,4000.0,254000.0,260000.0,254000.0,2405.0
2,2020.04.13,255500.0,4000.0,262500.0,262500.0,254500.0,3583.0
3,2020.04.10,259500.0,3500.0,256000.0,259500.0,253000.0,4251.0
4,2020.04.09,256000.0,1500.0,254500.0,257500.0,253000.0,2977.0
5,2020.04.08,254500.0,1500.0,254000.0,257500.0,251000.0,3912.0
9,2020.04.07,256000.0,4500.0,253500.0,256000.0,251000.0,4454.0
10,2020.04.06,251500.0,1000.0,250000.0,255500.0,249500.0,4318.0
11,2020.04.03,250500.0,0.0,260000.0,265000.0,243000.0,6417.0
12,2020.04.02,250500.0,7500.0,240500.0,253000.0,237000.0,4476.0
13,2020.04.01,243000.0,3000.0,240500.0,248000.0,240000.0,2481.0
1,2020.03.31,246000.0,5500.0,240500.0,248000.0,239000.0,2536.0
2,2020.03.30,240500.0,4000.0,239000.0,244500.0,230000.0,3180.0
3,2020.03.27,244500.0,8000.0,240000.0,244500.0,237000.0,3768.0
4,2020.03.26,236500.0,3000.0,233500.0,240500.0,232500.0,4306.0
5,2020.03.25,233500.0,11500.0,225000.0,235000.0,224000.0,4645.0
9,2020.03.24,222000.0,16000.0,207000.0,222000.0,207000.0,3700.0
10,2020.03.23,206000.0,15000.0,218000.0,218000.0,204000.0,5636.0
11,2020.03.20,221000.0,4000.0,225000.0,236500.0,219000.0,4492.0
12,2020.03.19,225000.0,20000.0,245000.0,245000.0,222500.0,5298.0
13,2020.03.18,245000.0,3000.0,240000.0,247000.0,236000.0,2602.0
1,2020.03.17,248000.0,18500.0,220000.0,248000.0,220000.0,2703.0
2,2020.03.16,229500.0,500.0,234500.0,234500.0,220000.0,2486.0
3,2020.03.13,229000.0,11000.0,203000.0,229000.0,203000.0,7698.0
4,2020.03.12,240000.0,11000.0,248000.0,250500.0,238500.0,4502.0
5,2020.03.11,251000.0,500.0,250500.0,257500.0,248500.0,2211.0
9,2020.03.10,250500.0,7000.0,249000.0,257500.0,248500.0,4810.0
10,2020.03.09,257500.0,5000.0,262000.0,262000.0,253000.0,3580.0
11,2020.03.06,262500.0,2500.0,266000.0,267000.0,260000.0,2599.0
12,2020.03.05,265000.0,1500.0,267000.0,267000.0,263500.0,1741.0
13,2020.03.04,266500.0,7000.0,272000.0,272000.0,265500.0,2257.0
1,2020.03.03,273500.0,10500.0,288000.0,288000.0,261000.0,5222.0
2,2020.03.02,263000.0,2000.0,261000.0,269000.0,258000.0,3777.0
3,2020.02.28,261000.0,1500.0,263000.0,263000.0,257500.0,3287.0
4,2020.02.27,259500.0,1500.0,264500.0,265000.0,259000.0,1789.0
5,2020.02.26,261000.0,0.0,261000.0,261000.0,257000.0,1884.0
9,2020.02.25,261000.0,500.0,260000.0,264500.0,258500.0,2251.0
10,2020.02.24,260500.0,10500.0,270500.0,272000.0,260000.0,4527.0
11,2020.02.21,271000.0,6000.0,277000.0,277500.0,270500.0,3309.0
12,2020.02.20,277000.0,3000.0,281000.0,283000.0,275500.0,2543.0
13,2020.02.19,280000.0,1000.0,282000.0,288000.0,280000.0,3050.0
1,2020.02.18,281000.0,3500.0,284000.0,286500.0,280000.0,2068.0
2,2020.02.17,284500.0,0.0,285000.0,286500.0,284000.0,1156.0
3,2020.02.14,284500.0,500.0,285000.0,288500.0,284500.0,1885.0
4,2020.02.13,285000.0,500.0,285500.0,288500.0,285000.0,2098.0
5,2020.02.12,285500.0,0.0,285500.0,287500.0,284500.0,2030.0
9,2020.02.11,285500.0,0.0,285500.0,287500.0,284500.0,1952.0
10,2020.02.10,285500.0,3000.0,286500.0,287000.0,284000.0,1665.0
11,2020.02.07,288500.0,2500.0,291000.0,292000.0,287000.0,1265.0
12,2020.02.06,291000.0,6000.0,289000.0,291000.0,285500.0,2571.0
13,2020.02.05,285000.0,5000.0,290500.0,294000.0,285000.0,6723.0
1,2020.02.04,290000.0,7000.0,296000.0,297000.0,289000.0,3651.0
2,2020.02.03,297000.0,2500.0,299000.0,302000.0,295500.0,2436.0
3,2020.01.31,299500.0,2000.0,302000.0,302500.0,299000.0,2075.0
4,2020.01.30,301500.0,500.0,302000.0,306000.0,300000.0,1797.0
5,2020.01.29,302000.0,2000.0,302500.0,305500.0,301000.0,1416.0
9,2020.01.28,304000.0,2000.0,306500.0,319000.0,304000.0,2906.0
10,2020.01.23,306000.0,3000.0,305000.0,306000.0,302500.0,1858.0
11,2020.01.22,303000.0,500.0,302500.0,305500.0,302000.0,1383.0
12,2020.01.21,303500.0,1000.0,303000.0,305000.0,302500.0,1104.0
13,2020.01.20,304500.0,2500.0,306000.0,306500.0,304000.0,2109.0
1,2020.01.17,307000.0,1000.0,308000.0,309500.0,307000.0,1776.0
2,2020.01.16,308000.0,1000.0,309000.0,309500.0,307000.0,1493.0
3,2020.01.15,309000.0,0.0,308500.0,311500.0,308000.0,1080.0
4,2020.01.14,309000.0,1000.0,313000.0,313000.0,307000.0,1482.0
5,2020.01.13,310000.0,2000.0,311000.0,311500.0,307000.0,3481.0
9,2020.01.10,312000.0,5000.0,316000.0,316500.0,312000.0,3308.0
10,2020.01.09,317000.0,1000.0,315500.0,318000.0,315500.0,1667.0
11,2020.01.08,316000.0,4500.0,320500.0,320500.0,315000.0,2743.0
12,2020.01.07,320500.0,0.0,319000.0,323500.0,319000.0,2177.0
13,2020.01.06,320500.0,1500.0,322000.0,323500.0,320000.0,2513.0
1,2020.01.03,322000.0,2000.0,322500.0,324000.0,320000.0,2087.0
2,2020.01.02,320000.0,3000.0,325500.0,326000.0,319000.0,2611.0
3,2019.12.30,323000.0,3500.0,325500.0,326000.0,322500.0,2833.0
4,2019.12.27,326500.0,16000.0,330000.0,330000.0,325000.0,5661.0
5,2019.12.26,342500.0,2500.0,340000.0,343000.0,338500.0,8408.0
9,2019.12.24,340000.0,1500.0,339500.0,340000.0,338500.0,2833.0
10,2019.12.23,338500.0,500.0,338000.0,340500.0,338000.0,2989.0
11,2019.12.20,338000.0,3500.0,334500.0,338000.0,333000.0,2177.0
12,2019.12.19,334500.0,2500.0,331000.0,334500.0,331000.0,974.0
13,2019.12.18,332000.0,500.0,331000.0,334000.0,331000.0,701.0
1,2019.12.17,332500.0,2000.0,333000.0,334500.0,331500.0,1276.0
2,2019.12.16,334500.0,0.0,335500.0,336000.0,331000.0,1925.0
3,2019.12.13,334500.0,0.0,332000.0,336500.0,332000.0,899.0
4,2019.12.12,334500.0,5000.0,332500.0,334500.0,330000.0,2219.0
5,2019.12.11,329500.0,1500.0,333000.0,333000.0,329500.0,1233.0
9,2019.12.10,331000.0,1500.0,329000.0,331500.0,329000.0,1234.0
10,2019.12.09,329500.0,2500.0,330500.0,333000.0,329500.0,1499.0
11,2019.12.06,332000.0,500.0,332500.0,335000.0,331000.0,554.0
12,2019.12.05,331500.0,500.0,328500.0,335000.0,328500.0,919.0
13,2019.12.04,332000.0,0.0,330000.0,333000.0,329500.0,552.0
1,2019.12.03,332000.0,500.0,333000.0,333000.0,329000.0,1051.0
2,2019.12.02,332500.0,2000.0,333500.0,333500.0,330500.0,743.0
3,2019.11.29,330500.0,500.0,333500.0,334500.0,330000.0,863.0
4,2019.11.28,331000.0,3000.0,334000.0,335000.0,331000.0,1116.0
5,2019.11.27,334000.0,3000.0,338500.0,339000.0,334000.0,990.0
9,2019.11.26,337000.0,1000.0,338000.0,338500.0,335000.0,1337.0
10,2019.11.25,338000.0,3000.0,335000.0,338000.0,335000.0,1498.0
11,2019.11.22,335000.0,1500.0,337000.0,337000.0,333000.0,496.0
12,2019.11.21,333500.0,1500.0,338000.0,338000.0,333000.0,949.0
13,2019.11.20,335000.0,0.0,335000.0,337000.0,333000.0,835.0
1,2019.11.19,335000.0,2500.0,336000.0,337000.0,334000.0,1631.0
2,2019.11.18,337500.0,500.0,338000.0,338000.0,334500.0,774.0
3,2019.11.15,338000.0,1000.0,335000.0,339000.0,335000.0,1004.0
4,2019.11.14,337000.0,1500.0,335500.0,337500.0,335000.0,1189.0
5,2019.11.13,335500.0,500.0,335000.0,336500.0,334500.0,1023.0
9,2019.11.12,335000.0,1000.0,334000.0,336000.0,333000.0,947.0
10,2019.11.11,334000.0,1000.0,333000.0,336000.0,333000.0,755.0
11,2019.11.08,335000.0,2500.0,333000.0,336500.0,332500.0,843.0
12,2019.11.07,332500.0,2500.0,339000.0,339000.0,332500.0,1428.0
13,2019.11.06,335000.0,0.0,335500.0,338500.0,334500.0,1184.0
1,2019.11.05,335000.0,4000.0,336500.0,339000.0,335000.0,1108.0
2,2019.11.04,339000.0,11000.0,327000.0,340000.0,327000.0,3623.0
3,2019.11.01,328000.0,3500.0,330500.0,331500.0,326500.0,1652.0
4,2019.10.31,331500.0,1000.0,331500.0,333500.0,330500.0,673.0
