,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,800000.0,34000.0,772000.0,844000.0,772000.0,3811.0
2,2020.04.28,766000.0,19000.0,754000.0,773000.0,747000.0,2085.0
3,2020.04.27,747000.0,27000.0,720000.0,751000.0,720000.0,1360.0
4,2020.04.24,720000.0,10000.0,722000.0,727000.0,714000.0,1389.0
5,2020.04.23,730000.0,13000.0,721000.0,735000.0,718000.0,1353.0
9,2020.04.22,717000.0,10000.0,727000.0,727000.0,711000.0,2141.0
10,2020.04.21,727000.0,33000.0,751000.0,759000.0,723000.0,2702.0
11,2020.04.20,760000.0,4000.0,756000.0,773000.0,756000.0,1183.0
12,2020.04.17,756000.0,9000.0,750000.0,761000.0,750000.0,835.0
13,2020.04.16,747000.0,13000.0,760000.0,761000.0,747000.0,1619.0
1,2020.04.14,760000.0,19000.0,738000.0,769000.0,738000.0,1117.0
2,2020.04.13,741000.0,6000.0,736000.0,747000.0,735000.0,864.0
3,2020.04.10,747000.0,1000.0,746000.0,749000.0,727000.0,1179.0
4,2020.04.09,746000.0,23000.0,733000.0,746000.0,727000.0,2189.0
5,2020.04.08,723000.0,23000.0,712000.0,735000.0,679000.0,2382.0
9,2020.04.07,700000.0,48000.0,670000.0,700000.0,662000.0,2520.0
10,2020.04.06,652000.0,22000.0,637000.0,657000.0,630000.0,1924.0
11,2020.04.03,630000.0,10000.0,616000.0,630000.0,611000.0,1694.0
12,2020.04.02,620000.0,1000.0,613000.0,630000.0,601000.0,1491.0
13,2020.04.01,621000.0,8000.0,610000.0,636000.0,610000.0,2548.0
1,2020.03.31,629000.0,1000.0,631000.0,648000.0,623000.0,1519.0
2,2020.03.30,630000.0,5000.0,586000.0,630000.0,586000.0,1215.0
3,2020.03.27,625000.0,5000.0,641000.0,647000.0,610000.0,2113.0
4,2020.03.26,620000.0,11000.0,610000.0,651000.0,596000.0,3706.0
5,2020.03.25,609000.0,69000.0,575000.0,613000.0,559000.0,3526.0
9,2020.03.24,540000.0,34000.0,521000.0,541000.0,511000.0,2222.0
10,2020.03.23,506000.0,73000.0,538000.0,538000.0,505000.0,2480.0
11,2020.03.20,579000.0,83000.0,491000.0,579000.0,491000.0,3103.0
