,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,62000.0,500.0,62500.0,63500.0,62000.0,304485.0
2,2020.04.28,62500.0,200.0,61900.0,62600.0,61500.0,187027.0
3,2020.04.27,62300.0,300.0,61900.0,62800.0,61500.0,154252.0
4,2020.04.24,62000.0,1300.0,62200.0,63000.0,61700.0,207426.0
5,2020.04.23,63300.0,1200.0,61500.0,63300.0,61400.0,272617.0
9,2020.04.22,62100.0,200.0,61600.0,62100.0,60400.0,243042.0
10,2020.04.21,62300.0,1700.0,60600.0,62300.0,59600.0,322799.0
11,2020.04.20,60600.0,1500.0,61500.0,62300.0,60500.0,324727.0
12,2020.04.17,62100.0,600.0,60700.0,64300.0,60400.0,374265.0
13,2020.04.16,62700.0,2500.0,58100.0,62700.0,58000.0,594662.0
1,2020.04.14,60200.0,1500.0,59000.0,60700.0,58800.0,306136.0
2,2020.04.13,58700.0,1600.0,59700.0,60300.0,58700.0,236860.0
3,2020.04.10,60300.0,1400.0,61000.0,61200.0,59700.0,300840.0
4,2020.04.09,61700.0,2000.0,60400.0,61700.0,59700.0,431383.0
5,2020.04.08,59700.0,2000.0,60700.0,61900.0,59000.0,529172.0
9,2020.04.07,61700.0,600.0,60400.0,62500.0,59900.0,418532.0
10,2020.04.06,61100.0,5100.0,57300.0,61100.0,56800.0,283092.0
11,2020.04.03,56000.0,1400.0,54200.0,56400.0,54100.0,301142.0
12,2020.04.02,54600.0,900.0,55500.0,56600.0,53100.0,327448.0
13,2020.04.01,55500.0,3500.0,57900.0,58800.0,55500.0,354857.0
1,2020.03.31,59000.0,100.0,58600.0,61100.0,58500.0,414183.0
2,2020.03.30,58900.0,100.0,58800.0,59800.0,57500.0,414397.0
3,2020.03.27,58800.0,2500.0,59100.0,59500.0,56600.0,421212.0
4,2020.03.26,56300.0,2800.0,57800.0,59600.0,56300.0,418017.0
5,2020.03.25,59100.0,7400.0,52300.0,59500.0,49000.0,494572.0
9,2020.03.24,51700.0,5450.0,46500.0,53000.0,46350.0,412014.0
10,2020.03.23,46250.0,2250.0,46500.0,46650.0,44600.0,423348.0
11,2020.03.20,48500.0,500.0,49500.0,49900.0,47000.0,541226.0
12,2020.03.19,48000.0,2800.0,50800.0,51500.0,45250.0,544107.0
13,2020.03.18,50800.0,3800.0,54000.0,54800.0,50500.0,497779.0
1,2020.03.17,54600.0,3700.0,55500.0,57700.0,54100.0,430706.0
2,2020.03.16,58300.0,2500.0,60100.0,61900.0,58200.0,346457.0
3,2020.03.13,60800.0,1600.0,56500.0,62200.0,56500.0,625378.0
4,2020.03.12,62400.0,2900.0,66000.0,66100.0,61300.0,537896.0
5,2020.03.11,65300.0,1600.0,66000.0,67300.0,64900.0,280046.0
9,2020.03.10,66900.0,700.0,67900.0,67900.0,65800.0,334842.0
10,2020.03.09,66200.0,2200.0,66900.0,67200.0,65600.0,299170.0
11,2020.03.06,68400.0,1900.0,69500.0,69500.0,68100.0,227136.0
12,2020.03.05,70300.0,2200.0,68600.0,70400.0,68300.0,301420.0
13,2020.03.04,68100.0,200.0,67900.0,68600.0,67600.0,300070.0
1,2020.03.03,68300.0,500.0,69000.0,69600.0,67700.0,285943.0
2,2020.03.02,67800.0,300.0,68600.0,68700.0,67100.0,317622.0
3,2020.02.28,67500.0,2500.0,68300.0,69500.0,67000.0,859004.0
4,2020.02.27,70000.0,800.0,69700.0,71100.0,69500.0,324392.0
5,2020.02.26,70800.0,900.0,70200.0,71500.0,69600.0,488773.0
9,2020.02.25,71700.0,0.0,72500.0,72700.0,71000.0,354095.0
10,2020.02.24,71700.0,2600.0,73400.0,74000.0,71600.0,356831.0
11,2020.02.21,74300.0,1700.0,74600.0,75000.0,74200.0,237443.0
12,2020.02.20,76000.0,1100.0,75700.0,77200.0,75700.0,316471.0
13,2020.02.19,77100.0,600.0,79000.0,79000.0,76500.0,169918.0
1,2020.02.18,77700.0,900.0,76100.0,78000.0,75200.0,234514.0
2,2020.02.17,76800.0,100.0,77900.0,77900.0,76200.0,123430.0
3,2020.02.14,76900.0,2100.0,77600.0,78500.0,76200.0,354833.0
4,2020.02.13,79000.0,1100.0,79700.0,79800.0,78400.0,241388.0
5,2020.02.12,80100.0,4500.0,74800.0,80200.0,74800.0,576513.0
9,2020.02.11,75600.0,1400.0,74300.0,76000.0,74100.0,334005.0
