,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,13000.0,50.0,13050.0,13050.0,12750.0,368803.0
2,2020.04.28,12950.0,100.0,13150.0,13450.0,12800.0,800848.0
3,2020.04.27,12850.0,150.0,13100.0,13100.0,12650.0,560618.0
4,2020.04.24,12700.0,700.0,13250.0,13650.0,12450.0,1147168.0
5,2020.04.23,13400.0,1150.0,12450.0,13650.0,12250.0,1633341.0
9,2020.04.22,12250.0,100.0,12100.0,12400.0,12050.0,281353.0
10,2020.04.21,12350.0,250.0,12550.0,12800.0,11750.0,557471.0
11,2020.04.20,12600.0,200.0,12800.0,12900.0,12600.0,416353.0
12,2020.04.17,12800.0,50.0,12900.0,13250.0,12650.0,1017366.0
13,2020.04.16,12850.0,50.0,12900.0,12950.0,12550.0,318394.0
1,2020.04.14,12900.0,0.0,13050.0,13150.0,12700.0,520804.0
2,2020.04.13,12900.0,600.0,12400.0,13400.0,12250.0,1206288.0
3,2020.04.10,12300.0,400.0,12700.0,12750.0,12200.0,607412.0
4,2020.04.09,12700.0,50.0,12850.0,12950.0,12550.0,528302.0
5,2020.04.08,12750.0,200.0,13600.0,13750.0,12700.0,1466341.0
9,2020.04.07,12950.0,400.0,13100.0,13300.0,12550.0,1457847.0
10,2020.04.06,13350.0,1850.0,14050.0,14500.0,13100.0,5856612.0
11,2020.04.03,11500.0,100.0,11500.0,11750.0,11250.0,304109.0
12,2020.04.02,11600.0,250.0,11400.0,12000.0,10900.0,1013401.0
13,2020.04.01,11350.0,800.0,12650.0,12800.0,11150.0,966907.0
1,2020.03.31,12150.0,350.0,12050.0,12150.0,11400.0,907498.0
2,2020.03.30,11800.0,550.0,11200.0,11850.0,10850.0,614661.0
3,2020.03.27,11250.0,700.0,10950.0,12650.0,10600.0,2126795.0
4,2020.03.26,10550.0,50.0,10500.0,11150.0,10150.0,656513.0
5,2020.03.25,10500.0,1000.0,9850.0,11750.0,9530.0,1524829.0
9,2020.03.24,9500.0,950.0,8800.0,9500.0,8630.0,490646.0
10,2020.03.23,8550.0,850.0,8750.0,9000.0,8400.0,459287.0
11,2020.03.20,9400.0,800.0,8800.0,9400.0,8750.0,407062.0
12,2020.03.19,8600.0,1390.0,10100.0,10350.0,8400.0,663641.0
13,2020.03.18,9990.0,60.0,10200.0,10550.0,9970.0,445400.0
1,2020.03.17,10050.0,50.0,9380.0,10150.0,9370.0,367083.0
2,2020.03.16,10000.0,500.0,10700.0,11000.0,9980.0,444231.0
3,2020.03.13,10500.0,700.0,10000.0,10750.0,9750.0,644802.0
4,2020.03.12,11200.0,1000.0,12150.0,12150.0,10950.0,491087.0
5,2020.03.11,12200.0,200.0,12400.0,12750.0,11850.0,353214.0
9,2020.03.10,12400.0,100.0,11950.0,12400.0,11850.0,239584.0
10,2020.03.09,12300.0,150.0,12300.0,12550.0,12050.0,320373.0
11,2020.03.06,12450.0,150.0,12450.0,12800.0,12300.0,187613.0
12,2020.03.05,12600.0,200.0,12550.0,12650.0,12300.0,138944.0
13,2020.03.04,12400.0,150.0,12100.0,12450.0,12100.0,196078.0
1,2020.03.03,12250.0,250.0,12200.0,12600.0,12150.0,241796.0
2,2020.03.02,12000.0,100.0,11900.0,12050.0,11750.0,213305.0
3,2020.02.28,11900.0,450.0,12200.0,12300.0,11700.0,285922.0
4,2020.02.27,12350.0,150.0,12400.0,13100.0,12250.0,296638.0
5,2020.02.26,12500.0,100.0,12350.0,12750.0,12250.0,157792.0
9,2020.02.25,12600.0,200.0,12300.0,12800.0,12250.0,176805.0
10,2020.02.24,12400.0,550.0,12650.0,12700.0,12300.0,294238.0
11,2020.02.21,12950.0,450.0,13200.0,13350.0,12850.0,282333.0
12,2020.02.20,13400.0,200.0,13650.0,13750.0,13350.0,146132.0
13,2020.02.19,13600.0,100.0,13650.0,13650.0,13350.0,128965.0
1,2020.02.18,13500.0,200.0,13600.0,13600.0,13450.0,127145.0
2,2020.02.17,13700.0,50.0,13650.0,13750.0,13450.0,122893.0
3,2020.02.14,13650.0,100.0,13500.0,13750.0,13400.0,146310.0
4,2020.02.13,13550.0,250.0,13800.0,13950.0,13500.0,187067.0
5,2020.02.12,13800.0,0.0,13750.0,13900.0,13700.0,90053.0
9,2020.02.11,13800.0,50.0,13900.0,13950.0,13600.0,199457.0
10,2020.02.10,13850.0,100.0,13600.0,13900.0,13550.0,143407.0
11,2020.02.07,13750.0,500.0,14100.0,14150.0,13600.0,313280.0
12,2020.02.06,14250.0,600.0,13750.0,14300.0,13750.0,264159.0
13,2020.02.05,13650.0,50.0,13900.0,13900.0,13550.0,202326.0
1,2020.02.04,13700.0,100.0,13600.0,13850.0,13550.0,238969.0
2,2020.02.03,13600.0,0.0,13050.0,13600.0,13050.0,328577.0
3,2020.01.31,13600.0,450.0,14200.0,14300.0,13550.0,223464.0
4,2020.01.30,14050.0,300.0,14250.0,14450.0,13850.0,297211.0
5,2020.01.29,14350.0,50.0,14500.0,14600.0,14150.0,159228.0
9,2020.01.28,14400.0,100.0,14200.0,14650.0,14150.0,268186.0
10,2020.01.23,14500.0,350.0,14850.0,14900.0,14350.0,213047.0
11,2020.01.22,14850.0,100.0,14800.0,15050.0,14750.0,191201.0
12,2020.01.21,14750.0,0.0,14700.0,14850.0,14550.0,211799.0
13,2020.01.20,14750.0,0.0,14750.0,14800.0,14600.0,157817.0
1,2020.01.17,14750.0,50.0,14800.0,14850.0,14550.0,196722.0
2,2020.01.16,14700.0,100.0,14700.0,14800.0,14500.0,155476.0
3,2020.01.15,14600.0,0.0,14650.0,14800.0,14450.0,211051.0
4,2020.01.14,14600.0,400.0,15100.0,15100.0,14450.0,440504.0
5,2020.01.13,15000.0,300.0,15300.0,15400.0,14850.0,270245.0
9,2020.01.10,15300.0,0.0,15350.0,15350.0,14800.0,315604.0
10,2020.01.09,15300.0,150.0,15450.0,15550.0,15100.0,313171.0
11,2020.01.08,15150.0,650.0,15750.0,15800.0,14950.0,534034.0
12,2020.01.07,15800.0,100.0,15950.0,16050.0,15600.0,258184.0
13,2020.01.06,15900.0,250.0,15850.0,16100.0,15800.0,236197.0
1,2020.01.03,16150.0,250.0,16400.0,16450.0,15850.0,350217.0
2,2020.01.02,16400.0,200.0,16850.0,16850.0,16350.0,260123.0
3,2019.12.30,16600.0,150.0,16350.0,16700.0,16350.0,244186.0
4,2019.12.27,16450.0,1150.0,15250.0,16600.0,15250.0,816964.0
5,2019.12.26,15300.0,100.0,15550.0,15550.0,15200.0,316582.0
9,2019.12.24,15400.0,50.0,15500.0,15600.0,15300.0,201632.0
10,2019.12.23,15450.0,150.0,15200.0,15550.0,15200.0,214923.0
11,2019.12.20,15300.0,150.0,15500.0,15600.0,15150.0,198398.0
12,2019.12.19,15450.0,200.0,15700.0,15750.0,15450.0,161494.0
13,2019.12.18,15650.0,250.0,15350.0,15850.0,15300.0,284034.0
1,2019.12.17,15400.0,100.0,15600.0,15650.0,15400.0,144733.0
2,2019.12.16,15500.0,200.0,15300.0,15600.0,15100.0,238296.0
3,2019.12.13,15300.0,300.0,15450.0,15650.0,15200.0,266497.0
4,2019.12.12,15600.0,100.0,15800.0,15850.0,15500.0,208123.0
5,2019.12.11,15700.0,50.0,15650.0,15750.0,15400.0,209544.0
9,2019.12.10,15650.0,550.0,15100.0,15700.0,14950.0,401508.0
10,2019.12.09,15100.0,550.0,15650.0,15700.0,14750.0,493025.0
11,2019.12.06,15650.0,0.0,15550.0,15800.0,15500.0,179643.0
12,2019.12.05,15650.0,100.0,15850.0,15950.0,15550.0,190683.0
13,2019.12.04,15750.0,150.0,15500.0,15900.0,15450.0,224048.0
1,2019.12.03,15600.0,50.0,15400.0,15700.0,15200.0,234067.0
2,2019.12.02,15550.0,200.0,15700.0,15950.0,15550.0,201404.0
3,2019.11.29,15750.0,450.0,16100.0,16350.0,15650.0,346054.0
4,2019.11.28,16200.0,650.0,15700.0,16700.0,15450.0,786748.0
5,2019.11.27,15550.0,250.0,15850.0,15850.0,15250.0,198344.0
9,2019.11.26,15800.0,200.0,15650.0,16000.0,15500.0,295833.0
10,2019.11.25,15600.0,200.0,15500.0,15700.0,15350.0,200478.0
11,2019.11.22,15400.0,50.0,15350.0,15600.0,15100.0,309149.0
12,2019.11.21,15350.0,300.0,15700.0,15750.0,15200.0,258282.0
13,2019.11.20,15650.0,100.0,15500.0,15800.0,15350.0,290243.0
1,2019.11.19,15550.0,50.0,15650.0,15900.0,15300.0,322034.0
2,2019.11.18,15600.0,250.0,15450.0,15850.0,15300.0,345685.0
3,2019.11.15,15350.0,650.0,14650.0,15400.0,14450.0,503885.0
4,2019.11.14,14700.0,750.0,16000.0,16250.0,14600.0,1119241.0
