,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,321000.0,2000.0,319000.0,322000.0,316000.0,1316.0
2,2020.04.28,319000.0,500.0,320000.0,322000.0,315000.0,2244.0
3,2020.04.27,319500.0,4500.0,315000.0,322000.0,312500.0,2200.0
4,2020.04.24,315000.0,5000.0,320500.0,320500.0,313000.0,1662.0
5,2020.04.23,320000.0,3500.0,313000.0,320000.0,311500.0,2369.0
9,2020.04.22,316500.0,7000.0,323000.0,323000.0,307000.0,2184.0
10,2020.04.21,323500.0,8500.0,332000.0,334000.0,319500.0,2423.0
11,2020.04.20,332000.0,500.0,329000.0,337500.0,329000.0,1871.0
12,2020.04.17,332500.0,4000.0,325000.0,335000.0,325000.0,1511.0
13,2020.04.16,328500.0,1000.0,323500.0,328500.0,318500.0,1143.0
1,2020.04.14,327500.0,5000.0,320000.0,330000.0,318000.0,1102.0
2,2020.04.13,322500.0,3500.0,326000.0,328000.0,321000.0,1721.0
3,2020.04.10,326000.0,5000.0,318500.0,336000.0,317500.0,3270.0
4,2020.04.09,321000.0,3500.0,324500.0,324500.0,317500.0,1954.0
5,2020.04.08,317500.0,2000.0,319000.0,324500.0,315500.0,2132.0
9,2020.04.07,319500.0,1500.0,319500.0,322500.0,313500.0,4069.0
10,2020.04.06,318000.0,4500.0,317500.0,325000.0,311500.0,3378.0
11,2020.04.03,313500.0,2000.0,307000.0,317000.0,305000.0,2553.0
12,2020.04.02,315500.0,16500.0,299000.0,327000.0,293500.0,2437.0
13,2020.04.01,299000.0,5000.0,288000.0,305500.0,286000.0,2461.0
1,2020.03.31,294000.0,4500.0,288500.0,298000.0,288000.0,1525.0
2,2020.03.30,289500.0,3000.0,286500.0,292000.0,278500.0,1530.0
3,2020.03.27,286500.0,3000.0,289500.0,293000.0,280500.0,2410.0
4,2020.03.26,283500.0,0.0,282000.0,291500.0,278000.0,2141.0
5,2020.03.25,283500.0,18000.0,266500.0,284500.0,261500.0,3712.0
9,2020.03.24,265500.0,10500.0,254500.0,265500.0,253500.0,2497.0
10,2020.03.23,255000.0,14000.0,263000.0,265000.0,252500.0,2366.0
11,2020.03.20,269000.0,6000.0,276500.0,282500.0,265500.0,3333.0
12,2020.03.19,275000.0,32500.0,310500.0,313000.0,265500.0,2847.0
13,2020.03.18,307500.0,21000.0,322500.0,327500.0,307500.0,1787.0
1,2020.03.17,328500.0,21500.0,339500.0,345500.0,326500.0,2085.0
2,2020.03.16,350000.0,17000.0,352500.0,357500.0,342000.0,2175.0
3,2020.03.13,367000.0,8000.0,352000.0,367000.0,340000.0,2961.0
4,2020.03.12,375000.0,1500.0,383500.0,383500.0,361000.0,2412.0
5,2020.03.11,376500.0,8000.0,377000.0,386500.0,375500.0,2218.0
9,2020.03.10,384500.0,6500.0,382000.0,386000.0,375000.0,2310.0
10,2020.03.09,378000.0,0.0,379000.0,379000.0,359500.0,1706.0
11,2020.03.06,378000.0,5000.0,382500.0,384000.0,377500.0,1967.0
12,2020.03.05,383000.0,500.0,380500.0,386000.0,378500.0,1712.0
13,2020.03.04,383500.0,1000.0,384500.0,388000.0,376000.0,1549.0
1,2020.03.03,382500.0,1000.0,378500.0,385000.0,377500.0,2792.0
2,2020.03.02,381500.0,3000.0,381000.0,384500.0,376500.0,1468.0
3,2020.02.28,378500.0,6500.0,371500.0,378500.0,365000.0,4342.0
4,2020.02.27,372000.0,1000.0,372500.0,372500.0,365000.0,2657.0
5,2020.02.26,371000.0,4000.0,373500.0,378000.0,364000.0,3668.0
9,2020.02.25,375000.0,5500.0,375500.0,384000.0,371500.0,2881.0
10,2020.02.24,380500.0,6000.0,385000.0,390500.0,380000.0,1267.0
11,2020.02.21,386500.0,14500.0,400500.0,401000.0,386500.0,1748.0
12,2020.02.20,401000.0,5000.0,402500.0,406500.0,401000.0,991.0
13,2020.02.19,406000.0,3500.0,406500.0,407000.0,401500.0,997.0
1,2020.02.18,402500.0,2000.0,403500.0,404500.0,400500.0,761.0
2,2020.02.17,404500.0,0.0,404500.0,404500.0,403000.0,636.0
3,2020.02.14,404500.0,4000.0,408000.0,408000.0,402500.0,1284.0
4,2020.02.13,408500.0,6000.0,413000.0,417000.0,408000.0,1392.0
5,2020.02.12,414500.0,3500.0,412000.0,418000.0,411500.0,1407.0
9,2020.02.11,418000.0,2000.0,416000.0,422000.0,416000.0,734.0
10,2020.02.10,416000.0,3000.0,412000.0,417000.0,409000.0,599.0
11,2020.02.07,413000.0,2000.0,410500.0,419000.0,406000.0,1188.0
12,2020.02.06,415000.0,14000.0,401000.0,421000.0,401000.0,1863.0
13,2020.02.05,401000.0,4500.0,404500.0,405000.0,400000.0,1646.0
1,2020.02.04,405500.0,3500.0,407000.0,409000.0,405500.0,913.0
2,2020.02.03,409000.0,2000.0,413000.0,418000.0,405000.0,915.0
3,2020.01.31,411000.0,2500.0,410500.0,411000.0,406500.0,645.0
4,2020.01.30,408500.0,2000.0,407500.0,412000.0,407500.0,810.0
5,2020.01.29,410500.0,3000.0,413500.0,415000.0,407000.0,752.0
9,2020.01.28,413500.0,9500.0,422000.0,427500.0,412500.0,1040.0
10,2020.01.23,423000.0,1500.0,417500.0,425500.0,417000.0,918.0
11,2020.01.22,421500.0,9500.0,416500.0,425000.0,413500.0,1206.0
12,2020.01.21,412000.0,1000.0,411500.0,417000.0,411500.0,473.0
13,2020.01.20,413000.0,500.0,413500.0,416000.0,413000.0,556.0
1,2020.01.17,413500.0,3000.0,416000.0,418500.0,413500.0,752.0
2,2020.01.16,416500.0,4000.0,420000.0,420500.0,416000.0,615.0
3,2020.01.15,420500.0,2500.0,417000.0,420500.0,416500.0,395.0
