,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,21600.0,1850.0,19900.0,21650.0,19900.0,2368241.0
2,2020.04.28,19750.0,250.0,19850.0,20250.0,19500.0,982921.0
3,2020.04.27,19500.0,600.0,19000.0,19650.0,19000.0,909077.0
4,2020.04.24,18900.0,0.0,18800.0,19100.0,18550.0,764019.0
5,2020.04.23,18900.0,0.0,19250.0,19300.0,18900.0,603168.0
9,2020.04.22,18900.0,500.0,18850.0,19000.0,18350.0,1057311.0
10,2020.04.21,19400.0,450.0,19750.0,20000.0,19000.0,1041042.0
11,2020.04.20,19850.0,100.0,19800.0,20250.0,19700.0,1071452.0
12,2020.04.17,19750.0,650.0,19500.0,19950.0,19500.0,711856.0
13,2020.04.16,19100.0,650.0,19400.0,19400.0,18550.0,1010086.0
1,2020.04.14,19750.0,350.0,19550.0,20000.0,19550.0,797559.0
2,2020.04.13,19400.0,750.0,20350.0,20500.0,19350.0,1288052.0
3,2020.04.10,20150.0,1550.0,18700.0,20850.0,18650.0,3203954.0
4,2020.04.09,18600.0,750.0,18250.0,18650.0,18100.0,1214050.0
5,2020.04.08,17850.0,300.0,17900.0,18350.0,17700.0,913097.0
9,2020.04.07,18150.0,350.0,18500.0,18550.0,17650.0,1073948.0
10,2020.04.06,17800.0,600.0,17250.0,17800.0,17200.0,671823.0
11,2020.04.03,17200.0,0.0,17100.0,17500.0,16800.0,473273.0
12,2020.04.02,17200.0,300.0,16800.0,17300.0,16300.0,624891.0
13,2020.04.01,16900.0,1050.0,17650.0,17950.0,16900.0,877766.0
1,2020.03.31,17950.0,400.0,17950.0,18400.0,17500.0,921186.0
2,2020.03.30,17550.0,300.0,16950.0,17900.0,16750.0,804781.0
3,2020.03.27,17850.0,150.0,18600.0,18850.0,17050.0,883891.0
4,2020.03.26,17700.0,250.0,17950.0,18400.0,17300.0,1476462.0
5,2020.03.25,17450.0,2350.0,16100.0,17700.0,15900.0,1780108.0
9,2020.03.24,15100.0,1950.0,13600.0,15150.0,13300.0,1018706.0
10,2020.03.23,13150.0,550.0,12800.0,13750.0,12400.0,961766.0
11,2020.03.20,13700.0,400.0,13300.0,14000.0,12800.0,1724350.0
12,2020.03.19,13300.0,2550.0,15950.0,16350.0,13050.0,1972700.0
13,2020.03.18,15850.0,1400.0,17250.0,17450.0,15850.0,1349690.0
1,2020.03.17,17250.0,850.0,16900.0,17700.0,16650.0,997979.0
2,2020.03.16,18100.0,1000.0,19300.0,19650.0,18050.0,947994.0
3,2020.03.13,19100.0,1300.0,18300.0,19550.0,18000.0,1489380.0
4,2020.03.12,20400.0,1750.0,21900.0,22000.0,20250.0,1367404.0
5,2020.03.11,22150.0,900.0,23150.0,23400.0,22050.0,747786.0
9,2020.03.10,23050.0,0.0,22700.0,23450.0,22700.0,553995.0
10,2020.03.09,23050.0,1350.0,23700.0,23800.0,22950.0,556063.0
11,2020.03.06,24400.0,950.0,24950.0,24950.0,24300.0,439065.0
12,2020.03.05,25350.0,950.0,24650.0,25450.0,24500.0,489244.0
13,2020.03.04,24400.0,450.0,24000.0,24700.0,23900.0,463975.0
1,2020.03.03,23950.0,150.0,24400.0,24500.0,23850.0,433177.0
2,2020.03.02,23800.0,50.0,23900.0,24250.0,23500.0,464125.0
3,2020.02.28,23850.0,1150.0,24550.0,24600.0,23850.0,843962.0
4,2020.02.27,25000.0,200.0,25050.0,25450.0,24950.0,412175.0
5,2020.02.26,25200.0,300.0,25000.0,25550.0,24850.0,478158.0
9,2020.02.25,25500.0,50.0,25100.0,25800.0,25100.0,521684.0
10,2020.02.24,25450.0,1500.0,26250.0,26250.0,25450.0,713587.0
11,2020.02.21,26950.0,700.0,27650.0,27650.0,26900.0,551952.0
12,2020.02.20,27650.0,650.0,28450.0,28550.0,27600.0,509621.0
13,2020.02.19,28300.0,500.0,28850.0,29050.0,28250.0,365808.0
1,2020.02.18,28800.0,150.0,28850.0,29000.0,28400.0,237354.0
2,2020.02.17,28950.0,100.0,28750.0,29150.0,28700.0,228742.0
3,2020.02.14,29050.0,600.0,29650.0,29650.0,28850.0,425929.0
4,2020.02.13,29650.0,0.0,29700.0,30200.0,29500.0,462389.0
5,2020.02.12,29650.0,200.0,29250.0,29850.0,29250.0,349201.0
9,2020.02.11,29450.0,250.0,29700.0,29850.0,29400.0,309356.0
