,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,28900.0,450.0,28500.0,29100.0,28450.0,34728.0
2,2020.04.28,28450.0,350.0,28550.0,28900.0,28200.0,40807.0
3,2020.04.27,28800.0,1150.0,27650.0,28850.0,27550.0,33804.0
4,2020.04.24,27650.0,300.0,27850.0,28200.0,27450.0,42157.0
5,2020.04.23,27950.0,950.0,27000.0,28000.0,26950.0,32192.0
9,2020.04.22,27000.0,350.0,26650.0,27100.0,26350.0,33642.0
10,2020.04.21,27350.0,800.0,28400.0,28400.0,26800.0,62847.0
11,2020.04.20,28150.0,0.0,28100.0,28800.0,27900.0,42356.0
12,2020.04.17,28150.0,550.0,27750.0,28700.0,27750.0,38313.0
13,2020.04.16,27600.0,800.0,27850.0,28050.0,27300.0,51860.0
1,2020.04.14,28400.0,800.0,27700.0,28450.0,27600.0,27463.0
2,2020.04.13,27600.0,900.0,28000.0,28450.0,27600.0,40722.0
3,2020.04.10,28500.0,200.0,28300.0,28700.0,27650.0,34699.0
4,2020.04.09,28300.0,650.0,28000.0,28300.0,27800.0,45880.0
5,2020.04.08,27650.0,350.0,27650.0,28200.0,27300.0,44708.0
9,2020.04.07,28000.0,1000.0,27350.0,28000.0,27000.0,63357.0
10,2020.04.06,27000.0,1250.0,25600.0,27000.0,25600.0,53056.0
11,2020.04.03,25750.0,0.0,25850.0,25900.0,25150.0,44002.0
12,2020.04.02,25750.0,50.0,25450.0,26300.0,24700.0,46978.0
13,2020.04.01,25700.0,300.0,25500.0,26750.0,25400.0,73152.0
1,2020.03.31,26000.0,700.0,25400.0,26250.0,25400.0,41253.0
2,2020.03.30,25300.0,50.0,24800.0,25400.0,24250.0,31116.0
3,2020.03.27,25250.0,800.0,25400.0,25650.0,24600.0,46942.0
4,2020.03.26,24450.0,700.0,24850.0,25250.0,24300.0,73396.0
5,2020.03.25,25150.0,700.0,24500.0,25400.0,24250.0,79299.0
9,2020.03.24,24450.0,1450.0,23050.0,24450.0,22700.0,40210.0
10,2020.03.23,23000.0,3000.0,23500.0,24350.0,22600.0,48915.0
11,2020.03.20,26000.0,3500.0,22300.0,26000.0,22300.0,56794.0
12,2020.03.19,22500.0,3050.0,25750.0,26600.0,22500.0,72914.0
13,2020.03.18,25550.0,1100.0,26150.0,26800.0,25500.0,43595.0
1,2020.03.17,26650.0,900.0,24400.0,26700.0,24400.0,41953.0
2,2020.03.16,27550.0,150.0,27900.0,28300.0,26150.0,34205.0
3,2020.03.13,27400.0,1800.0,26350.0,28150.0,25750.0,48732.0
4,2020.03.12,29200.0,1600.0,30450.0,31100.0,28650.0,43279.0
5,2020.03.11,30800.0,400.0,31150.0,31400.0,30750.0,31588.0
9,2020.03.10,31200.0,750.0,32000.0,32050.0,31050.0,40837.0
10,2020.03.09,31950.0,350.0,31950.0,32150.0,31050.0,36112.0
11,2020.03.06,32300.0,600.0,33200.0,33250.0,32050.0,20470.0
12,2020.03.05,32900.0,300.0,32950.0,33350.0,32500.0,24522.0
13,2020.03.04,33200.0,800.0,32300.0,33400.0,32150.0,19146.0
1,2020.03.03,32400.0,50.0,32450.0,32950.0,32200.0,23768.0
2,2020.03.02,32350.0,600.0,32050.0,32350.0,31750.0,18009.0
3,2020.02.28,31750.0,850.0,32550.0,32550.0,31400.0,37746.0
4,2020.02.27,32600.0,50.0,32250.0,32750.0,32000.0,24104.0
5,2020.02.26,32650.0,0.0,32650.0,32850.0,32100.0,32988.0
9,2020.02.25,32650.0,100.0,32950.0,33000.0,32150.0,20020.0
10,2020.02.24,32550.0,950.0,32500.0,33450.0,32350.0,29854.0
11,2020.02.21,33500.0,350.0,32700.0,33650.0,32650.0,21671.0
12,2020.02.20,33150.0,1300.0,34100.0,34700.0,33150.0,19538.0
13,2020.02.19,34450.0,400.0,35100.0,35100.0,34050.0,14494.0
1,2020.02.18,34850.0,550.0,35400.0,35400.0,34750.0,18757.0
2,2020.02.17,35400.0,1100.0,34300.0,35450.0,34000.0,26225.0
3,2020.02.14,34300.0,200.0,34450.0,34750.0,34050.0,16216.0
