,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,69800.0,2100.0,72800.0,73700.0,69400.0,126213.0
2,2020.04.28,71900.0,1200.0,70700.0,72100.0,70600.0,51657.0
3,2020.04.27,70700.0,2300.0,68900.0,72000.0,68500.0,87069.0
4,2020.04.24,68400.0,200.0,68100.0,70000.0,67900.0,54931.0
5,2020.04.23,68600.0,2100.0,66600.0,68700.0,66100.0,60165.0
9,2020.04.22,66500.0,1200.0,64800.0,66500.0,63700.0,61945.0
10,2020.04.21,65300.0,800.0,66300.0,66700.0,64500.0,70999.0
11,2020.04.20,66100.0,700.0,66900.0,67300.0,66100.0,63928.0
12,2020.04.17,66800.0,100.0,66800.0,67500.0,66800.0,92028.0
13,2020.04.16,66700.0,100.0,66000.0,66800.0,65500.0,45248.0
1,2020.04.14,66800.0,800.0,66000.0,67400.0,66000.0,49984.0
2,2020.04.13,66000.0,1000.0,66700.0,67900.0,66000.0,57311.0
3,2020.04.10,67000.0,1500.0,65100.0,68100.0,65000.0,60548.0
4,2020.04.09,65500.0,300.0,65900.0,66400.0,65100.0,48991.0
5,2020.04.08,65200.0,500.0,65100.0,67300.0,64900.0,57130.0
9,2020.04.07,65700.0,1400.0,65900.0,66700.0,64500.0,68405.0
10,2020.04.06,64300.0,1400.0,63000.0,64700.0,63000.0,51432.0
11,2020.04.03,62900.0,600.0,61900.0,63000.0,61700.0,44494.0
12,2020.04.02,62300.0,2300.0,59900.0,63000.0,59500.0,61239.0
13,2020.04.01,60000.0,1100.0,60800.0,62500.0,59100.0,53044.0
1,2020.03.31,61100.0,200.0,61600.0,62500.0,61000.0,70577.0
2,2020.03.30,61300.0,1100.0,58500.0,61400.0,58000.0,59365.0
3,2020.03.27,60200.0,400.0,62600.0,62600.0,59000.0,84607.0
4,2020.03.26,59800.0,600.0,60800.0,62200.0,59100.0,97513.0
5,2020.03.25,60400.0,5400.0,58500.0,60500.0,55100.0,124865.0
9,2020.03.24,55000.0,3800.0,52400.0,55000.0,51500.0,108459.0
10,2020.03.23,51200.0,5900.0,51600.0,53800.0,51000.0,116781.0
11,2020.03.20,57100.0,7350.0,50000.0,57100.0,48800.0,230722.0
12,2020.03.19,49750.0,9850.0,60100.0,61100.0,49600.0,222224.0
13,2020.03.18,59600.0,5300.0,65000.0,65100.0,59200.0,115775.0
1,2020.03.17,64900.0,400.0,62500.0,66000.0,62300.0,69264.0
2,2020.03.16,65300.0,600.0,66000.0,67500.0,64500.0,69527.0
3,2020.03.13,65900.0,100.0,62000.0,67900.0,60400.0,165324.0
4,2020.03.12,65800.0,2000.0,67600.0,67900.0,65000.0,98465.0
5,2020.03.11,67800.0,1600.0,69000.0,69800.0,67200.0,69358.0
9,2020.03.10,69400.0,600.0,69000.0,70200.0,67400.0,54085.0
10,2020.03.09,70000.0,800.0,70200.0,70300.0,69100.0,53054.0
11,2020.03.06,70800.0,900.0,71200.0,72100.0,70700.0,48474.0
12,2020.03.05,71700.0,1200.0,70600.0,72000.0,70100.0,44946.0
13,2020.03.04,70500.0,1600.0,67800.0,71700.0,67700.0,53386.0
1,2020.03.03,68900.0,0.0,69900.0,70100.0,68400.0,60360.0
2,2020.03.02,68900.0,400.0,69000.0,69300.0,66700.0,92339.0
3,2020.02.28,69300.0,1300.0,69200.0,70300.0,68900.0,57931.0
4,2020.02.27,70600.0,200.0,70200.0,71400.0,70000.0,34855.0
5,2020.02.26,70400.0,100.0,70200.0,70800.0,69400.0,36273.0
9,2020.02.25,70300.0,1200.0,68800.0,70600.0,68400.0,50200.0
10,2020.02.24,69100.0,2100.0,69900.0,70400.0,69000.0,65648.0
11,2020.02.21,71200.0,1400.0,72600.0,72600.0,71000.0,47119.0
12,2020.02.20,72600.0,1500.0,74200.0,74700.0,72400.0,48544.0
13,2020.02.19,74100.0,1000.0,75500.0,75700.0,74000.0,34907.0
1,2020.02.18,75100.0,300.0,74900.0,75600.0,74400.0,34555.0
2,2020.02.17,75400.0,500.0,74900.0,75900.0,74700.0,43653.0
3,2020.02.14,74900.0,500.0,74600.0,75500.0,74600.0,29544.0
4,2020.02.13,75400.0,100.0,75100.0,75900.0,74500.0,53971.0
5,2020.02.12,75300.0,100.0,75000.0,75700.0,74800.0,42981.0
9,2020.02.11,75400.0,200.0,75400.0,75900.0,75000.0,39931.0
10,2020.02.10,75200.0,400.0,74000.0,75900.0,73900.0,50783.0
11,2020.02.07,74800.0,500.0,74300.0,75400.0,73600.0,71137.0
12,2020.02.06,74300.0,4400.0,70300.0,75000.0,70300.0,146283.0
13,2020.02.05,69900.0,300.0,70300.0,70400.0,69700.0,73454.0
1,2020.02.04,70200.0,100.0,70100.0,70700.0,70100.0,41915.0
2,2020.02.03,70100.0,1100.0,70100.0,71100.0,69700.0,73430.0
3,2020.01.31,71200.0,600.0,72000.0,72100.0,71100.0,37485.0
4,2020.01.30,71800.0,0.0,71700.0,72800.0,71500.0,34630.0
5,2020.01.29,71800.0,700.0,71300.0,72400.0,71000.0,34792.0
9,2020.01.28,71100.0,1700.0,70000.0,72500.0,70000.0,64541.0
10,2020.01.23,72800.0,700.0,73300.0,73700.0,72700.0,45140.0
11,2020.01.22,73500.0,200.0,74400.0,74400.0,73300.0,38507.0
12,2020.01.21,73700.0,400.0,73000.0,74500.0,73000.0,52945.0
13,2020.01.20,73300.0,400.0,73600.0,74100.0,73100.0,43188.0
1,2020.01.17,73700.0,100.0,73600.0,74000.0,73500.0,28755.0
2,2020.01.16,73600.0,300.0,73200.0,73600.0,72900.0,36985.0
3,2020.01.15,73300.0,500.0,73600.0,74100.0,73200.0,46983.0
4,2020.01.14,73800.0,400.0,74200.0,74300.0,73500.0,51415.0
5,2020.01.13,74200.0,200.0,74400.0,74500.0,73800.0,48710.0
9,2020.01.10,74400.0,100.0,74000.0,74400.0,73100.0,56274.0
10,2020.01.09,74300.0,300.0,74700.0,75000.0,73900.0,56138.0
11,2020.01.08,74000.0,2400.0,75000.0,75400.0,72700.0,112731.0
12,2020.01.07,76400.0,700.0,76300.0,76700.0,75300.0,55893.0
13,2020.01.06,75700.0,500.0,75200.0,77000.0,75200.0,72702.0
1,2020.01.03,76200.0,100.0,76400.0,77300.0,75900.0,95571.0
2,2020.01.02,76300.0,2800.0,79100.0,79100.0,75900.0,177130.0
3,2019.12.30,79100.0,500.0,79700.0,79900.0,78800.0,101829.0
4,2019.12.27,79600.0,4700.0,80100.0,80300.0,78600.0,299642.0
5,2019.12.26,84300.0,500.0,84200.0,85000.0,83900.0,191279.0
9,2019.12.24,83800.0,1200.0,82900.0,83900.0,82800.0,123675.0
10,2019.12.23,82600.0,1000.0,81600.0,82700.0,81600.0,87001.0
11,2019.12.20,81600.0,300.0,81500.0,82000.0,81400.0,69441.0
12,2019.12.19,81900.0,600.0,81000.0,81900.0,81000.0,48650.0
13,2019.12.18,81300.0,600.0,81900.0,82100.0,81100.0,46423.0
1,2019.12.17,81900.0,0.0,82300.0,82400.0,81500.0,53732.0
2,2019.12.16,81900.0,200.0,82300.0,82500.0,81700.0,62084.0
3,2019.12.13,81700.0,100.0,82300.0,82800.0,81400.0,59800.0
4,2019.12.12,81600.0,100.0,81700.0,82500.0,81200.0,60682.0
5,2019.12.11,81700.0,2000.0,79900.0,81900.0,79400.0,64934.0
9,2019.12.10,79700.0,1200.0,78500.0,79900.0,78400.0,37699.0
10,2019.12.09,78500.0,800.0,79800.0,79800.0,78500.0,42731.0
11,2019.12.06,79300.0,400.0,79800.0,80100.0,79100.0,50734.0
12,2019.12.05,79700.0,300.0,79400.0,80500.0,79000.0,52201.0
13,2019.12.04,79400.0,100.0,79000.0,79400.0,78500.0,59415.0
1,2019.12.03,79500.0,500.0,79600.0,79800.0,79100.0,48062.0
2,2019.12.02,80000.0,600.0,79400.0,80000.0,79000.0,29769.0
3,2019.11.29,79400.0,100.0,80000.0,80100.0,79200.0,51555.0
4,2019.11.28,79500.0,0.0,79100.0,80100.0,79000.0,34081.0
