,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,40100.0,2800.0,38600.0,46650.0,38600.0,20041351.0
2,2020.04.28,37300.0,8600.0,29400.0,37300.0,28800.0,6209735.0
3,2020.04.27,28700.0,2200.0,26600.0,29300.0,26600.0,399661.0
4,2020.04.24,26500.0,950.0,27450.0,27450.0,26500.0,167132.0
5,2020.04.23,27450.0,1050.0,26500.0,27500.0,26400.0,194049.0
9,2020.04.22,26400.0,200.0,25950.0,26400.0,25500.0,225607.0
10,2020.04.21,26600.0,950.0,27350.0,27550.0,25900.0,253096.0
11,2020.04.20,27550.0,100.0,27450.0,28050.0,27100.0,234617.0
12,2020.04.17,27450.0,900.0,26950.0,27650.0,26650.0,219659.0
13,2020.04.16,26550.0,250.0,26500.0,27050.0,26000.0,208764.0
1,2020.04.14,26800.0,950.0,26100.0,27050.0,25900.0,211649.0
2,2020.04.13,25850.0,750.0,26500.0,26600.0,25850.0,192433.0
3,2020.04.10,26600.0,300.0,26050.0,26750.0,25950.0,222226.0
4,2020.04.09,26300.0,500.0,26500.0,26900.0,25900.0,268691.0
5,2020.04.08,25800.0,600.0,25150.0,27300.0,24750.0,386025.0
9,2020.04.07,25200.0,650.0,25100.0,25450.0,24750.0,343802.0
10,2020.04.06,24550.0,600.0,23950.0,24600.0,23750.0,234225.0
11,2020.04.03,23950.0,50.0,24050.0,24150.0,23400.0,119093.0
12,2020.04.02,24000.0,850.0,23150.0,24100.0,22700.0,175291.0
13,2020.04.01,23150.0,850.0,23750.0,24150.0,23150.0,265707.0
1,2020.03.31,24000.0,250.0,24150.0,24550.0,23450.0,314619.0
2,2020.03.30,23750.0,500.0,23750.0,24150.0,22850.0,288176.0
3,2020.03.27,24250.0,300.0,24900.0,25250.0,23550.0,299241.0
4,2020.03.26,23950.0,250.0,24300.0,25200.0,23800.0,316777.0
5,2020.03.25,24200.0,2000.0,22900.0,24500.0,22600.0,359348.0
9,2020.03.24,22200.0,1100.0,21700.0,22200.0,21050.0,288322.0
10,2020.03.23,21100.0,300.0,20100.0,21750.0,20050.0,210343.0
11,2020.03.20,21400.0,1050.0,20050.0,21850.0,20050.0,338433.0
12,2020.03.19,20350.0,2050.0,22550.0,23000.0,20100.0,297873.0
13,2020.03.18,22400.0,1250.0,23750.0,24250.0,22150.0,238157.0
1,2020.03.17,23650.0,1250.0,23400.0,24750.0,23400.0,258102.0
2,2020.03.16,24900.0,750.0,25800.0,26100.0,24700.0,215890.0
3,2020.03.13,25650.0,1500.0,25000.0,26150.0,24350.0,469101.0
4,2020.03.12,27150.0,1900.0,28500.0,28950.0,26800.0,310050.0
5,2020.03.11,29050.0,150.0,29200.0,29700.0,28700.0,174929.0
9,2020.03.10,29200.0,100.0,28550.0,29650.0,28550.0,161905.0
10,2020.03.09,29100.0,1000.0,29350.0,29650.0,29000.0,138147.0
11,2020.03.06,30100.0,850.0,30800.0,30800.0,29900.0,159051.0
12,2020.03.05,30950.0,1100.0,30000.0,31100.0,29900.0,152393.0
13,2020.03.04,29850.0,250.0,29250.0,31550.0,29200.0,168848.0
1,2020.03.03,29600.0,600.0,29400.0,30000.0,29350.0,138666.0
2,2020.03.02,29000.0,50.0,28600.0,29300.0,28550.0,156544.0
3,2020.02.28,29050.0,150.0,29050.0,29100.0,28200.0,331505.0
4,2020.02.27,29200.0,50.0,29300.0,29700.0,29150.0,143869.0
5,2020.02.26,29250.0,350.0,29250.0,29700.0,29200.0,182480.0
9,2020.02.25,29600.0,250.0,29150.0,30200.0,29150.0,250326.0
10,2020.02.24,29850.0,1200.0,30350.0,30400.0,29750.0,247129.0
11,2020.02.21,31050.0,1000.0,31650.0,32000.0,31050.0,197210.0
12,2020.02.20,32050.0,450.0,33000.0,33500.0,32000.0,277191.0
13,2020.02.19,32500.0,800.0,33500.0,33500.0,32500.0,158798.0
1,2020.02.18,33300.0,550.0,33800.0,33800.0,32650.0,251964.0
2,2020.02.17,33850.0,250.0,33700.0,34450.0,33700.0,135408.0
3,2020.02.14,34100.0,900.0,34650.0,34900.0,34000.0,289250.0
4,2020.02.13,35000.0,0.0,35050.0,35600.0,34950.0,177711.0
5,2020.02.12,35000.0,0.0,34850.0,35300.0,34650.0,137479.0
9,2020.02.11,35000.0,800.0,34500.0,35100.0,34100.0,138260.0
10,2020.02.10,34200.0,450.0,34500.0,34550.0,33850.0,137224.0
11,2020.02.07,34650.0,500.0,34850.0,35100.0,34500.0,94270.0
12,2020.02.06,35150.0,1200.0,34100.0,35200.0,34050.0,193437.0
