,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,63600.0,200.0,63600.0,63900.0,62600.0,59336.0
2,2020.04.28,63400.0,500.0,65600.0,65600.0,62100.0,98901.0
3,2020.04.27,63900.0,4300.0,61000.0,63900.0,60200.0,135449.0
4,2020.04.24,59600.0,2400.0,57300.0,60000.0,56800.0,112977.0
5,2020.04.23,57200.0,1500.0,56000.0,57200.0,55900.0,57529.0
9,2020.04.22,55700.0,200.0,55200.0,56200.0,54700.0,38400.0
10,2020.04.21,55900.0,400.0,55500.0,56000.0,53100.0,88194.0
11,2020.04.20,55500.0,1300.0,54000.0,56800.0,54000.0,91425.0
12,2020.04.17,54200.0,1000.0,53400.0,54700.0,53200.0,59016.0
13,2020.04.16,53200.0,200.0,53100.0,53700.0,52000.0,52003.0
1,2020.04.14,53400.0,300.0,52700.0,53700.0,52700.0,39012.0
2,2020.04.13,53100.0,800.0,53500.0,53600.0,53000.0,36777.0
3,2020.04.10,53900.0,300.0,54200.0,54300.0,52900.0,57098.0
4,2020.04.09,54200.0,600.0,54100.0,54300.0,53600.0,74032.0
5,2020.04.08,53600.0,500.0,53600.0,54600.0,53400.0,72166.0
9,2020.04.07,54100.0,100.0,54500.0,55100.0,53500.0,115372.0
10,2020.04.06,54200.0,1800.0,52600.0,55000.0,51600.0,180831.0
11,2020.04.03,52400.0,4600.0,56000.0,56300.0,51000.0,265989.0
12,2020.04.02,57000.0,5600.0,74000.0,80500.0,55000.0,1365639.0
13,2020.04.01,62600.0,14400.0,62600.0,62600.0,62600.0,102875.0
1,2020.03.31,48200.0,3600.0,44700.0,48750.0,44700.0,62054.0
2,2020.03.30,44600.0,1000.0,43050.0,45000.0,41850.0,30574.0
3,2020.03.27,43600.0,1500.0,44200.0,44700.0,42600.0,41462.0
4,2020.03.26,42100.0,1150.0,40950.0,43400.0,40900.0,50042.0
5,2020.03.25,40950.0,3250.0,38200.0,40950.0,37950.0,62824.0
9,2020.03.24,37700.0,1700.0,37000.0,37950.0,36250.0,52318.0
10,2020.03.23,36000.0,3000.0,36000.0,36800.0,35050.0,52682.0
11,2020.03.20,39000.0,3000.0,35100.0,39000.0,35100.0,89387.0
12,2020.03.19,36000.0,7000.0,42600.0,43400.0,35500.0,67377.0
13,2020.03.18,43000.0,50.0,42300.0,43750.0,42250.0,39075.0
1,2020.03.17,42950.0,3100.0,44200.0,45350.0,42500.0,50110.0
2,2020.03.16,46050.0,1250.0,47000.0,48900.0,46050.0,39757.0
3,2020.03.13,47300.0,4000.0,46000.0,49850.0,46000.0,55829.0
4,2020.03.12,51300.0,1200.0,53300.0,53300.0,49500.0,37598.0
5,2020.03.11,52500.0,300.0,52500.0,53500.0,52500.0,21517.0
9,2020.03.10,52800.0,600.0,53300.0,53400.0,52400.0,47741.0
10,2020.03.09,53400.0,0.0,53000.0,53400.0,52400.0,18232.0
11,2020.03.06,53400.0,600.0,53900.0,53900.0,52900.0,17669.0
12,2020.03.05,54000.0,1000.0,53100.0,54100.0,52600.0,19414.0
13,2020.03.04,53000.0,200.0,53600.0,53600.0,52900.0,20715.0
1,2020.03.03,53200.0,600.0,53900.0,54400.0,52800.0,20521.0
2,2020.03.02,53800.0,100.0,54300.0,54400.0,53300.0,19712.0
3,2020.02.28,53700.0,0.0,53600.0,53800.0,52700.0,30044.0
4,2020.02.27,53700.0,700.0,52300.0,53700.0,52300.0,17275.0
5,2020.02.26,53000.0,500.0,52700.0,53000.0,51700.0,20918.0
9,2020.02.25,52500.0,0.0,53000.0,53200.0,52200.0,27882.0
10,2020.02.24,52500.0,700.0,52500.0,54400.0,52500.0,24715.0
11,2020.02.21,53200.0,1500.0,54300.0,54500.0,53200.0,26050.0
12,2020.02.20,54700.0,800.0,55500.0,55800.0,54600.0,15215.0
13,2020.02.19,55500.0,300.0,55400.0,56000.0,55000.0,15379.0
1,2020.02.18,55200.0,600.0,55500.0,55900.0,55100.0,8814.0
2,2020.02.17,55800.0,600.0,55200.0,55800.0,55000.0,10369.0
