,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,109000.0,1000.0,109000.0,110000.0,106500.0,55478.0
2,2020.04.28,108000.0,2500.0,107000.0,109500.0,104000.0,78991.0
3,2020.04.27,105500.0,5000.0,101500.0,105500.0,101000.0,45073.0
4,2020.04.24,100500.0,0.0,99700.0,102500.0,98700.0,30239.0
5,2020.04.23,100500.0,2100.0,98400.0,101000.0,98400.0,44482.0
9,2020.04.22,98400.0,100.0,97400.0,99000.0,95600.0,32686.0
10,2020.04.21,98300.0,500.0,98800.0,99400.0,95000.0,37777.0
11,2020.04.20,98800.0,900.0,99900.0,100500.0,98200.0,37234.0
12,2020.04.17,99700.0,800.0,99000.0,101000.0,98600.0,58280.0
13,2020.04.16,98900.0,100.0,98200.0,98900.0,96200.0,39155.0
1,2020.04.14,99000.0,400.0,99000.0,99700.0,98500.0,41057.0
2,2020.04.13,98600.0,3900.0,102000.0,102000.0,98600.0,37726.0
3,2020.04.10,102500.0,3500.0,99000.0,102500.0,97800.0,35041.0
4,2020.04.09,99000.0,400.0,99100.0,100500.0,97800.0,41569.0
5,2020.04.08,98600.0,900.0,99600.0,101000.0,96900.0,53588.0
9,2020.04.07,99500.0,8300.0,93200.0,101000.0,92200.0,80836.0
10,2020.04.06,91200.0,2600.0,89300.0,92500.0,88900.0,68620.0
11,2020.04.03,88600.0,1000.0,87600.0,89300.0,86400.0,43546.0
12,2020.04.02,87600.0,0.0,87600.0,88800.0,85400.0,35828.0
13,2020.04.01,87600.0,2600.0,84100.0,89500.0,84100.0,55546.0
1,2020.03.31,85000.0,800.0,86000.0,86200.0,83300.0,46897.0
2,2020.03.30,84200.0,2600.0,85100.0,86400.0,83100.0,39495.0
3,2020.03.27,86800.0,1200.0,89400.0,90700.0,85700.0,57163.0
4,2020.03.26,88000.0,1000.0,89000.0,89400.0,87600.0,40030.0
5,2020.03.25,89000.0,500.0,89000.0,90500.0,87800.0,41762.0
9,2020.03.24,88500.0,1300.0,87000.0,89900.0,86000.0,22800.0
10,2020.03.23,87200.0,7300.0,85200.0,90000.0,82100.0,18872.0
11,2020.03.20,94500.0,13500.0,82000.0,94500.0,80000.0,19007.0
12,2020.03.19,81000.0,9000.0,90800.0,93500.0,78900.0,37778.0
13,2020.03.18,90000.0,1700.0,90100.0,91700.0,87900.0,16351.0
1,2020.03.17,91700.0,3400.0,90300.0,93400.0,88500.0,17750.0
2,2020.03.16,95100.0,400.0,96000.0,98500.0,92800.0,14794.0
3,2020.03.13,95500.0,3000.0,87500.0,95700.0,85900.0,26964.0
4,2020.03.12,98500.0,4000.0,102000.0,103000.0,98000.0,22055.0
5,2020.03.11,102500.0,3500.0,103000.0,106000.0,101500.0,14461.0
9,2020.03.10,106000.0,2500.0,107000.0,108000.0,105000.0,14499.0
10,2020.03.09,108500.0,1500.0,108000.0,109000.0,105500.0,15474.0
11,2020.03.06,110000.0,3500.0,112500.0,113000.0,109000.0,15469.0
12,2020.03.05,113500.0,2000.0,111500.0,114500.0,110500.0,14577.0
13,2020.03.04,111500.0,1000.0,114500.0,114500.0,110500.0,22514.0
1,2020.03.03,112500.0,1000.0,114000.0,118500.0,112000.0,10532.0
2,2020.03.02,113500.0,1000.0,113000.0,114000.0,110500.0,9462.0
3,2020.02.28,112500.0,2000.0,113500.0,114500.0,110500.0,12602.0
4,2020.02.27,114500.0,2000.0,116500.0,116500.0,114000.0,13001.0
5,2020.02.26,116500.0,0.0,116500.0,121000.0,115500.0,10271.0
9,2020.02.25,116500.0,500.0,116000.0,118000.0,115000.0,16247.0
10,2020.02.24,116000.0,3000.0,117000.0,120000.0,115500.0,15940.0
11,2020.02.21,119000.0,3000.0,121500.0,122000.0,119000.0,12991.0
12,2020.02.20,122000.0,1000.0,123000.0,124500.0,120500.0,14437.0
13,2020.02.19,123000.0,2000.0,126500.0,126500.0,123000.0,6494.0
1,2020.02.18,125000.0,1500.0,122500.0,125000.0,122000.0,11682.0
2,2020.02.17,123500.0,1500.0,125000.0,125000.0,122500.0,16657.0
3,2020.02.14,125000.0,1500.0,127500.0,127500.0,124500.0,12960.0
4,2020.02.13,126500.0,500.0,125000.0,128000.0,124000.0,24094.0
5,2020.02.12,126000.0,1000.0,124000.0,126000.0,124000.0,19205.0
9,2020.02.11,125000.0,1000.0,124000.0,125500.0,123000.0,19544.0
10,2020.02.10,124000.0,0.0,124000.0,125000.0,122500.0,7209.0
11,2020.02.07,124000.0,2000.0,126000.0,127000.0,123500.0,9640.0
12,2020.02.06,126000.0,2500.0,123500.0,127000.0,123500.0,9490.0
13,2020.02.05,123500.0,0.0,123500.0,124000.0,122500.0,9535.0
1,2020.02.04,123500.0,500.0,123500.0,126000.0,123000.0,14407.0
2,2020.02.03,124000.0,0.0,121500.0,126000.0,120500.0,11324.0
3,2020.01.31,124000.0,1500.0,122500.0,127000.0,122500.0,15362.0
4,2020.01.30,122500.0,2000.0,123500.0,125500.0,122000.0,15252.0
5,2020.01.29,124500.0,500.0,126000.0,126000.0,123000.0,8353.0
9,2020.01.28,124000.0,7500.0,130500.0,131000.0,124000.0,26963.0
10,2020.01.23,131500.0,1000.0,132500.0,132500.0,131000.0,11229.0
11,2020.01.22,132500.0,0.0,133500.0,133500.0,131000.0,10998.0
12,2020.01.21,132500.0,1000.0,132000.0,133500.0,131500.0,12315.0
13,2020.01.20,131500.0,500.0,135000.0,145500.0,131000.0,69203.0
1,2020.01.17,132000.0,1000.0,133000.0,133500.0,131000.0,14005.0
2,2020.01.16,133000.0,1500.0,134500.0,134500.0,132000.0,11083.0
3,2020.01.15,134500.0,500.0,134000.0,135000.0,132500.0,10011.0
4,2020.01.14,134000.0,2000.0,131500.0,134500.0,131500.0,7941.0
5,2020.01.13,132000.0,1500.0,130500.0,133500.0,130000.0,11391.0
9,2020.01.10,130500.0,2000.0,132500.0,132500.0,130000.0,19277.0
10,2020.01.09,132500.0,0.0,132000.0,134500.0,131500.0,13529.0
11,2020.01.08,132500.0,3500.0,134500.0,134500.0,132000.0,13021.0
12,2020.01.07,136000.0,1000.0,135500.0,137500.0,134000.0,11752.0
13,2020.01.06,135000.0,2000.0,135500.0,137500.0,133000.0,14574.0
1,2020.01.03,137000.0,500.0,138000.0,138500.0,136500.0,15985.0
2,2020.01.02,136500.0,3500.0,139500.0,139500.0,135500.0,14858.0
3,2019.12.30,140000.0,1000.0,140000.0,141000.0,138000.0,12050.0
4,2019.12.27,139000.0,5000.0,140000.0,142000.0,138500.0,19257.0
5,2019.12.26,144000.0,3000.0,141500.0,144500.0,140500.0,9740.0
9,2019.12.24,141000.0,500.0,140000.0,142000.0,139500.0,6111.0
10,2019.12.23,140500.0,500.0,141000.0,142500.0,140000.0,5357.0
11,2019.12.20,141000.0,500.0,141000.0,142500.0,139500.0,4972.0
12,2019.12.19,140500.0,2500.0,143000.0,143000.0,139500.0,4896.0
13,2019.12.18,143000.0,1000.0,141500.0,143500.0,140500.0,10580.0
1,2019.12.17,142000.0,500.0,140500.0,144500.0,139000.0,16131.0
2,2019.12.16,142500.0,2000.0,140500.0,142500.0,140500.0,10335.0
3,2019.12.13,140500.0,3000.0,137000.0,141500.0,136000.0,21156.0
4,2019.12.12,137500.0,2000.0,135500.0,137500.0,135000.0,22999.0
5,2019.12.11,135500.0,3000.0,132500.0,137000.0,131500.0,14023.0
9,2019.12.10,132500.0,2500.0,129500.0,133500.0,129500.0,8625.0
10,2019.12.09,130000.0,2500.0,131500.0,133000.0,129000.0,10411.0
11,2019.12.06,132500.0,0.0,132500.0,133500.0,131500.0,3889.0
12,2019.12.05,132500.0,2000.0,130500.0,133000.0,130500.0,6119.0
13,2019.12.04,130500.0,500.0,130500.0,133000.0,130500.0,4244.0
1,2019.12.03,131000.0,2500.0,133000.0,133000.0,130000.0,6571.0
2,2019.12.02,133500.0,1000.0,133500.0,135000.0,132000.0,8906.0
3,2019.11.29,134500.0,2000.0,133500.0,135000.0,132500.0,11145.0
4,2019.11.28,132500.0,500.0,131000.0,133000.0,131000.0,6177.0
5,2019.11.27,132000.0,3500.0,135500.0,136000.0,132000.0,19078.0
9,2019.11.26,135500.0,1000.0,136000.0,136500.0,134000.0,15387.0
10,2019.11.25,136500.0,3500.0,133500.0,137000.0,133000.0,11143.0
11,2019.11.22,133000.0,500.0,133500.0,135000.0,133000.0,7348.0
12,2019.11.21,133500.0,1500.0,134000.0,136000.0,132000.0,6973.0
13,2019.11.20,135000.0,2000.0,136000.0,136500.0,135000.0,6946.0
1,2019.11.19,137000.0,0.0,135500.0,138000.0,135000.0,9246.0
2,2019.11.18,137000.0,1000.0,137500.0,137500.0,135500.0,6755.0
3,2019.11.15,136000.0,1000.0,133500.0,137000.0,133500.0,8670.0
4,2019.11.14,135000.0,500.0,135500.0,137000.0,133000.0,10128.0
5,2019.11.13,135500.0,1500.0,134500.0,137000.0,133000.0,10999.0
9,2019.11.12,134000.0,500.0,136000.0,136000.0,133000.0,12400.0
10,2019.11.11,134500.0,2000.0,136000.0,137500.0,134500.0,11185.0
11,2019.11.08,136500.0,2000.0,139500.0,139500.0,136000.0,14444.0
12,2019.11.07,138500.0,500.0,138000.0,139500.0,137500.0,10077.0
13,2019.11.06,138000.0,0.0,138500.0,139500.0,136500.0,10651.0
1,2019.11.05,138000.0,0.0,139000.0,140000.0,137500.0,10173.0
2,2019.11.04,138000.0,2000.0,136500.0,140000.0,136000.0,8584.0
3,2019.11.01,136000.0,1000.0,137500.0,139000.0,135500.0,15138.0
4,2019.10.31,137000.0,2500.0,140000.0,140500.0,137000.0,16606.0
5,2019.10.30,139500.0,9000.0,145500.0,147500.0,139500.0,27549.0
9,2019.10.29,148500.0,4000.0,144500.0,149500.0,144500.0,15895.0
10,2019.10.28,144500.0,1500.0,143500.0,146000.0,142000.0,12684.0
11,2019.10.25,143000.0,3500.0,138500.0,143000.0,138500.0,11446.0
12,2019.10.24,139500.0,500.0,139500.0,140500.0,138000.0,7347.0
13,2019.10.23,140000.0,1000.0,142000.0,142500.0,139000.0,6464.0
1,2019.10.22,141000.0,500.0,140500.0,143000.0,140500.0,14124.0
2,2019.10.21,140500.0,1000.0,139500.0,142000.0,137500.0,17425.0
3,2019.10.18,139500.0,1000.0,140500.0,142000.0,137500.0,19389.0
4,2019.10.17,140500.0,1500.0,141500.0,142000.0,139000.0,13372.0
5,2019.10.16,139000.0,0.0,141000.0,142500.0,138500.0,11998.0
9,2019.10.15,139000.0,1000.0,138000.0,141000.0,137000.0,13353.0
10,2019.10.14,138000.0,5000.0,133500.0,140500.0,133500.0,19579.0
11,2019.10.11,133000.0,1000.0,136000.0,137000.0,132000.0,11046.0
12,2019.10.10,134000.0,2000.0,130500.0,137000.0,130500.0,14914.0
13,2019.10.08,132000.0,2500.0,133000.0,134500.0,131000.0,18591.0
1,2019.10.07,134500.0,500.0,135500.0,136500.0,133000.0,5053.0
2,2019.10.04,134000.0,1500.0,135500.0,136000.0,133500.0,11805.0
3,2019.10.02,135500.0,2000.0,136000.0,138500.0,135500.0,7074.0
4,2019.10.01,137500.0,1000.0,137000.0,139500.0,135500.0,10078.0
5,2019.09.30,138500.0,3000.0,135000.0,139000.0,135000.0,7067.0
9,2019.09.27,135500.0,3500.0,139000.0,139500.0,135500.0,5501.0
10,2019.09.26,139000.0,500.0,138000.0,140500.0,137500.0,7122.0
11,2019.09.25,138500.0,2000.0,140000.0,142000.0,137500.0,8307.0
12,2019.09.24,140500.0,1500.0,137500.0,142500.0,137500.0,14474.0
13,2019.09.23,139000.0,2500.0,142000.0,143000.0,139000.0,13079.0
1,2019.09.20,141500.0,1500.0,142500.0,142500.0,140000.0,13532.0
2,2019.09.19,143000.0,1500.0,141500.0,143500.0,139500.0,12747.0
3,2019.09.18,141500.0,500.0,141500.0,142500.0,138000.0,11445.0
4,2019.09.17,141000.0,500.0,140500.0,142000.0,139000.0,9773.0
5,2019.09.16,140500.0,2000.0,139000.0,141500.0,137500.0,13282.0
9,2019.09.11,138500.0,500.0,141000.0,141000.0,138000.0,21946.0
10,2019.09.10,139000.0,2500.0,136500.0,140000.0,136500.0,14030.0
11,2019.09.09,136500.0,500.0,135500.0,138500.0,135500.0,12874.0
12,2019.09.06,136000.0,500.0,135500.0,137000.0,134000.0,8346.0
13,2019.09.05,135500.0,2500.0,140000.0,140000.0,135000.0,13621.0
1,2019.09.04,138000.0,4000.0,133000.0,138000.0,133000.0,18971.0
2,2019.09.03,134000.0,2500.0,130500.0,134500.0,130500.0,21288.0
3,2019.09.02,131500.0,1500.0,129000.0,131500.0,129000.0,10349.0
4,2019.08.30,130000.0,2000.0,129000.0,131000.0,128500.0,17997.0
5,2019.08.29,128000.0,0.0,127500.0,131000.0,127000.0,13318.0
9,2019.08.28,128000.0,1000.0,129000.0,129000.0,126500.0,10764.0
10,2019.08.27,127000.0,0.0,127000.0,129000.0,126500.0,12477.0
11,2019.08.26,127000.0,4000.0,129000.0,129500.0,126500.0,19762.0
12,2019.08.23,131000.0,3500.0,133000.0,133500.0,130500.0,31631.0
13,2019.08.22,134500.0,3500.0,131500.0,135000.0,130500.0,31878.0
1,2019.08.21,131000.0,3500.0,134000.0,135500.0,131000.0,31983.0
2,2019.08.20,134500.0,2000.0,135500.0,136500.0,133500.0,25633.0
3,2019.08.19,136500.0,1000.0,134500.0,138000.0,132000.0,20343.0
4,2019.08.16,135500.0,500.0,136500.0,137000.0,133000.0,17496.0
5,2019.08.14,135000.0,1500.0,136500.0,137000.0,133500.0,19849.0
9,2019.08.13,136500.0,5000.0,131000.0,137500.0,131000.0,18403.0
10,2019.08.12,131500.0,1000.0,132000.0,133000.0,129500.0,22669.0
11,2019.08.09,132500.0,6000.0,139000.0,139500.0,129500.0,43460.0
12,2019.08.08,138500.0,2000.0,138500.0,140000.0,136000.0,11175.0
13,2019.08.07,136500.0,500.0,134500.0,138500.0,133500.0,12693.0
1,2019.08.06,137000.0,2000.0,137000.0,139500.0,134500.0,20944.0
2,2019.08.05,139000.0,1500.0,140500.0,141500.0,136500.0,16191.0
3,2019.08.02,140500.0,6000.0,142000.0,146500.0,140500.0,22078.0
