,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,8190.0,20.0,8310.0,8370.0,8090.0,446874.0
2,2020.04.28,8170.0,200.0,8020.0,8330.0,7940.0,502601.0
3,2020.04.27,7970.0,540.0,7450.0,8070.0,7430.0,656410.0
4,2020.04.24,7430.0,130.0,7550.0,7560.0,7330.0,310792.0
5,2020.04.23,7560.0,300.0,7310.0,7650.0,7260.0,473050.0
9,2020.04.22,7260.0,80.0,7290.0,7300.0,7100.0,273555.0
10,2020.04.21,7340.0,140.0,7470.0,7520.0,7110.0,450514.0
11,2020.04.20,7480.0,80.0,7400.0,7660.0,7350.0,449425.0
12,2020.04.17,7400.0,130.0,7270.0,7440.0,7270.0,402478.0
13,2020.04.16,7270.0,110.0,7240.0,7350.0,7110.0,395062.0
1,2020.04.14,7380.0,120.0,7290.0,7470.0,7270.0,243273.0
2,2020.04.13,7260.0,110.0,7280.0,7460.0,7190.0,308063.0
3,2020.04.10,7370.0,20.0,7310.0,7400.0,7210.0,344062.0
4,2020.04.09,7350.0,20.0,7420.0,7460.0,7300.0,265112.0
5,2020.04.08,7330.0,130.0,7350.0,7500.0,7150.0,340768.0
9,2020.04.07,7460.0,140.0,7410.0,7700.0,7300.0,416431.0
10,2020.04.06,7320.0,350.0,7210.0,7370.0,6990.0,340975.0
11,2020.04.03,6970.0,70.0,6840.0,6970.0,6720.0,237918.0
12,2020.04.02,6900.0,180.0,6760.0,7000.0,6600.0,305692.0
13,2020.04.01,6720.0,140.0,6530.0,7390.0,6350.0,575800.0
1,2020.03.31,6580.0,30.0,6660.0,6790.0,6530.0,322800.0
2,2020.03.30,6550.0,40.0,6550.0,6600.0,6310.0,217919.0
3,2020.03.27,6590.0,320.0,6560.0,6630.0,6290.0,429920.0
4,2020.03.26,6270.0,220.0,6050.0,6520.0,5950.0,512678.0
5,2020.03.25,6050.0,550.0,5650.0,6050.0,5600.0,540194.0
9,2020.03.24,5500.0,430.0,5100.0,5500.0,5060.0,353861.0
10,2020.03.23,5070.0,180.0,4890.0,5170.0,4860.0,407072.0
11,2020.03.20,5250.0,230.0,5050.0,5270.0,4815.0,675369.0
12,2020.03.19,5020.0,1170.0,6170.0,6330.0,5020.0,631829.0
13,2020.03.18,6190.0,400.0,6650.0,6650.0,6190.0,392904.0
1,2020.03.17,6590.0,360.0,6630.0,6850.0,6500.0,311565.0
2,2020.03.16,6950.0,50.0,7140.0,7250.0,6720.0,318403.0
3,2020.03.13,7000.0,540.0,7100.0,7100.0,6600.0,581419.0
4,2020.03.12,7540.0,500.0,8070.0,8100.0,7460.0,352796.0
5,2020.03.11,8040.0,170.0,8120.0,8250.0,7980.0,211333.0
9,2020.03.10,8210.0,20.0,8070.0,8260.0,8050.0,234423.0
10,2020.03.09,8190.0,420.0,8540.0,8540.0,8090.0,346469.0
11,2020.03.06,8610.0,200.0,8770.0,8780.0,8550.0,220357.0
12,2020.03.05,8810.0,160.0,8710.0,8870.0,8620.0,244881.0
13,2020.03.04,8650.0,0.0,8600.0,8740.0,8600.0,222626.0
1,2020.03.03,8650.0,30.0,8710.0,8820.0,8600.0,185466.0
2,2020.03.02,8680.0,30.0,8650.0,8740.0,8590.0,146917.0
3,2020.02.28,8650.0,210.0,8860.0,8860.0,8590.0,213797.0
4,2020.02.27,8860.0,100.0,8740.0,8880.0,8720.0,170466.0
5,2020.02.26,8760.0,80.0,8740.0,8840.0,8730.0,164076.0
9,2020.02.25,8840.0,180.0,8830.0,8840.0,8660.0,279805.0
10,2020.02.24,8660.0,450.0,9020.0,9020.0,8640.0,293180.0
11,2020.02.21,9110.0,260.0,9340.0,9340.0,9090.0,189070.0
12,2020.02.20,9370.0,170.0,9540.0,9590.0,9370.0,157063.0
13,2020.02.19,9540.0,170.0,9850.0,9850.0,9500.0,194545.0
1,2020.02.18,9710.0,130.0,9780.0,9810.0,9650.0,199266.0
2,2020.02.17,9840.0,160.0,10000.0,10000.0,9830.0,187876.0
3,2020.02.14,10000.0,0.0,10000.0,10100.0,9980.0,102154.0
4,2020.02.13,10000.0,150.0,10150.0,10250.0,10000.0,214472.0
5,2020.02.12,10150.0,150.0,10150.0,10300.0,10100.0,131046.0
9,2020.02.11,10300.0,250.0,10100.0,10350.0,10100.0,119292.0
10,2020.02.10,10050.0,50.0,10000.0,10150.0,9970.0,72207.0
11,2020.02.07,10100.0,150.0,10200.0,10250.0,10050.0,103589.0
12,2020.02.06,10250.0,250.0,10050.0,10300.0,10000.0,105201.0
13,2020.02.05,10000.0,50.0,10100.0,10150.0,9950.0,187632.0
1,2020.02.04,10050.0,0.0,9960.0,10150.0,9950.0,238740.0
2,2020.02.03,10050.0,250.0,10050.0,10150.0,9890.0,192330.0
3,2020.01.31,10300.0,50.0,10400.0,10450.0,10250.0,77585.0
4,2020.01.30,10350.0,0.0,10400.0,10500.0,10250.0,125386.0
5,2020.01.29,10350.0,0.0,10350.0,10450.0,10200.0,120244.0
9,2020.01.28,10350.0,450.0,10650.0,10800.0,10350.0,201660.0
10,2020.01.23,10800.0,200.0,10950.0,10950.0,10700.0,168017.0
11,2020.01.22,11000.0,150.0,10850.0,11050.0,10800.0,92669.0
12,2020.01.21,10850.0,50.0,10800.0,10950.0,10800.0,79531.0
13,2020.01.20,10800.0,100.0,10850.0,10950.0,10800.0,133381.0
1,2020.01.17,10900.0,200.0,11100.0,11200.0,10900.0,150166.0
2,2020.01.16,11100.0,50.0,11150.0,11200.0,11000.0,102998.0
3,2020.01.15,11150.0,150.0,11000.0,11200.0,10950.0,108283.0
4,2020.01.14,11000.0,50.0,11000.0,11050.0,10900.0,105078.0
5,2020.01.13,10950.0,100.0,10850.0,10950.0,10800.0,112658.0
9,2020.01.10,10850.0,150.0,11000.0,11000.0,10800.0,201053.0
10,2020.01.09,11000.0,50.0,11000.0,11100.0,10850.0,166473.0
11,2020.01.08,10950.0,250.0,11100.0,11150.0,10800.0,210252.0
12,2020.01.07,11200.0,100.0,11500.0,11500.0,11150.0,133571.0
13,2020.01.06,11300.0,250.0,11500.0,11600.0,11250.0,99672.0
1,2020.01.03,11550.0,100.0,11750.0,11900.0,11500.0,131961.0
2,2020.01.02,11650.0,200.0,11800.0,11900.0,11650.0,122167.0
3,2019.12.30,11850.0,200.0,11650.0,11900.0,11550.0,85024.0
4,2019.12.27,11650.0,100.0,11600.0,11950.0,11550.0,168823.0
5,2019.12.26,11750.0,150.0,11700.0,11850.0,11550.0,122117.0
9,2019.12.24,11600.0,50.0,11500.0,11650.0,11450.0,85259.0
