,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,71100.0,100.0,71000.0,71600.0,70800.0,10624.0
2,2020.04.28,71200.0,200.0,73000.0,73500.0,70500.0,16635.0
3,2020.04.27,71400.0,1300.0,70200.0,73600.0,70200.0,23033.0
4,2020.04.24,70100.0,1100.0,70600.0,71300.0,69600.0,11234.0
5,2020.04.23,71200.0,1100.0,69500.0,71900.0,68600.0,14847.0
9,2020.04.22,70100.0,200.0,69900.0,70500.0,67500.0,14002.0
10,2020.04.21,69900.0,2200.0,72100.0,72100.0,68400.0,25671.0
11,2020.04.20,72100.0,600.0,72700.0,73000.0,72000.0,11665.0
12,2020.04.17,72700.0,0.0,72600.0,73800.0,72400.0,16226.0
13,2020.04.16,72700.0,300.0,72900.0,72900.0,70000.0,15551.0
1,2020.04.14,73000.0,3000.0,70500.0,74200.0,70100.0,26927.0
2,2020.04.13,70000.0,2300.0,68000.0,70600.0,66800.0,21623.0
3,2020.04.10,67700.0,100.0,67900.0,68000.0,66500.0,14143.0
4,2020.04.09,67800.0,1500.0,68000.0,68000.0,66400.0,16426.0
5,2020.04.08,66300.0,0.0,66600.0,68400.0,64600.0,21168.0
9,2020.04.07,66300.0,2400.0,65600.0,66400.0,64100.0,26258.0
10,2020.04.06,63900.0,1900.0,62000.0,64400.0,62000.0,18766.0
11,2020.04.03,62000.0,200.0,61900.0,62500.0,60600.0,12949.0
12,2020.04.02,61800.0,100.0,61700.0,64000.0,58100.0,20118.0
13,2020.04.01,61700.0,1200.0,59500.0,63300.0,59400.0,31694.0
1,2020.03.31,60500.0,1500.0,60000.0,62000.0,59300.0,25781.0
2,2020.03.30,59000.0,200.0,58800.0,60000.0,55500.0,19470.0
3,2020.03.27,58800.0,4800.0,56000.0,64900.0,55000.0,54229.0
4,2020.03.26,54000.0,2900.0,54800.0,57600.0,52700.0,38872.0
5,2020.03.25,51100.0,7450.0,44800.0,51400.0,44350.0,34992.0
9,2020.03.24,43650.0,3000.0,41100.0,43800.0,40850.0,28669.0
10,2020.03.23,40650.0,3050.0,40550.0,42000.0,39950.0,30407.0
11,2020.03.20,43700.0,750.0,42050.0,45500.0,42050.0,33392.0
12,2020.03.19,42950.0,6850.0,49800.0,51800.0,42500.0,36503.0
13,2020.03.18,49800.0,1800.0,51800.0,53100.0,49800.0,27466.0
1,2020.03.17,51600.0,2900.0,50300.0,53700.0,50300.0,23259.0
2,2020.03.16,54500.0,3100.0,58300.0,60000.0,53700.0,27525.0
3,2020.03.13,57600.0,4300.0,55800.0,60000.0,52600.0,35373.0
4,2020.03.12,61900.0,3000.0,63000.0,66000.0,60000.0,22227.0
5,2020.03.11,64900.0,3000.0,67100.0,68000.0,64200.0,14644.0
9,2020.03.10,67900.0,300.0,67800.0,68000.0,66200.0,9433.0
