,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,44150.0,750.0,45050.0,45500.0,44050.0,241733.0
2,2020.04.28,44900.0,200.0,45000.0,45550.0,44550.0,240765.0
3,2020.04.27,45100.0,2600.0,43100.0,45400.0,42900.0,262434.0
4,2020.04.24,42500.0,600.0,43900.0,44350.0,42000.0,245584.0
5,2020.04.23,43100.0,1800.0,40900.0,43600.0,40900.0,346294.0
9,2020.04.22,41300.0,1450.0,39300.0,41300.0,38800.0,317408.0
10,2020.04.21,39850.0,2250.0,37500.0,39900.0,37450.0,414350.0
11,2020.04.20,37600.0,100.0,37550.0,38100.0,36900.0,271065.0
12,2020.04.17,37700.0,100.0,37800.0,38600.0,37700.0,387121.0
13,2020.04.16,37800.0,1200.0,38400.0,38700.0,37650.0,346717.0
1,2020.04.14,39000.0,1600.0,37550.0,39000.0,37550.0,254540.0
2,2020.04.13,37400.0,150.0,37250.0,38350.0,36700.0,365583.0
3,2020.04.10,37250.0,1450.0,35850.0,38150.0,35650.0,465729.0
4,2020.04.09,35800.0,750.0,35250.0,36200.0,34950.0,339199.0
5,2020.04.08,35050.0,500.0,34850.0,35850.0,34850.0,370034.0
9,2020.04.07,35550.0,350.0,35250.0,35950.0,34800.0,382244.0
10,2020.04.06,35200.0,350.0,35550.0,36550.0,34550.0,314881.0
11,2020.04.03,34850.0,150.0,33750.0,35350.0,33150.0,422828.0
12,2020.04.02,34700.0,2350.0,32150.0,35000.0,32050.0,449745.0
13,2020.04.01,32350.0,2400.0,34350.0,34950.0,32350.0,429379.0
1,2020.03.31,34750.0,1400.0,33150.0,35150.0,33150.0,406077.0
2,2020.03.30,33350.0,500.0,32400.0,34200.0,31200.0,422123.0
3,2020.03.27,32850.0,1000.0,33000.0,33350.0,32050.0,370366.0
4,2020.03.26,31850.0,550.0,31450.0,33200.0,31150.0,638718.0
5,2020.03.25,31300.0,2500.0,30300.0,31550.0,29300.0,575367.0
9,2020.03.24,28800.0,550.0,28700.0,29100.0,27750.0,621152.0
10,2020.03.23,28250.0,350.0,26750.0,29950.0,26450.0,619662.0
11,2020.03.20,28600.0,4800.0,24650.0,29900.0,24650.0,995328.0
12,2020.03.19,23800.0,2350.0,26450.0,27000.0,23750.0,632258.0
