,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,13250.0,200.0,12950.0,13300.0,12850.0,91291.0
2,2020.04.28,13050.0,550.0,12550.0,13150.0,12300.0,110800.0
3,2020.04.27,12500.0,500.0,12000.0,12500.0,12000.0,78968.0
4,2020.04.24,12000.0,450.0,12250.0,12250.0,11900.0,140567.0
5,2020.04.23,12450.0,0.0,12350.0,12750.0,12300.0,105247.0
9,2020.04.22,12450.0,500.0,12800.0,12800.0,12150.0,144707.0
10,2020.04.21,12950.0,400.0,13350.0,13350.0,12650.0,96246.0
11,2020.04.20,13350.0,300.0,13500.0,13650.0,13250.0,72180.0
12,2020.04.17,13650.0,50.0,13500.0,13950.0,13500.0,90133.0
13,2020.04.16,13600.0,100.0,13550.0,13700.0,12850.0,79675.0
1,2020.04.14,13700.0,250.0,13350.0,13800.0,13350.0,57294.0
2,2020.04.13,13450.0,350.0,13600.0,13800.0,13400.0,55482.0
3,2020.04.10,13800.0,150.0,14000.0,14200.0,13700.0,79874.0
4,2020.04.09,13950.0,350.0,13950.0,14350.0,13650.0,140227.0
5,2020.04.08,13600.0,350.0,13800.0,14000.0,13500.0,109077.0
9,2020.04.07,13950.0,650.0,13450.0,13950.0,13400.0,123143.0
10,2020.04.06,13300.0,200.0,13200.0,13350.0,12850.0,93586.0
11,2020.04.03,13100.0,200.0,12900.0,13150.0,12750.0,95159.0
12,2020.04.02,12900.0,0.0,12850.0,13150.0,12400.0,128940.0
13,2020.04.01,12900.0,300.0,12800.0,13150.0,12700.0,117502.0
1,2020.03.31,13200.0,650.0,12650.0,13800.0,12650.0,226622.0
2,2020.03.30,12550.0,650.0,11500.0,12550.0,11300.0,98162.0
3,2020.03.27,11900.0,50.0,12150.0,12900.0,11600.0,206323.0
4,2020.03.26,11950.0,1000.0,10850.0,13400.0,10550.0,284590.0
5,2020.03.25,10950.0,1140.0,10350.0,10950.0,10300.0,143113.0
9,2020.03.24,9810.0,610.0,9220.0,9810.0,9110.0,132194.0
10,2020.03.23,9200.0,500.0,9300.0,9340.0,9090.0,144556.0
11,2020.03.20,9700.0,320.0,9180.0,10150.0,9180.0,201956.0
12,2020.03.19,9380.0,720.0,10100.0,10400.0,9240.0,289615.0
13,2020.03.18,10100.0,950.0,11150.0,11400.0,10050.0,313441.0
1,2020.03.17,11050.0,1050.0,10800.0,11850.0,10800.0,207287.0
2,2020.03.16,12100.0,200.0,12100.0,12550.0,11850.0,109873.0
3,2020.03.13,11900.0,750.0,11200.0,12150.0,11000.0,308064.0
4,2020.03.12,12650.0,700.0,13450.0,13500.0,12500.0,165729.0
5,2020.03.11,13350.0,150.0,13500.0,13900.0,13250.0,137052.0
9,2020.03.10,13500.0,300.0,13650.0,13800.0,13300.0,179602.0
10,2020.03.09,13800.0,450.0,14100.0,14100.0,13550.0,103339.0
11,2020.03.06,14250.0,650.0,14850.0,14900.0,14050.0,196964.0
12,2020.03.05,14900.0,50.0,15000.0,15050.0,14750.0,140055.0
13,2020.03.04,14950.0,200.0,15050.0,15200.0,14700.0,97967.0
1,2020.03.03,14750.0,150.0,14950.0,15250.0,14700.0,85261.0
2,2020.03.02,14900.0,100.0,15000.0,15150.0,14800.0,69942.0
3,2020.02.28,15000.0,250.0,15000.0,15150.0,14650.0,123582.0
4,2020.02.27,15250.0,50.0,15100.0,15300.0,15000.0,73171.0
5,2020.02.26,15200.0,100.0,15250.0,15500.0,15050.0,81635.0
9,2020.02.25,15300.0,200.0,15200.0,15500.0,15000.0,107580.0
10,2020.02.24,15100.0,750.0,15200.0,15450.0,14900.0,149570.0
11,2020.02.21,15850.0,400.0,16150.0,16400.0,15700.0,141818.0
12,2020.02.20,16250.0,400.0,16550.0,16800.0,16150.0,114247.0
13,2020.02.19,16650.0,100.0,16800.0,16900.0,16400.0,78520.0
1,2020.02.18,16750.0,350.0,16950.0,17000.0,16650.0,118445.0
2,2020.02.17,17100.0,0.0,17000.0,17300.0,16850.0,65839.0
3,2020.02.14,17100.0,0.0,17050.0,17250.0,16950.0,45857.0
4,2020.02.13,17100.0,600.0,17700.0,17700.0,17050.0,106089.0
5,2020.02.12,17700.0,100.0,17500.0,17850.0,17450.0,71508.0
9,2020.02.11,17600.0,300.0,17450.0,17800.0,17400.0,54505.0
10,2020.02.10,17300.0,200.0,16950.0,17450.0,16750.0,47971.0
11,2020.02.07,17100.0,350.0,17300.0,17450.0,17000.0,53973.0
12,2020.02.06,17450.0,600.0,16950.0,17550.0,16950.0,83840.0
13,2020.02.05,16850.0,150.0,16700.0,17050.0,16650.0,73087.0
1,2020.02.04,16700.0,150.0,16500.0,16950.0,16400.0,91852.0
2,2020.02.03,16550.0,200.0,16650.0,16950.0,16400.0,127911.0
3,2020.01.31,16750.0,450.0,17150.0,17350.0,16750.0,111012.0
4,2020.01.30,17200.0,600.0,17700.0,17850.0,17050.0,106487.0
5,2020.01.29,17800.0,400.0,18200.0,18350.0,17700.0,90577.0
9,2020.01.28,18200.0,950.0,18800.0,18850.0,17950.0,177281.0
10,2020.01.23,19150.0,1050.0,18050.0,19200.0,18050.0,356529.0
11,2020.01.22,18100.0,300.0,17950.0,18100.0,17600.0,59780.0
12,2020.01.21,17800.0,150.0,17650.0,17950.0,17500.0,61220.0
13,2020.01.20,17650.0,50.0,17750.0,18000.0,17650.0,53266.0
1,2020.01.17,17700.0,300.0,18300.0,18300.0,17700.0,67588.0
2,2020.01.16,18000.0,0.0,18100.0,18250.0,17900.0,60839.0
3,2020.01.15,18000.0,100.0,17900.0,18150.0,17700.0,45108.0
4,2020.01.14,17900.0,500.0,17400.0,18200.0,17200.0,106066.0
5,2020.01.13,17400.0,300.0,17100.0,17550.0,17000.0,65197.0
9,2020.01.10,17100.0,250.0,16750.0,17300.0,16600.0,60609.0
10,2020.01.09,16850.0,400.0,16550.0,17200.0,16550.0,82344.0
11,2020.01.08,16450.0,850.0,17050.0,17100.0,16400.0,99246.0
12,2020.01.07,17300.0,50.0,17250.0,17600.0,17250.0,43805.0
13,2020.01.06,17350.0,400.0,17600.0,17800.0,17300.0,45808.0
1,2020.01.03,17750.0,200.0,18050.0,18100.0,17700.0,61024.0
2,2020.01.02,17950.0,200.0,18200.0,18200.0,17700.0,48232.0
3,2019.12.30,18150.0,150.0,18500.0,18500.0,17900.0,52428.0
4,2019.12.27,18300.0,350.0,17750.0,18300.0,17600.0,81999.0
5,2019.12.26,17950.0,350.0,17750.0,18050.0,17550.0,33921.0
9,2019.12.24,17600.0,50.0,17700.0,17800.0,17550.0,42061.0
10,2019.12.23,17650.0,200.0,17950.0,17950.0,17550.0,56939.0
11,2019.12.20,17850.0,0.0,18000.0,18050.0,17700.0,51344.0
12,2019.12.19,17850.0,100.0,17750.0,17900.0,17650.0,36135.0
13,2019.12.18,17750.0,0.0,17650.0,17850.0,17550.0,35048.0
1,2019.12.17,17750.0,150.0,17500.0,17900.0,17450.0,41105.0
2,2019.12.16,17600.0,200.0,17650.0,17850.0,17500.0,74905.0
3,2019.12.13,17800.0,50.0,17750.0,18050.0,17600.0,72986.0
4,2019.12.12,17750.0,100.0,17600.0,17850.0,17400.0,153348.0
5,2019.12.11,17650.0,300.0,17950.0,17950.0,17500.0,134527.0
9,2019.12.10,17950.0,50.0,18000.0,18200.0,17800.0,37264.0
10,2019.12.09,18000.0,400.0,18400.0,18500.0,17850.0,76569.0
11,2019.12.06,18400.0,0.0,18500.0,18500.0,18100.0,26118.0
12,2019.12.05,18400.0,100.0,18100.0,18450.0,18100.0,33750.0
13,2019.12.04,18300.0,450.0,17750.0,18300.0,17550.0,47214.0
1,2019.12.03,17850.0,500.0,18250.0,18350.0,17650.0,79771.0
2,2019.12.02,18350.0,400.0,18750.0,18900.0,18150.0,54475.0
3,2019.11.29,18750.0,300.0,19250.0,19300.0,18550.0,61578.0
4,2019.11.28,19050.0,350.0,19350.0,19350.0,18750.0,62555.0
5,2019.11.27,19400.0,650.0,18950.0,19650.0,18800.0,150312.0
9,2019.11.26,18750.0,400.0,18450.0,18950.0,18350.0,142719.0
10,2019.11.25,18350.0,450.0,17950.0,18450.0,17750.0,97771.0
11,2019.11.22,17900.0,250.0,17600.0,18050.0,17500.0,66029.0
12,2019.11.21,17650.0,300.0,17950.0,18100.0,17450.0,89251.0
13,2019.11.20,17950.0,100.0,18050.0,18100.0,17650.0,112216.0
1,2019.11.19,18050.0,450.0,18500.0,18700.0,17900.0,185445.0
2,2019.11.18,18500.0,1800.0,20250.0,20250.0,18200.0,403413.0
3,2019.11.15,20300.0,600.0,21050.0,21150.0,19850.0,146050.0
4,2019.11.14,20900.0,400.0,21400.0,21550.0,20800.0,42700.0
5,2019.11.13,21300.0,200.0,21150.0,21650.0,20950.0,50389.0
9,2019.11.12,21100.0,400.0,20800.0,21200.0,20500.0,41259.0
10,2019.11.11,20700.0,100.0,20750.0,20900.0,20450.0,50969.0
11,2019.11.08,20800.0,250.0,21000.0,21200.0,20700.0,35821.0
12,2019.11.07,21050.0,100.0,20750.0,21450.0,20750.0,37730.0
13,2019.11.06,20950.0,450.0,20450.0,21150.0,20450.0,58568.0
1,2019.11.05,20500.0,50.0,20450.0,20700.0,20350.0,70596.0
2,2019.11.04,20450.0,150.0,20650.0,20950.0,20300.0,98131.0
3,2019.11.01,20600.0,350.0,20850.0,20950.0,20100.0,99347.0
4,2019.10.31,20950.0,300.0,21250.0,21400.0,20800.0,103358.0
5,2019.10.30,21250.0,950.0,22150.0,22150.0,21100.0,68284.0
9,2019.10.29,22200.0,50.0,22350.0,22350.0,22050.0,23300.0
10,2019.10.28,22150.0,250.0,22150.0,22350.0,22050.0,19330.0
11,2019.10.25,21900.0,100.0,22000.0,22200.0,21800.0,15166.0
12,2019.10.24,22000.0,150.0,21600.0,22150.0,21600.0,37536.0
13,2019.10.23,21850.0,200.0,21950.0,22100.0,21700.0,27299.0
1,2019.10.22,22050.0,300.0,22150.0,22600.0,22000.0,37516.0
2,2019.10.21,22350.0,200.0,21900.0,22450.0,21900.0,48364.0
3,2019.10.18,22150.0,150.0,22250.0,22450.0,21700.0,64503.0
4,2019.10.17,22000.0,250.0,22450.0,22500.0,22000.0,23658.0
5,2019.10.16,22250.0,50.0,22250.0,22450.0,21950.0,20022.0
9,2019.10.15,22300.0,150.0,22050.0,22400.0,21950.0,31589.0
10,2019.10.14,22150.0,350.0,22200.0,22300.0,21850.0,29383.0
11,2019.10.11,21800.0,150.0,22000.0,22100.0,21500.0,69833.0
12,2019.10.10,21650.0,850.0,22050.0,22350.0,21650.0,62297.0
13,2019.10.08,22500.0,250.0,22250.0,22550.0,22050.0,38954.0
1,2019.10.07,22250.0,300.0,21950.0,22550.0,21900.0,33733.0
2,2019.10.04,21950.0,600.0,22450.0,22700.0,21950.0,45292.0
3,2019.10.02,22550.0,800.0,23300.0,23300.0,22200.0,45163.0
4,2019.10.01,23350.0,650.0,23950.0,24150.0,23100.0,65616.0
5,2019.09.30,24000.0,850.0,23000.0,24000.0,22800.0,88326.0
9,2019.09.27,23150.0,300.0,23250.0,23500.0,22500.0,77322.0
10,2019.09.26,22850.0,200.0,23700.0,23800.0,22800.0,45429.0
11,2019.09.25,23050.0,450.0,23650.0,24100.0,23050.0,53440.0
12,2019.09.24,23500.0,250.0,23550.0,23600.0,23250.0,58896.0
