,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,50000.0,100.0,49900.0,50500.0,49600.0,15558753.0
2,2020.04.28,50100.0,250.0,49850.0,50100.0,49300.0,16095399.0
3,2020.04.27,49850.0,500.0,49350.0,50000.0,49100.0,14049471.0
4,2020.04.24,49350.0,500.0,49650.0,49750.0,49000.0,15618347.0
5,2020.04.23,49850.0,0.0,50200.0,50300.0,49500.0,18754442.0
9,2020.04.22,49850.0,600.0,48700.0,50000.0,48350.0,18613864.0
10,2020.04.21,49250.0,850.0,49400.0,49700.0,48700.0,27407543.0
11,2020.04.20,50100.0,1300.0,51400.0,51400.0,50000.0,21866354.0
12,2020.04.17,51400.0,2400.0,50800.0,52000.0,50300.0,32041675.0
13,2020.04.16,49000.0,0.0,49350.0,49350.0,48550.0,23349760.0
1,2020.04.14,49000.0,700.0,48800.0,49200.0,48300.0,14206216.0
2,2020.04.13,48300.0,950.0,48650.0,48900.0,48300.0,14431800.0
3,2020.04.10,49250.0,150.0,48950.0,49250.0,48650.0,17839111.0
4,2020.04.09,49100.0,500.0,49750.0,49800.0,48700.0,22628058.0
5,2020.04.08,48600.0,1000.0,49600.0,49750.0,48600.0,25010314.0
9,2020.04.07,49600.0,900.0,49650.0,50200.0,49000.0,31524034.0
10,2020.04.06,48700.0,1700.0,47500.0,48800.0,47250.0,23395726.0
11,2020.04.03,47000.0,200.0,47400.0,47600.0,46550.0,22784682.0
12,2020.04.02,46800.0,1000.0,46200.0,46850.0,45350.0,21621076.0
13,2020.04.01,45800.0,1950.0,47450.0,47900.0,45800.0,27259532.0
1,2020.03.31,47750.0,100.0,48000.0,48500.0,47150.0,30654261.0
2,2020.03.30,47850.0,450.0,47050.0,48350.0,46550.0,26797395.0
3,2020.03.27,48300.0,500.0,49600.0,49700.0,46850.0,39896178.0
4,2020.03.26,47800.0,850.0,49000.0,49300.0,47700.0,42185129.0
5,2020.03.25,48650.0,1700.0,48950.0,49600.0,47150.0,52735922.0
9,2020.03.24,46950.0,4450.0,43850.0,46950.0,43050.0,49801908.0
10,2020.03.23,42500.0,2900.0,42600.0,43550.0,42400.0,41701626.0
11,2020.03.20,45400.0,2450.0,44150.0,45500.0,43550.0,49730008.0
12,2020.03.19,42950.0,2650.0,46400.0,46650.0,42300.0,56925513.0
13,2020.03.18,45600.0,1700.0,47750.0,48350.0,45600.0,40152623.0
1,2020.03.17,47300.0,1600.0,46900.0,49650.0,46700.0,51218151.0
