,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,9690.0,640.0,9050.0,9890.0,9040.0,3938046.0
2,2020.04.28,9050.0,60.0,9100.0,9250.0,8950.0,1476114.0
3,2020.04.27,8990.0,310.0,8700.0,9050.0,8700.0,1727719.0
4,2020.04.24,8680.0,80.0,8710.0,8750.0,8630.0,639638.0
5,2020.04.23,8760.0,0.0,8780.0,8860.0,8710.0,1104272.0
9,2020.04.22,8760.0,40.0,8600.0,8780.0,8490.0,1148108.0
10,2020.04.21,8720.0,200.0,8800.0,8890.0,8620.0,1812731.0
11,2020.04.20,8920.0,190.0,9170.0,9190.0,8850.0,1562211.0
12,2020.04.17,9110.0,490.0,8800.0,9250.0,8740.0,2879999.0
13,2020.04.16,8620.0,170.0,8650.0,8710.0,8470.0,1078409.0
1,2020.04.14,8790.0,140.0,8710.0,8830.0,8650.0,1037106.0
2,2020.04.13,8650.0,190.0,8840.0,8870.0,8650.0,1074085.0
3,2020.04.10,8840.0,90.0,8750.0,8890.0,8640.0,1455964.0
4,2020.04.09,8750.0,120.0,8790.0,8800.0,8630.0,1424476.0
5,2020.04.08,8630.0,270.0,8760.0,8800.0,8630.0,1973299.0
9,2020.04.07,8900.0,150.0,8990.0,9080.0,8680.0,1753600.0
10,2020.04.06,8750.0,320.0,8500.0,8780.0,8480.0,1775338.0
11,2020.04.03,8430.0,210.0,8620.0,8720.0,8300.0,1678315.0
12,2020.04.02,8640.0,230.0,8400.0,8700.0,8170.0,1638933.0
13,2020.04.01,8410.0,580.0,8900.0,9070.0,8410.0,1703845.0
1,2020.03.31,8990.0,320.0,8860.0,9330.0,8780.0,2619889.0
2,2020.03.30,8670.0,240.0,8130.0,8700.0,8060.0,1746745.0
3,2020.03.27,8430.0,290.0,8650.0,8810.0,8140.0,2637881.0
4,2020.03.26,8140.0,100.0,8240.0,8500.0,7950.0,2514494.0
5,2020.03.25,8240.0,1290.0,7300.0,8300.0,7220.0,3801541.0
9,2020.03.24,6950.0,640.0,6480.0,6950.0,6310.0,2467754.0
10,2020.03.23,6310.0,910.0,6700.0,6740.0,6300.0,2132665.0
11,2020.03.20,7220.0,370.0,7000.0,7230.0,6710.0,2837378.0
12,2020.03.19,6850.0,830.0,7800.0,7890.0,6590.0,2800936.0
13,2020.03.18,7680.0,500.0,8280.0,8340.0,7680.0,1661276.0
1,2020.03.17,8180.0,300.0,8020.0,8470.0,8010.0,1513315.0
2,2020.03.16,8480.0,330.0,8850.0,9010.0,8480.0,1435137.0
3,2020.03.13,8810.0,360.0,8310.0,9000.0,8310.0,2137276.0
4,2020.03.12,9170.0,530.0,9700.0,9700.0,9020.0,2097940.0
