,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,148500.0,500.0,148000.0,151500.0,146500.0,67246.0
2,2020.04.28,148000.0,3000.0,151500.0,152000.0,146000.0,113636.0
3,2020.04.27,151000.0,0.0,154000.0,154500.0,149000.0,101505.0
4,2020.04.24,151000.0,500.0,151000.0,157500.0,149500.0,235536.0
5,2020.04.23,150500.0,1500.0,151000.0,151000.0,147000.0,109418.0
9,2020.04.22,149000.0,5000.0,145500.0,149500.0,144500.0,113362.0
10,2020.04.21,144000.0,4500.0,148500.0,149500.0,139500.0,136109.0
11,2020.04.20,148500.0,0.0,148500.0,149500.0,144500.0,99033.0
12,2020.04.17,148500.0,4500.0,154000.0,155500.0,147000.0,199818.0
13,2020.04.16,153000.0,1000.0,154000.0,156000.0,151000.0,100500.0
1,2020.04.14,154000.0,5500.0,160000.0,160500.0,151000.0,199506.0
2,2020.04.13,159500.0,1500.0,162000.0,163000.0,158000.0,187016.0
3,2020.04.10,158000.0,500.0,160000.0,167000.0,152500.0,400373.0
4,2020.04.09,157500.0,1000.0,163500.0,163500.0,155500.0,190633.0
5,2020.04.08,158500.0,7500.0,173500.0,176000.0,158500.0,535276.0
9,2020.04.07,166000.0,12000.0,156000.0,190000.0,146000.0,1489111.0
10,2020.04.06,154000.0,13500.0,147500.0,168500.0,147500.0,706787.0
11,2020.04.03,140500.0,3500.0,142000.0,146000.0,138500.0,147016.0
12,2020.04.02,144000.0,1500.0,150500.0,151000.0,138500.0,230386.0
13,2020.04.01,142500.0,4500.0,144500.0,151500.0,140000.0,332967.0
1,2020.03.31,138000.0,8000.0,135500.0,140500.0,130500.0,296469.0
2,2020.03.30,130000.0,11500.0,121000.0,130000.0,118000.0,230530.0
3,2020.03.27,118500.0,5500.0,116000.0,126500.0,114000.0,233321.0
4,2020.03.26,113000.0,1000.0,116000.0,117500.0,113000.0,117989.0
5,2020.03.25,114000.0,2000.0,115000.0,115500.0,110500.0,111669.0
9,2020.03.24,112000.0,2500.0,113000.0,113000.0,109500.0,85311.0
10,2020.03.23,109500.0,3000.0,104000.0,116000.0,104000.0,108528.0
11,2020.03.20,112500.0,1500.0,113000.0,116500.0,109000.0,124464.0
12,2020.03.19,111000.0,6500.0,120000.0,123500.0,107500.0,118832.0
13,2020.03.18,117500.0,10500.0,129000.0,132500.0,117500.0,165490.0
1,2020.03.17,128000.0,10000.0,118500.0,128000.0,117500.0,202983.0
2,2020.03.16,118000.0,8000.0,117000.0,120000.0,106500.0,164716.0
3,2020.03.13,110000.0,0.0,104000.0,119500.0,97400.0,204839.0
4,2020.03.12,110000.0,5500.0,114000.0,117000.0,107000.0,99853.0
5,2020.03.11,115500.0,6500.0,123000.0,125500.0,114500.0,103962.0
9,2020.03.10,122000.0,6000.0,126000.0,126000.0,120000.0,123951.0
10,2020.03.09,128000.0,7500.0,122000.0,131000.0,119000.0,228239.0
11,2020.03.06,120500.0,1500.0,119000.0,121000.0,116500.0,60604.0
12,2020.03.05,119000.0,2000.0,117500.0,119500.0,115500.0,43937.0
13,2020.03.04,117000.0,0.0,117000.0,118000.0,115000.0,27751.0
1,2020.03.03,117000.0,0.0,119000.0,119000.0,116500.0,36419.0
2,2020.03.02,117000.0,3500.0,113500.0,119000.0,113500.0,45745.0
3,2020.02.28,113500.0,5500.0,118500.0,118500.0,112500.0,64943.0
4,2020.02.27,119000.0,6000.0,113000.0,119000.0,112500.0,74164.0
5,2020.02.26,113000.0,3000.0,109500.0,116000.0,109000.0,67300.0
9,2020.02.25,110000.0,2000.0,108000.0,112000.0,108000.0,31409.0
10,2020.02.24,108000.0,4000.0,113500.0,114000.0,107500.0,53055.0
11,2020.02.21,112000.0,1500.0,113500.0,116000.0,112000.0,24709.0
12,2020.02.20,113500.0,2500.0,116000.0,116000.0,113500.0,32721.0
13,2020.02.19,116000.0,1500.0,115000.0,117000.0,114500.0,41317.0
1,2020.02.18,114500.0,3000.0,117500.0,118000.0,113500.0,53205.0
2,2020.02.17,117500.0,1000.0,118500.0,119500.0,117000.0,32785.0
3,2020.02.14,118500.0,500.0,119500.0,120000.0,117500.0,40280.0
4,2020.02.13,119000.0,3000.0,121500.0,121500.0,118500.0,81050.0
5,2020.02.12,122000.0,500.0,120500.0,123000.0,120000.0,49656.0
9,2020.02.11,122500.0,500.0,123000.0,123500.0,122000.0,22199.0
10,2020.02.10,122000.0,500.0,121500.0,122500.0,120000.0,22423.0
11,2020.02.07,122500.0,1000.0,123500.0,124500.0,121500.0,27872.0
12,2020.02.06,123500.0,4000.0,120000.0,124000.0,118500.0,48414.0
13,2020.02.05,119500.0,1500.0,121500.0,122000.0,119000.0,56006.0
1,2020.02.04,121000.0,500.0,120000.0,123000.0,119000.0,42775.0
2,2020.02.03,120500.0,3000.0,124000.0,127500.0,119500.0,58753.0
3,2020.01.31,123500.0,5500.0,129000.0,130000.0,123500.0,60213.0
4,2020.01.30,129000.0,2500.0,132000.0,135000.0,129000.0,65759.0
5,2020.01.29,131500.0,7500.0,136000.0,137000.0,129500.0,99305.0
9,2020.01.28,139000.0,12000.0,132000.0,141500.0,129000.0,271908.0
10,2020.01.23,127000.0,0.0,128500.0,128500.0,126000.0,43636.0
11,2020.01.22,127000.0,5500.0,123500.0,127500.0,123000.0,53665.0
12,2020.01.21,121500.0,1500.0,124000.0,125000.0,121500.0,25456.0
13,2020.01.20,123000.0,500.0,122500.0,124000.0,122000.0,25596.0
1,2020.01.17,122500.0,1000.0,123500.0,124500.0,121000.0,51923.0
2,2020.01.16,123500.0,2000.0,125500.0,126000.0,123000.0,30026.0
3,2020.01.15,125500.0,2500.0,127500.0,128500.0,124000.0,45545.0
4,2020.01.14,128000.0,500.0,128000.0,130000.0,127500.0,29160.0
5,2020.01.13,127500.0,1500.0,126000.0,128500.0,125000.0,22399.0
9,2020.01.10,126000.0,1500.0,124000.0,127500.0,123500.0,35947.0
10,2020.01.09,124500.0,2000.0,124000.0,125500.0,123500.0,30192.0
11,2020.01.08,122500.0,5000.0,126500.0,126500.0,120500.0,58470.0
12,2020.01.07,127500.0,0.0,128000.0,129000.0,126500.0,28079.0
13,2020.01.06,127500.0,4000.0,129500.0,131000.0,127500.0,20875.0
1,2020.01.03,131500.0,500.0,132000.0,132500.0,130000.0,32148.0
2,2020.01.02,131000.0,1500.0,132000.0,132000.0,129500.0,15768.0
3,2019.12.30,132500.0,500.0,131500.0,132500.0,130500.0,13290.0
4,2019.12.27,132000.0,1000.0,130000.0,132500.0,129500.0,24860.0
5,2019.12.26,131000.0,3500.0,127500.0,133000.0,127000.0,83719.0
9,2019.12.24,127500.0,1500.0,126000.0,127500.0,125500.0,24142.0
10,2019.12.23,126000.0,1000.0,126500.0,128000.0,125500.0,25342.0
11,2019.12.20,127000.0,1500.0,126000.0,127000.0,125000.0,17294.0
12,2019.12.19,125500.0,500.0,124500.0,126500.0,124500.0,11256.0
13,2019.12.18,125000.0,1000.0,125500.0,127000.0,125000.0,14535.0
1,2019.12.17,126000.0,0.0,125500.0,126500.0,124000.0,17819.0
2,2019.12.16,126000.0,0.0,125000.0,126500.0,124500.0,17045.0
3,2019.12.13,126000.0,1000.0,125000.0,127000.0,125000.0,17634.0
4,2019.12.12,125000.0,1000.0,124000.0,126000.0,123500.0,25447.0
5,2019.12.11,124000.0,500.0,124000.0,124500.0,122000.0,10880.0
9,2019.12.10,123500.0,1500.0,121000.0,123500.0,121000.0,15673.0
10,2019.12.09,122000.0,2000.0,124000.0,125000.0,120500.0,20764.0
11,2019.12.06,124000.0,1500.0,122500.0,124000.0,122500.0,9750.0
12,2019.12.05,122500.0,3500.0,126000.0,126500.0,122000.0,23818.0
13,2019.12.04,126000.0,1000.0,125500.0,128000.0,125000.0,12073.0
1,2019.12.03,127000.0,500.0,126000.0,127000.0,124000.0,14428.0
2,2019.12.02,126500.0,500.0,127000.0,128000.0,126000.0,16320.0
3,2019.11.29,127000.0,500.0,127500.0,128000.0,125500.0,27095.0
4,2019.11.28,127500.0,2000.0,126000.0,128500.0,125500.0,30255.0
5,2019.11.27,125500.0,1500.0,128000.0,128000.0,125500.0,17870.0
9,2019.11.26,127000.0,1000.0,128000.0,128000.0,126000.0,25356.0
10,2019.11.25,128000.0,5500.0,123500.0,128500.0,122500.0,45832.0
11,2019.11.22,122500.0,0.0,123000.0,123500.0,121000.0,15259.0
12,2019.11.21,122500.0,1000.0,124000.0,124000.0,121000.0,29510.0
13,2019.11.20,123500.0,2000.0,125000.0,126000.0,123000.0,16875.0
1,2019.11.19,125500.0,1000.0,124000.0,126000.0,123000.0,22364.0
2,2019.11.18,124500.0,1000.0,125500.0,126000.0,123500.0,19739.0
3,2019.11.15,125500.0,1000.0,124000.0,126000.0,123500.0,28948.0
4,2019.11.14,124500.0,4000.0,120000.0,124500.0,120000.0,37623.0
5,2019.11.13,120500.0,2500.0,122500.0,122500.0,120000.0,29713.0
9,2019.11.12,123000.0,500.0,123000.0,123500.0,121000.0,28667.0
10,2019.11.11,122500.0,1500.0,123500.0,124000.0,122000.0,19004.0
11,2019.11.08,124000.0,1500.0,123000.0,124000.0,122500.0,17867.0
12,2019.11.07,122500.0,1500.0,123500.0,124500.0,122500.0,26364.0
13,2019.11.06,124000.0,500.0,124500.0,125500.0,124000.0,22933.0
1,2019.11.05,124500.0,1000.0,125500.0,126000.0,124000.0,21356.0
2,2019.11.04,125500.0,0.0,125500.0,127000.0,124500.0,40216.0
3,2019.11.01,125500.0,3000.0,128500.0,129000.0,125000.0,51184.0
4,2019.10.31,128500.0,9500.0,121000.0,129500.0,121000.0,190015.0
5,2019.10.30,119000.0,2000.0,116000.0,119000.0,115500.0,25781.0
9,2019.10.29,117000.0,500.0,118000.0,118500.0,116000.0,15933.0
10,2019.10.28,117500.0,500.0,118000.0,119000.0,117000.0,12469.0
11,2019.10.25,117000.0,1000.0,116000.0,119500.0,115500.0,32169.0
12,2019.10.24,116000.0,2500.0,118500.0,119500.0,115000.0,25835.0
13,2019.10.23,118500.0,2000.0,116500.0,121500.0,116500.0,66476.0
1,2019.10.22,116500.0,3000.0,113500.0,118000.0,113500.0,39566.0
2,2019.10.21,113500.0,500.0,113500.0,114000.0,113000.0,8773.0
3,2019.10.18,113000.0,1000.0,115500.0,115500.0,113000.0,16913.0
4,2019.10.17,114000.0,500.0,115000.0,115500.0,113000.0,19811.0
5,2019.10.16,114500.0,500.0,115500.0,115500.0,114000.0,19870.0
9,2019.10.15,114000.0,500.0,114500.0,115000.0,113500.0,13170.0
10,2019.10.14,114500.0,1000.0,114000.0,115000.0,113500.0,13590.0
11,2019.10.11,113500.0,500.0,115000.0,117000.0,113000.0,31841.0
12,2019.10.10,114000.0,500.0,113000.0,115000.0,111500.0,28673.0
13,2019.10.08,114500.0,1000.0,114500.0,114500.0,112500.0,27919.0
1,2019.10.07,113500.0,2500.0,111500.0,113500.0,111000.0,26533.0
2,2019.10.04,111000.0,1500.0,112000.0,113500.0,111000.0,15956.0
3,2019.10.02,112500.0,2000.0,114000.0,114000.0,112500.0,13594.0
4,2019.10.01,114500.0,1000.0,113000.0,115500.0,112000.0,21397.0
5,2019.09.30,113500.0,500.0,114000.0,114000.0,112000.0,12016.0
9,2019.09.27,114000.0,2000.0,115500.0,116500.0,113500.0,16660.0
10,2019.09.26,116000.0,1500.0,118000.0,119000.0,114500.0,23308.0
11,2019.09.25,117500.0,2500.0,119500.0,120500.0,117000.0,22927.0
12,2019.09.24,120000.0,3000.0,116500.0,120000.0,116500.0,26224.0
13,2019.09.23,117000.0,500.0,118000.0,118000.0,116000.0,14356.0
1,2019.09.20,117500.0,0.0,117000.0,119000.0,116500.0,18433.0
2,2019.09.19,117500.0,1500.0,119500.0,120000.0,116000.0,30083.0
3,2019.09.18,119000.0,500.0,120000.0,121500.0,118500.0,31949.0
4,2019.09.17,118500.0,5500.0,114500.0,120000.0,113500.0,70793.0
5,2019.09.16,113000.0,3500.0,112000.0,113500.0,110000.0,32231.0
9,2019.09.11,109500.0,1000.0,109500.0,110500.0,108500.0,26300.0
10,2019.09.10,108500.0,500.0,109500.0,110500.0,108000.0,15973.0
11,2019.09.09,109000.0,500.0,110500.0,111000.0,109000.0,17940.0
12,2019.09.06,109500.0,1000.0,110000.0,111500.0,109500.0,11246.0
13,2019.09.05,110500.0,500.0,110500.0,112000.0,110000.0,17176.0
1,2019.09.04,111000.0,1000.0,111000.0,112500.0,110000.0,13834.0
2,2019.09.03,110000.0,1000.0,111000.0,112500.0,110000.0,16665.0
3,2019.09.02,111000.0,3000.0,109500.0,111500.0,108000.0,28750.0
4,2019.08.30,108000.0,500.0,108500.0,110000.0,108000.0,23112.0
5,2019.08.29,107500.0,1000.0,107000.0,109000.0,106500.0,17242.0
9,2019.08.28,106500.0,1500.0,106000.0,107000.0,103000.0,20163.0
10,2019.08.27,105000.0,1000.0,107000.0,107000.0,104000.0,18033.0
11,2019.08.26,106000.0,2000.0,105000.0,108500.0,105000.0,14051.0
12,2019.08.23,108000.0,1000.0,107500.0,109000.0,106500.0,18098.0
13,2019.08.22,109000.0,500.0,110000.0,110500.0,108000.0,18414.0
1,2019.08.21,108500.0,500.0,107000.0,109000.0,107000.0,18777.0
2,2019.08.20,108000.0,1500.0,108500.0,109000.0,107000.0,18001.0
3,2019.08.19,106500.0,2000.0,105000.0,107500.0,104500.0,19047.0
4,2019.08.16,104500.0,3500.0,106000.0,106500.0,104500.0,13091.0
5,2019.08.14,108000.0,4000.0,106500.0,108500.0,105000.0,37941.0
9,2019.08.13,104000.0,500.0,102500.0,105000.0,102000.0,17530.0
10,2019.08.12,103500.0,500.0,102000.0,104500.0,101500.0,12440.0
11,2019.08.09,103000.0,500.0,103000.0,104000.0,101500.0,22535.0
12,2019.08.08,102500.0,2500.0,100500.0,103500.0,99900.0,24690.0
13,2019.08.07,100000.0,1600.0,99100.0,100500.0,98200.0,30966.0
1,2019.08.06,98400.0,2100.0,98000.0,102500.0,96900.0,61293.0
2,2019.08.05,100500.0,5500.0,105000.0,106500.0,99800.0,56401.0
3,2019.08.02,106000.0,500.0,104000.0,108000.0,104000.0,23784.0
4,2019.08.01,106500.0,1000.0,107500.0,108000.0,106000.0,19189.0
5,2019.07.31,107500.0,500.0,108000.0,109000.0,103500.0,60574.0
9,2019.07.30,107000.0,3500.0,103500.0,107500.0,103500.0,34824.0
10,2019.07.29,103500.0,3500.0,107000.0,108000.0,103500.0,37738.0
11,2019.07.26,107000.0,500.0,106500.0,108000.0,106000.0,29734.0
12,2019.07.25,107500.0,2000.0,109500.0,110000.0,106500.0,37537.0
13,2019.07.24,109500.0,500.0,110000.0,111000.0,109000.0,24514.0
1,2019.07.23,110000.0,1000.0,108000.0,111000.0,108000.0,21001.0
2,2019.07.22,109000.0,0.0,108500.0,109500.0,107000.0,29078.0
3,2019.07.19,109000.0,2500.0,107000.0,110000.0,107000.0,57330.0
4,2019.07.18,106500.0,3000.0,109000.0,110000.0,106000.0,76466.0
5,2019.07.17,109500.0,3500.0,113000.0,113500.0,108000.0,61396.0
9,2019.07.16,113000.0,0.0,113000.0,114500.0,112000.0,31552.0
