,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,31650.0,100.0,31800.0,32300.0,31500.0,48285.0
2,2020.04.28,31750.0,200.0,32250.0,32400.0,31150.0,105937.0
3,2020.04.27,31950.0,350.0,32500.0,33850.0,31450.0,116679.0
4,2020.04.24,32300.0,2000.0,34100.0,34600.0,32050.0,129417.0
5,2020.04.23,34300.0,2250.0,34600.0,35900.0,33650.0,302067.0
9,2020.04.22,36550.0,5150.0,30500.0,39650.0,29200.0,956556.0
10,2020.04.21,31400.0,800.0,32300.0,34950.0,28300.0,307081.0
11,2020.04.20,32200.0,2200.0,30150.0,33850.0,30150.0,265723.0
12,2020.04.17,30000.0,1350.0,29800.0,31550.0,29550.0,132940.0
13,2020.04.16,31350.0,5800.0,26950.0,31700.0,25600.0,314567.0
1,2020.04.14,25550.0,1900.0,23450.0,25650.0,23450.0,64691.0
2,2020.04.13,23650.0,350.0,24000.0,24200.0,23250.0,20523.0
3,2020.04.10,24000.0,200.0,24200.0,24500.0,23250.0,26070.0
4,2020.04.09,24200.0,550.0,24000.0,24250.0,23700.0,28761.0
5,2020.04.08,23650.0,150.0,24200.0,24200.0,23150.0,25407.0
9,2020.04.07,23800.0,600.0,23600.0,24200.0,23300.0,36377.0
10,2020.04.06,23200.0,800.0,22750.0,23400.0,22600.0,19259.0
11,2020.04.03,22400.0,100.0,22750.0,22850.0,21950.0,19721.0
12,2020.04.02,22500.0,750.0,21300.0,22750.0,20750.0,28569.0
13,2020.04.01,21750.0,1250.0,22400.0,23150.0,21400.0,56134.0
1,2020.03.31,23000.0,3000.0,20050.0,25000.0,20050.0,128537.0
2,2020.03.30,20000.0,100.0,19050.0,20300.0,18700.0,22470.0
3,2020.03.27,19900.0,200.0,21500.0,21500.0,19300.0,40657.0
4,2020.03.26,19700.0,0.0,19700.0,20600.0,19150.0,44709.0
5,2020.03.25,19700.0,2100.0,18500.0,19800.0,17800.0,48579.0
9,2020.03.24,17600.0,1350.0,16350.0,17800.0,16250.0,36707.0
10,2020.03.23,16250.0,1450.0,16900.0,17300.0,15800.0,37245.0
11,2020.03.20,17700.0,700.0,17000.0,17850.0,16450.0,48880.0
12,2020.03.19,17000.0,3300.0,20300.0,20950.0,16650.0,54695.0
13,2020.03.18,20300.0,1100.0,21400.0,21900.0,20300.0,23603.0
1,2020.03.17,21400.0,400.0,18550.0,21450.0,18550.0,24533.0
2,2020.03.16,21000.0,700.0,21900.0,22400.0,20600.0,32474.0
3,2020.03.13,21700.0,1450.0,20100.0,22950.0,20100.0,69822.0
4,2020.03.12,23150.0,1800.0,25400.0,25400.0,23050.0,43186.0
5,2020.03.11,24950.0,1000.0,25900.0,26550.0,24850.0,26923.0
9,2020.03.10,25950.0,100.0,25350.0,26300.0,25000.0,23811.0
10,2020.03.09,26050.0,1000.0,26150.0,26400.0,25650.0,25116.0
11,2020.03.06,27050.0,100.0,27600.0,27750.0,26250.0,30312.0
12,2020.03.05,26950.0,300.0,26850.0,27450.0,26500.0,20942.0
13,2020.03.04,26650.0,1500.0,24650.0,29600.0,24650.0,62585.0
1,2020.03.03,25150.0,400.0,25050.0,25900.0,25000.0,33734.0
2,2020.03.02,24750.0,750.0,23850.0,25100.0,23850.0,26622.0
3,2020.02.28,24000.0,900.0,24050.0,24550.0,23900.0,23663.0
4,2020.02.27,24900.0,300.0,25000.0,25850.0,24500.0,23665.0
5,2020.02.26,25200.0,150.0,24550.0,25450.0,24200.0,19127.0
9,2020.02.25,25350.0,1350.0,23200.0,25450.0,23200.0,25249.0
10,2020.02.24,24000.0,1500.0,24550.0,24950.0,23600.0,46638.0
11,2020.02.21,25500.0,1050.0,26550.0,26600.0,25400.0,33031.0
12,2020.02.20,26550.0,450.0,27000.0,27150.0,26550.0,20908.0
13,2020.02.19,27000.0,450.0,27400.0,27750.0,26850.0,20222.0
1,2020.02.18,27450.0,550.0,27850.0,28100.0,27300.0,22438.0
2,2020.02.17,28000.0,100.0,28100.0,28300.0,27650.0,14032.0
3,2020.02.14,28100.0,500.0,28500.0,28650.0,27900.0,35176.0
4,2020.02.13,28600.0,350.0,29400.0,29400.0,28550.0,22153.0
5,2020.02.12,28950.0,400.0,29450.0,29500.0,28900.0,19920.0
9,2020.02.11,29350.0,350.0,29250.0,29900.0,29150.0,16293.0
10,2020.02.10,29700.0,550.0,29500.0,30050.0,29100.0,19690.0
11,2020.02.07,29150.0,350.0,29300.0,29850.0,29050.0,13909.0
12,2020.02.06,29500.0,650.0,29550.0,29550.0,28900.0,12596.0
13,2020.02.05,28850.0,300.0,29800.0,29800.0,28700.0,13896.0
1,2020.02.04,29150.0,500.0,28450.0,29600.0,28450.0,21050.0
2,2020.02.03,28650.0,250.0,27450.0,28850.0,27100.0,22746.0
3,2020.01.31,28400.0,200.0,28600.0,29750.0,28300.0,18788.0
4,2020.01.30,28600.0,800.0,29200.0,29550.0,28250.0,16702.0
5,2020.01.29,29400.0,300.0,29700.0,30250.0,29250.0,20133.0
9,2020.01.28,29700.0,1550.0,30600.0,30900.0,29500.0,28729.0
10,2020.01.23,31250.0,850.0,32400.0,32400.0,30950.0,23022.0
11,2020.01.22,32100.0,200.0,32200.0,32800.0,32000.0,11633.0
12,2020.01.21,32300.0,200.0,31950.0,33650.0,31950.0,29768.0
13,2020.01.20,32500.0,900.0,33150.0,33400.0,32000.0,28857.0
1,2020.01.17,33400.0,100.0,33000.0,34300.0,32800.0,31591.0
2,2020.01.16,33300.0,0.0,33150.0,34750.0,32800.0,59063.0
3,2020.01.15,33300.0,2800.0,30500.0,34500.0,30450.0,149894.0
4,2020.01.14,30500.0,800.0,31700.0,32200.0,30500.0,36576.0
5,2020.01.13,31300.0,2650.0,28500.0,34850.0,28150.0,298775.0
9,2020.01.10,28650.0,350.0,28100.0,28900.0,28100.0,11244.0
10,2020.01.09,28300.0,1300.0,27850.0,28400.0,27550.0,26230.0
11,2020.01.08,27000.0,2150.0,28750.0,28900.0,26800.0,50862.0
12,2020.01.07,29150.0,50.0,29500.0,29900.0,29000.0,17158.0
13,2020.01.06,29100.0,1150.0,29950.0,30200.0,29000.0,23611.0
1,2020.01.03,30250.0,0.0,30250.0,30950.0,30000.0,7999.0
2,2020.01.02,30250.0,200.0,30450.0,30450.0,29800.0,16708.0
3,2019.12.30,30450.0,50.0,30400.0,30750.0,29950.0,8385.0
4,2019.12.27,30500.0,250.0,30750.0,30900.0,30000.0,5968.0
5,2019.12.26,30750.0,450.0,30000.0,30850.0,30000.0,6455.0
9,2019.12.24,30300.0,350.0,30650.0,31250.0,30250.0,6876.0
10,2019.12.23,30650.0,800.0,31100.0,31500.0,30500.0,12256.0
11,2019.12.20,31450.0,250.0,30950.0,31750.0,30950.0,5852.0
12,2019.12.19,31200.0,700.0,32400.0,32400.0,31000.0,13726.0
