,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,286000.0,6500.0,281500.0,286000.0,280000.0,631698.0
2,2020.04.28,279500.0,500.0,285000.0,288500.0,277500.0,505802.0
3,2020.04.27,279000.0,2000.0,277000.0,280500.0,275000.0,335350.0
4,2020.04.24,277000.0,7500.0,280000.0,282000.0,275000.0,494177.0
5,2020.04.23,284500.0,1000.0,291000.0,291500.0,284000.0,607966.0
9,2020.04.22,285500.0,2500.0,274500.0,285500.0,273000.0,631088.0
10,2020.04.21,283000.0,0.0,278500.0,285500.0,274000.0,1098619.0
11,2020.04.20,283000.0,3500.0,287000.0,294000.0,278000.0,875648.0
12,2020.04.17,286500.0,15500.0,277500.0,305000.0,276500.0,2107737.0
13,2020.04.16,271000.0,19500.0,252000.0,271500.0,252000.0,1230799.0
1,2020.04.14,251500.0,10000.0,250500.0,252500.0,248000.0,640598.0
2,2020.04.13,241500.0,9000.0,248500.0,248500.0,241000.0,412839.0
3,2020.04.10,250500.0,2500.0,253500.0,254000.0,247000.0,439031.0
4,2020.04.09,253000.0,3000.0,256000.0,256500.0,249000.0,600048.0
5,2020.04.08,250000.0,5000.0,245000.0,256000.0,242500.0,1069528.0
9,2020.04.07,245000.0,5000.0,246500.0,251000.0,240500.0,1116101.0
10,2020.04.06,240000.0,8500.0,234500.0,240000.0,230500.0,723090.0
11,2020.04.03,231500.0,1500.0,241000.0,245500.0,228000.0,1050266.0
12,2020.04.02,233000.0,2000.0,231500.0,233500.0,222000.0,916444.0
13,2020.04.01,231000.0,9500.0,240000.0,244500.0,230000.0,794308.0
1,2020.03.31,240500.0,4000.0,245500.0,248000.0,235500.0,1011083.0
2,2020.03.30,244500.0,3500.0,239000.0,247000.0,235000.0,764977.0
3,2020.03.27,248000.0,0.0,258500.0,260000.0,236500.0,975996.0
4,2020.03.26,248000.0,9500.0,258500.0,260500.0,246500.0,984405.0
5,2020.03.25,257500.0,11000.0,267000.0,269500.0,249000.0,1368513.0
9,2020.03.24,246500.0,28000.0,231500.0,252500.0,224500.0,1668595.0
10,2020.03.23,218500.0,2000.0,202000.0,233500.0,200500.0,1576624.0
11,2020.03.20,216500.0,33500.0,197000.0,216500.0,194000.0,1818258.0
12,2020.03.19,183000.0,38500.0,227000.0,228000.0,180000.0,2233285.0
13,2020.03.18,221500.0,24500.0,246000.0,249000.0,221500.0,1105362.0
1,2020.03.17,246000.0,7000.0,242000.0,257000.0,240500.0,990457.0
2,2020.03.16,253000.0,24500.0,280000.0,282500.0,253000.0,994249.0
3,2020.03.13,277500.0,2500.0,260000.0,284500.0,258000.0,1076527.0
4,2020.03.12,280000.0,9000.0,286500.0,291500.0,270500.0,961201.0
5,2020.03.11,289000.0,4500.0,297500.0,301500.0,287000.0,592068.0
9,2020.03.10,293500.0,1500.0,289000.0,298000.0,286000.0,901344.0
10,2020.03.09,295000.0,21500.0,305000.0,305500.0,293500.0,728826.0
11,2020.03.06,316500.0,7000.0,319500.0,323500.0,314500.0,422106.0
12,2020.03.05,323500.0,8500.0,322500.0,324500.0,316500.0,554299.0
13,2020.03.04,315000.0,7000.0,304000.0,318000.0,303000.0,491231.0
1,2020.03.03,308000.0,3500.0,316500.0,318500.0,307500.0,652467.0
2,2020.03.02,304500.0,9500.0,296500.0,307500.0,292500.0,611983.0
3,2020.02.28,295000.0,14500.0,301500.0,303000.0,292000.0,919096.0
4,2020.02.27,309500.0,2500.0,309000.0,313500.0,306000.0,599405.0
5,2020.02.26,312000.0,9000.0,312500.0,317500.0,308500.0,660683.0
9,2020.02.25,321000.0,0.0,317500.0,322500.0,312500.0,842067.0
10,2020.02.24,321000.0,15500.0,326000.0,329500.0,318500.0,704622.0
11,2020.02.21,336500.0,7000.0,338500.0,348000.0,335000.0,536065.0
12,2020.02.20,343500.0,9500.0,332000.0,347000.0,330500.0,527965.0
13,2020.02.19,334000.0,0.0,342500.0,343500.0,332000.0,472858.0
1,2020.02.18,334000.0,4000.0,336500.0,338000.0,331000.0,400006.0
2,2020.02.17,338000.0,1000.0,338000.0,339000.0,332500.0,298316.0
3,2020.02.14,337000.0,500.0,337500.0,340000.0,334000.0,370649.0
4,2020.02.13,336500.0,1500.0,337500.0,342500.0,335000.0,689961.0
5,2020.02.12,338000.0,5000.0,341500.0,343500.0,337000.0,641943.0
9,2020.02.11,343000.0,21500.0,325000.0,351000.0,324000.0,874870.0
10,2020.02.10,321500.0,4500.0,314500.0,321500.0,312000.0,387188.0
11,2020.02.07,317000.0,1500.0,317000.0,322500.0,314000.0,650781.0
12,2020.02.06,318500.0,4500.0,307000.0,319500.0,304500.0,628991.0
13,2020.02.05,314000.0,6000.0,321000.0,321000.0,310000.0,784165.0
1,2020.02.04,308000.0,24000.0,293500.0,309000.0,293000.0,939164.0
2,2020.02.03,284000.0,8000.0,271500.0,284500.0,268000.0,558416.0
3,2020.01.31,276000.0,11000.0,290500.0,290500.0,275000.0,592428.0
4,2020.01.30,287000.0,0.0,293000.0,296500.0,282000.0,638954.0
5,2020.01.29,287000.0,2000.0,289000.0,291000.0,282500.0,414935.0
9,2020.01.28,285000.0,1500.0,274500.0,285500.0,274000.0,463275.0
10,2020.01.23,283500.0,2500.0,286000.0,291500.0,282500.0,460938.0
11,2020.01.22,286000.0,10500.0,276500.0,287000.0,276500.0,382214.0
12,2020.01.21,275500.0,0.0,276000.0,277500.0,273000.0,217679.0
13,2020.01.20,275500.0,6000.0,273500.0,278500.0,271000.0,433345.0
1,2020.01.17,269500.0,1000.0,270500.0,273500.0,268000.0,350550.0
2,2020.01.16,268500.0,1000.0,265500.0,269000.0,262000.0,328175.0
3,2020.01.15,267500.0,2000.0,268500.0,270000.0,264000.0,305110.0
4,2020.01.14,265500.0,6500.0,265000.0,274500.0,263000.0,761042.0
5,2020.01.13,259000.0,10000.0,250000.0,261000.0,249000.0,641733.0
9,2020.01.10,249000.0,16500.0,233000.0,249500.0,233000.0,819751.0
10,2020.01.09,232500.0,3500.0,230500.0,233500.0,230000.0,277858.0
11,2020.01.08,229000.0,2500.0,229000.0,231000.0,227000.0,262681.0
12,2020.01.07,231500.0,1500.0,230000.0,233500.0,229000.0,153608.0
13,2020.01.06,230000.0,1000.0,227000.0,230500.0,226000.0,151022.0
1,2020.01.03,229000.0,3000.0,235000.0,235500.0,228500.0,239332.0
2,2020.01.02,232000.0,4000.0,237000.0,237500.0,231500.0,186494.0
3,2019.12.30,236000.0,3000.0,233500.0,236000.0,233000.0,193665.0
4,2019.12.27,233000.0,10500.0,225500.0,233500.0,225500.0,411543.0
5,2019.12.26,222500.0,2500.0,226000.0,226000.0,222500.0,256886.0
9,2019.12.24,225000.0,3000.0,227500.0,229000.0,224000.0,217855.0
10,2019.12.23,228000.0,500.0,229500.0,229500.0,227000.0,119352.0
11,2019.12.20,228500.0,0.0,230000.0,230500.0,227500.0,173383.0
12,2019.12.19,228500.0,1500.0,227000.0,229000.0,226500.0,157147.0
13,2019.12.18,227000.0,7500.0,233500.0,233500.0,227000.0,317750.0
1,2019.12.17,234500.0,1000.0,233000.0,235500.0,232500.0,228257.0
2,2019.12.16,233500.0,4000.0,230000.0,234000.0,229000.0,235802.0
3,2019.12.13,229500.0,1000.0,230500.0,232000.0,228500.0,233044.0
4,2019.12.12,228500.0,1000.0,229000.0,229000.0,226500.0,269567.0
5,2019.12.11,227500.0,1000.0,227500.0,229000.0,225000.0,174129.0
9,2019.12.10,226500.0,3500.0,224500.0,226500.0,223000.0,135029.0
10,2019.12.09,223000.0,2500.0,223500.0,225500.0,221500.0,196749.0
11,2019.12.06,225500.0,3500.0,222000.0,225500.0,221000.0,174993.0
12,2019.12.05,222000.0,2000.0,225000.0,226500.0,220000.0,291590.0
13,2019.12.04,224000.0,13000.0,234500.0,235000.0,221500.0,555044.0
1,2019.12.03,237000.0,3000.0,232000.0,238000.0,231000.0,138668.0
2,2019.12.02,234000.0,3000.0,233000.0,235500.0,231500.0,158683.0
3,2019.11.29,231000.0,2000.0,234000.0,234500.0,231000.0,162457.0
4,2019.11.28,233000.0,3000.0,233000.0,236000.0,232500.0,189958.0
5,2019.11.27,236000.0,3000.0,239000.0,239500.0,235000.0,131269.0
9,2019.11.26,239000.0,1000.0,238000.0,240000.0,237000.0,292585.0
10,2019.11.25,238000.0,2500.0,235500.0,240000.0,235500.0,207569.0
11,2019.11.22,235500.0,1000.0,238000.0,241000.0,233500.0,217819.0
12,2019.11.21,234500.0,1500.0,237000.0,237000.0,230500.0,225002.0
13,2019.11.20,236000.0,6500.0,240500.0,243000.0,235500.0,153421.0
1,2019.11.19,242500.0,2000.0,242000.0,243000.0,239500.0,221191.0
2,2019.11.18,240500.0,2500.0,240000.0,242000.0,239000.0,203864.0
3,2019.11.15,238000.0,1500.0,238500.0,239000.0,236500.0,178993.0
4,2019.11.14,236500.0,2000.0,235000.0,236500.0,234000.0,191319.0
5,2019.11.13,234500.0,1500.0,234000.0,235500.0,233000.0,149553.0
9,2019.11.12,233000.0,1000.0,233000.0,235000.0,231000.0,110041.0
10,2019.11.11,234000.0,3500.0,237500.0,238500.0,234000.0,132289.0
11,2019.11.08,237500.0,5500.0,234500.0,237500.0,233500.0,248238.0
12,2019.11.07,232000.0,0.0,230000.0,233000.0,228500.0,167175.0
13,2019.11.06,232000.0,3000.0,236500.0,236500.0,232000.0,141849.0
1,2019.11.05,235000.0,2000.0,233500.0,236500.0,232500.0,189317.0
2,2019.11.04,233000.0,2000.0,232500.0,235000.0,232000.0,187139.0
3,2019.11.01,231000.0,3500.0,229500.0,231500.0,227500.0,122829.0
4,2019.10.31,227500.0,2500.0,232000.0,232000.0,227000.0,206353.0
5,2019.10.30,230000.0,2000.0,231000.0,232000.0,230000.0,290351.0
9,2019.10.29,228000.0,1500.0,230500.0,230500.0,224500.0,216381.0
10,2019.10.28,229500.0,3500.0,227000.0,230000.0,226000.0,186414.0
11,2019.10.25,226000.0,0.0,227000.0,227000.0,225500.0,116348.0
12,2019.10.24,226000.0,1500.0,226500.0,227500.0,224000.0,137278.0
13,2019.10.23,224500.0,0.0,223000.0,225000.0,222500.0,127242.0
1,2019.10.22,224500.0,0.0,225000.0,225000.0,222500.0,160891.0
2,2019.10.21,224500.0,500.0,225500.0,225500.0,221500.0,111132.0
3,2019.10.18,224000.0,4000.0,220500.0,225500.0,220500.0,290990.0
4,2019.10.17,220000.0,1500.0,219500.0,221500.0,219500.0,179238.0
5,2019.10.16,218500.0,1500.0,221000.0,222000.0,218500.0,301820.0
9,2019.10.15,220000.0,6500.0,221500.0,222000.0,218500.0,513463.0
10,2019.10.14,226500.0,500.0,230000.0,231000.0,225500.0,210654.0
11,2019.10.11,227000.0,5500.0,233500.0,233500.0,225000.0,350098.0
12,2019.10.10,232500.0,6000.0,223500.0,232500.0,223000.0,430266.0
13,2019.10.08,226500.0,7000.0,221500.0,227000.0,221000.0,230113.0
1,2019.10.07,219500.0,1000.0,220500.0,223000.0,218000.0,122570.0
2,2019.10.04,218500.0,2000.0,219000.0,222000.0,218000.0,164839.0
3,2019.10.02,220500.0,5000.0,223500.0,226500.0,220500.0,187488.0
4,2019.10.01,225500.0,2500.0,221000.0,229000.0,221000.0,167680.0
5,2019.09.30,223000.0,500.0,220000.0,223500.0,216500.0,253050.0
9,2019.09.27,222500.0,2000.0,225500.0,226000.0,221500.0,139656.0
10,2019.09.26,224500.0,1500.0,226000.0,228000.0,223500.0,278160.0
11,2019.09.25,223000.0,15500.0,234000.0,234500.0,222500.0,641510.0
12,2019.09.24,238500.0,1500.0,237500.0,238500.0,236500.0,108509.0
13,2019.09.23,237000.0,0.0,237000.0,239500.0,236500.0,127962.0
1,2019.09.20,237000.0,500.0,236500.0,237000.0,234000.0,185216.0
2,2019.09.19,236500.0,2000.0,234000.0,238000.0,233500.0,176258.0
3,2019.09.18,234500.0,0.0,234500.0,236000.0,233000.0,151859.0
4,2019.09.17,234500.0,1000.0,235500.0,237500.0,234000.0,241474.0
5,2019.09.16,233500.0,0.0,233500.0,234000.0,229500.0,247523.0
9,2019.09.11,233500.0,1000.0,233500.0,234000.0,226500.0,444553.0
10,2019.09.10,232500.0,8500.0,239500.0,239500.0,232000.0,566851.0
