,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,140500.0,4000.0,144000.0,150000.0,136500.0,146619.0
2,2020.04.28,144500.0,0.0,140000.0,145500.0,135000.0,171183.0
3,2020.04.27,144500.0,2000.0,146000.0,146500.0,139500.0,96378.0
4,2020.04.24,142500.0,6500.0,137000.0,148000.0,136000.0,197210.0
5,2020.04.23,136000.0,9000.0,125500.0,137500.0,121500.0,183691.0
9,2020.04.22,127000.0,7000.0,123500.0,128500.0,120000.0,155520.0
10,2020.04.21,120000.0,3000.0,118000.0,124500.0,111500.0,134110.0
11,2020.04.20,117000.0,10000.0,108000.0,119000.0,107000.0,106525.0
12,2020.04.17,107000.0,3000.0,112000.0,112000.0,106500.0,76634.0
13,2020.04.16,110000.0,4500.0,103000.0,112000.0,100500.0,94558.0
1,2020.04.14,105500.0,13600.0,94000.0,107500.0,92400.0,213404.0
2,2020.04.13,91900.0,800.0,91900.0,93900.0,91000.0,37702.0
3,2020.04.10,92700.0,1800.0,90200.0,94800.0,89600.0,41987.0
4,2020.04.09,90900.0,900.0,90900.0,91500.0,89500.0,39631.0
5,2020.04.08,90000.0,1100.0,90200.0,91700.0,88300.0,34941.0
9,2020.04.07,91100.0,1200.0,92800.0,93200.0,90800.0,33256.0
10,2020.04.06,92300.0,900.0,93000.0,93100.0,89500.0,52460.0
11,2020.04.03,91400.0,200.0,94700.0,95000.0,89800.0,50549.0
12,2020.04.02,91600.0,1700.0,90100.0,92500.0,84500.0,72330.0
13,2020.04.01,89900.0,2600.0,87300.0,95000.0,86600.0,89146.0
1,2020.03.31,87300.0,5700.0,82900.0,89600.0,82100.0,69006.0
2,2020.03.30,81600.0,2100.0,77500.0,83500.0,76000.0,48686.0
3,2020.03.27,79500.0,2000.0,80000.0,81300.0,76800.0,67986.0
4,2020.03.26,77500.0,2200.0,80000.0,84000.0,77000.0,87868.0
5,2020.03.25,79700.0,8200.0,75800.0,79900.0,72300.0,79469.0
9,2020.03.24,71500.0,5300.0,68300.0,71500.0,67300.0,38473.0
10,2020.03.23,66200.0,2800.0,63300.0,67900.0,62600.0,51051.0
11,2020.03.20,69000.0,7500.0,62100.0,69500.0,60600.0,108370.0
12,2020.03.19,61500.0,8500.0,70400.0,73800.0,60600.0,77868.0
13,2020.03.18,70000.0,3000.0,73000.0,74600.0,70000.0,51065.0
